date,total_residents,0-6,6-15,15-18,18-25,25-45,45-60,60-65,65-75,75+
31-12-2000,3331232,165351,282279,105383,282127,1097981,676348,230699,273138,217926
31-12-2001,3337232,166405,271355,105201,289729,1095709,662887,240554,286234,219158
31-12-2002,3336248,166881,260657,106095,294281,1090269,656946,240954,300363,219802
31-12-2003,3330242,166181,250558,106607,295659,1082072,651142,241471,314610,221942
31-12-2004,3333108,165216,242173,105657,295443,1077202,653928,236619,331103,225767
31-12-2005,3339436,166535,234913,103590,294927,1073614,667533,220311,348249,229764
31-12-2006,3348805,167117,233389,95087,294660,1069230,691097,194629,370572,233024
31-12-2007,3353858,170136,232816,86889,294093,1058259,706262,185891,384460,235052
31-12-2008,3362843,173832,233775,78584,295040,1046757,721306,177748,398114,237687
31-12-2009,3369672,178581,235576,76005,291531,1033694,731030,175136,400565,247554
31-12-2010,3387562,182927,239243,75001,287383,1029521,738637,185009,391068,258773
31-12-2011,3427114,188030,241745,76137,282612,1040118,750391,197115,378698,272268
31-12-2012,3469621,192578,244555,78337,276459,1057696,760822,200966,371938,286270
31-12-2013,3517424,195935,249949,80324,268817,1079278,772817,203465,365847,300992
31-12-2014,3562166,200333,256460,81533,259859,1098163,779756,203085,360605,322372
31-12-2015,3610156,209258,264907,83271,254607,1121905,784587,200789,354699,336133
31-12-2016,3670622,216644,274553,85817,261310,1142410,789010,200946,345791,354141
31-12-2017,3711930,222105,280132,86083,263487,1160601,788035,202314,342448,366725
31-12-2018,3748148,224611,286606,85672,266421,1180501,783917,205035,337091,378294
31-12-2019,3769495,226223,291703,87172,266927,1190592,775263,210109,334622,386884
31-12-2020,3769962,222396,297010,88067,261939,1194265,765120,216420,340176,384569
31-12-2021,3775480,222650,302236,90145,261529,1199124,752807,223736,347067,376186
31-12-2022,3850809,222646,315211,95033,270766,1235782,749017,234877,350992,376485
31-12-2023,3878100,215179,319255,99048,277845,1250780,738730,246506,353573,377184
31-12-2024,3897145,208938,322476,102426,284559,1258033,727791,254684,357768,380470
