,,,,,,,,,,,,
,,,,,,,,,,,,
,Total,,,Evangelische Kirchen,,,Römisch-katholische Kirche,,,sonstige bzw. keine,,
neighbourhood,total,Germans,Foreigners,total,Germans,Foreigners,total,Germans,Foreigners,total,Germans,Foreigners
Mitte, 397 004, 249 053, 147 951, 35 462, 33 982, 1 480, 28 294, 19 306, 8 988, 333 248, 195 765, 137 483
Friedrichshain-Kreuzberg, 292 624, 202 632, 89 992, 24 175, 23 425,  750, 17 094, 12 802, 4 292, 251 355, 166 405, 84 950
Pankow, 427 276, 343 105, 84 171, 40 711, 39 678, 1 033, 23 544, 19 119, 4 425, 363 021, 284 308, 78 713
Charlottenburg-Wilmersdorf, 343 500, 249 994, 93 506, 47 787, 46 518, 1 269, 31 889, 24 415, 7 474, 263 824, 179 061, 84 763
Spandau, 259 277, 189 914, 69 363, 40 136, 39 368,  768, 21 050, 14 996, 6 054, 198 091, 135 550, 62 541
Steglitz-Zehlendorf, 310 044, 254 706, 55 338, 62 491, 61 417, 1 074, 30 658, 25 204, 5 454, 216 895, 168 085, 48 810
Tempelhof-Schöneberg, 356 959, 273 377, 83 582, 53 818, 52 894,  924, 31 801, 24 770, 7 031, 271 340, 195 713, 75 627
Neukölln, 329 488, 235 693, 93 795, 39 002, 38 292,  710, 23 658, 17 637, 6 021, 266 828, 179 764, 87 064
Treptow-Köpenick, 297 236, 246 400, 50 836, 23 246, 22 809,  437, 12 017, 9 359, 2 658, 261 973, 214 232, 47 741
Marzahn-Hellersdorf, 294 091, 236 448, 57 643, 16 846, 16 238,  608, 9 926, 6 915, 3 011, 267 319, 213 295, 54 024
Lichtenberg, 315 548, 235 846, 79 702, 17 894, 17 132,  762, 11 988, 8 137, 3 851, 285 666, 210 577, 75 089
Reinickendorf, 274 098, 208 099, 65 999, 45 554, 44 765,  789, 22 723, 17 253, 5 470, 205 821, 146 081, 59 740
Berlin,3 897 145,2 925 267, 971 878, 447 122, 436 518, 10 604, 264 642, 199 913, 64 729,3 185 381,2 288 836, 896 545
