district_id,district,male,female,germans,foreigners,single,married,widowed,divorced,civil_partnership,evangelische_kirchen,römisch_katholische_kirche,religion_other_or_none,0-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
01,Mitte,204542,192462,249053,147951,240196,113277,13119,28623,1789,35462,28294,333248,20516,29120,9461,49247,145300,47278,44361,51721
02,Friedrichshain-Kreuzberg,150002,142622,202632,89992,188392,76076,7369,19227,1560,24175,17094,251355,14918,21510,6836,30281,114196,40160,32574,32149
03,Pankow,209773,217503,343105,84171,246687,130125,17014,31848,1602,40711,23544,363021,22768,38101,12347,39397,132140,62325,56884,63314
04,Charlottenburg-Wilmersdorf,166037,177463,249994,93506,176967,114706,17823,32281,1723,47787,31889,263824,15921,23364,7968,35224,94225,39648,47924,79226
05,Spandau,127361,131916,189914,69363,125965,93781,15779,23333,419,40136,21050,198091,15354,24680,7873,26455,66010,29564,35687,53654
06,Steglitz-Zehlendorf,146477,163567,254706,55338,143312,118049,20117,27789,777,62491,30658,216895,14153,25436,8683,29837,68542,36747,46981,79665
07,Tempelhof-Schöneberg,175519,181440,273377,83582,183234,121863,19149,30838,1875,53818,31801,271340,18904,28159,8876,35263,97861,41583,51031,75282
08,Neukölln,164886,164602,235693,93795,180627,105135,16643,26095,988,39002,23658,266828,18021,27176,8425,32493,105323,39187,41447,57416
09,Treptow-Köpenick,147067,150169,246400,50836,153570,100905,17375,24751,635,23246,12017,261973,16935,24702,7355,28141,85519,34067,40422,60095
10,Marzahn-Hellersdorf,146277,147814,236448,57643,145307,105385,16190,26757,452,16846,9926,267319,17487,28223,8709,27136,75433,31653,41254,64196
11,Lichtenberg,156934,158614,235846,79702,174707,97844,16316,25938,743,17894,11988,285666,19196,27875,8212,31719,98749,34367,36351,59079
12,Reinickendorf,135775,138323,208099,65999,131052,100221,17577,24812,436,45554,22723,205821,14765,24130,7681,27601,66500,31120,39860,62441
