element,id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
node,28968292,berliner volksbank,berliner volksbank,nan,berliner straße,42,10713,"mo-fr 10:00-13:00, mo 14:00-16:00, tu,th 14:00-18:00",true,true,52.4866675,13.319723,Charlottenburg-Wilmersdorf,nan
node,60848455,sparkasse,nan,berliner sparkasse,anton-saefkow-platz,13,10369,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,unknown,52.5303309,13.4710375,Lichtenberg,nan
node,87040399,dkb,nan,nan,nan,nan,nan,unknown,unknown,unknown,52.51105,13.3887982,Mitte,nan
node,89274635,deutsche bank,deutsche bank,deutsche bank,alexanderstraße,5,10178,"mo-tu 10:00-18:00; we 10:00-16:00; th 10:00-18:00; fr 10:00-14:00; sa,su,ph off",true,true,52.5232377,13.4157495,Mitte,nan
node,203561614,sparkasse,nan,berliner sparkasse,helene-weigel-platz,1/2,12681,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5276869,13.5383271,Marzahn-Hellersdorf,nan
node,213106681,sparkasse,nan,berliner sparkasse,danziger straße,119,10407,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5362734,13.4336585,Pankow,nan
node,213108224,sparkasse,nan,berliner sparkasse,nan,2,10178,mo-fr 09:30-18:00,true,true,52.5208149,13.4136431,Mitte,nan
node,213112439,sparkasse,nan,berliner sparkasse,hackescher markt,4,10178,24/7,true,true,52.5235168,13.4018803,Mitte,nan
node,239659091,sparkasse,nan,berliner sparkasse,treskowallee,112,10318,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4817888,13.5250469,Lichtenberg,nan
node,239661671,sparkasse,nan,berliner sparkasse,wilhelminenhofstraße,41,12459,"mo-fr 06:00-23:00; sa,su 08:00-23:00",true,true,52.4610112,13.5209589,Treptow-Köpenick,nan
node,249221047,sparkasse,nan,berliner sparkasse,scharnweberstraße,14,13405,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,unknown,52.5637254,13.3289891,Reinickendorf,nan
node,253625297,sparkasse,nan,berliner sparkasse,boxhagener straße,55,10245,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5072911,13.4677685,Friedrichshain-Kreuzberg,nan
node,255336764,berliner sparkasse,nan,nan,nan,nan,nan,unknown,unknown,unknown,52.4699818,13.4632351,Neukölln,nan
node,257704250,sparkasse,nan,berliner sparkasse,schönwalder straße,28,13585,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5479034,13.2015723,Spandau,nan
node,259863450,sparkasse,nan,berliner sparkasse,bruno-taut-straße,1,12524,mo-th 09:00-18:00; fr 09:30-16:00,true,true,52.4127212,13.5714066,Treptow-Köpenick,nan
node,266614884,berliner volksbank,berliner volksbank,nan,nan,nan,nan,unknown,true,true,52.5114264,13.5862843,Marzahn-Hellersdorf,nan
node,266629927,sparkasse,nan,berliner sparkasse,hönower straße,48,12623,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00; ph off",false,true,52.508749,13.6135549,,nan
node,269380542,sparkasse,nan,berliner sparkasse,schönhauser allee,83,10439,mo-th 09:30-18:00; fr 09:30-15:00,true,true,52.5508457,13.4143413,,nan
node,270915509,berliner volksbank,berliner volksbank,nan,märkische allee,378,12689,"mo 10:00-13:00,14:00-16:00; tu 10:00-13:00,14:00-18:00; we 10:00-13:00; th 10:00-13:00,14:00-18:00; fr 10:00-13:00",true,true,52.5705858,13.5667532,Marzahn-Hellersdorf,nan
node,271707886,santander,santander,seb,nan,nan,nan,unknown,true,true,52.5369021,13.2030227,Spandau,nan
node,271708583,sparkasse,nan,berliner sparkasse,breite straße,21,13597,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00; sa,su off",true,true,52.5366871,13.2053397,Spandau,nan
node,271710347,targobank,targobank,nan,nan,nan,nan,"mo-fr 10:00-13:00, tu,th 14:00-18:00",true,true,52.5379015,13.2044788,Spandau,nan
node,271891568,targobank,targobank,nan,nan,nan,nan,"mo-fr 10:00-13:00, mo,tu,th 14:00-18:00",true,true,52.5011008,13.341955,Tempelhof-Schöneberg,nan
node,275891182,deutsche bank,deutsche bank,nan,unter den linden,13,10117,"mo 10:00-13:00,14:00-18:00; tu 10:00-13:00,14:00-18:00; we 10:00-13:00; th 10:00-13:00,14:00-18:00; fr 10:00-14:00",true,false,52.5168774,13.3916223,Mitte,nan
node,277065067,sparkasse,sparkasse,berliner sparkasse,schloßstraße,35,12163,"mo-fr 09:30-18:00; sa,su,ph off",true,true,52.4573971,13.3209,Steglitz-Zehlendorf,nan
node,278131188,commerzbank,commerzbank,commerzbank,nan,nan,nan,"mo,we 09:00-13:00,14:00-16:00; tu,th 09:00-13:00,14:30-18:00; fr 09:00-14:00",unknown,true,52.538325,13.2018907,Spandau,nan
node,278299922,berliner sparkasse,nan,nan,kaiserkorso,154,12101,"mo-fr 06:00-23:00; sa,su 08:00-23:00",true,true,52.4837587,13.3849844,Tempelhof-Schöneberg,nan
node,278735091,berliner volksbank,berliner volksbank,nan,müllerstraße,151,nan,"mo-fr 10:00-13:00; mo 14:00-16:00; tu,th 14:00-18:00; sa-su off",true,false,52.5465951,13.3583613,Mitte,nan
node,279305513,pax-bank,pax-bank,pax-bank eg,chausseestraße,128A,10115,mo-th 09:00-16:00; fr 09:00-13:00,true,true,52.5277358,13.3855389,Mitte,nan
node,279387386,deutsche bank,deutsche bank,nan,müllerstraße,32,13353,"mo,tu,th 10:00-13:00,14:00-18:00; we,fr 10:00-14:00",true,true,52.5479747,13.3568836,,nan
