addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,atm,branch,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,name,opening_hours,wheelchair,operator,ref,surveillance,wikidata,atm:network,check_date,contact:phone,level,name:ja,wheelchair:description,addr:place,operator:wikidata,email,fax,opening_hours:signed,phone,toilets:wheelchair,website,description,addr:floor,currency:EUR,drive_through,source,bic,contact:website,man_made,self_service,network,opening_hours:atm,internet_access,internet_access:fee,payment:cash,payment:credit_cards,payment:debit_cards,entrance,fee,internet_access:ssid,post_office,mapillary,contact:fax,cash_in,atm:opening_hours,wikipedia,contact:email,image,short_name,old_name,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,post_office:stamps,name:ar,name:de,name:ru,operator:en,operator:wikipedia,fixme,addr:housename,name:en,note,finance,network:wikidata,payment:mastercard,payment:visa,post_office:brand,post_office:service_provider,post_office:service_provider:wikidata,payment:girocard,office,air_conditioning,building,layer,operator:type,start_date,building:levels,roof:levels,roof:shape,indoor,access,room,western_union,building:part,latitude,longitude
Berlin,DE,42,10713,Berliner Straße,Wilmersdorf,bank,yes,eG,Berliner Volksbank,Q821855,de:Berliner Volksbank,2025-05-22,Berliner Volksbank,"Mo-Fr 10:00-13:00, Mo 14:00-16:00, Tu,Th 14:00-18:00",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4866675,13.319723
Berlin,,13,10369,Anton-Saefkow-Platz,,bank,yes,,,,,2025-03-04,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",limited,Berliner Sparkasse,PKC 175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5303309,13.4710375
,,,,,,bank,,,,,,,DKB,,limited,,,indoor,Q1203255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51105,13.3887982
Berlin,,5,10178,Alexanderstraße,,bank,yes,,Deutsche Bank,Q66048,en:Deutsche Bank,2022-09-13,Deutsche Bank,"Mo-Tu 10:00-18:00; We 10:00-16:00; Th 10:00-18:00; Fr 10:00-14:00; Sa,Su,PH off",yes,Deutsche Bank,,,,Cash Group,2024-06-11,+49 30 34070,0,ドイツ銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5232377,13.4157495
Berlin,,1/2,12681,Helene-Weigel-Platz,,bank,yes,,,,,2024-03-21,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 214,,,,,,,,Zugang ohne Stufen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5276869,13.5383271
Berlin,DE,119,10407,Danziger Straße,Prenzlauer Berg,bank,yes,,,,,2024-12-28,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 414,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5362734,13.4336585
Berlin,,2,10178,,,bank,yes,,,,,2023-10-01,Sparkasse,Mo-Fr 09:30-18:00,yes,Berliner Sparkasse,PKC 001,indoor,,,,,0,貯蓄銀行,,Alexanderplatz,Q821760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5208149,13.4136431
Berlin,DE,4,10178,Hackescher Markt,Mitte,bank,yes,,,,,2024-10-19,Sparkasse,24/7,yes,Berliner Sparkasse,PKC 006,indoor,,,,,,,,,,info@berliner-sparkasse.de,+49 30 869732014,no,+49 30 86986969,no,https://berliner-sparkasse.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5235168,13.4018803
Berlin,,112,10318,Treskowallee,,bank,yes,,,,,2024-08-10,Sparkasse,"Mo,We,Fr 09:30-15:00; Tu,Th 09:30-18:00",yes,Berliner Sparkasse,PKC 177,,,,,,,,,,,,,,,,,Sparkasse PrivatkundenCenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4817888,13.5250469
Berlin,DE,41,12459,Wilhelminenhofstraße,Oberschöneweide,bank,yes,,,,,2025-04-13,Sparkasse,"Mo-Fr 06:00-23:00; Sa,Su 08:00-23:00",yes,Berliner Sparkasse,PKC 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4610112,13.5209589
