Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Einrichtungsbezirk,Einrichtungsbezirk Name,Einrichtungsnummer,Einrichtungsname,Straße,Hausnummer,PLZ,Telefon,Einrichtungstyp,Trägernummer,Trägername,ETRS_YKOORDINATE,ETRS_XKOORDINATE,Erlaubte Plätze (BE)
01,Mitte,01010010,Kita F.A.I.R.play,Albrechtstr.,20,10117,030 281 64 73,Reguläre Einrichtung,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,5820383.1,0390387.4,69
01,Mitte,01010020,Kita Kinderwelt,An der Kolonnade,003,10117,030 2291378,Reguläre Einrichtung,1334,Forum Soziale Dienste GmbH,5819189.1,0390206.3,155
01,Mitte,01010030,FRÖBEL Kindergarten Casa Fantasia,Anklamer Str.,038,10115,48495184,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,5821774.7,0391426.8,69
01,Mitte,01010080,Kita Regenbogen,Fehrbelliner Str.,080,10119,030 449 32 38,Reguläre Einrichtung,1202,Pfefferwerk Stadtkultur gGmbH,5821420.5,0391807.6,91
01,Mitte,01010100,"FRÖBEL Kindergarten ""Schatzinsel""",Fischerinsel,008,10179,2013788,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,5819215.1,0391799.7,234
01,Mitte,01010110,Kita Französische Str. 16a u. 16b,Französische Str.,016,10117,030 208 92 14,Reguläre Einrichtung,1318,Kinder im Kiez gGmbH,5819488.7,0390612.0,180
01,Mitte,01010130,Kita Pelikan,Friedrichstr.,129F,10117,030403662090,Reguläre Einrichtung,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,5820745.2,0390390.6,190
01,Mitte,01010150,Kita Gartenstr. 107/Kigä City,Gartenstr.,107,10115,030 2828337,Reguläre Einrichtung,0120,Kindergärten City,5821171.6,0390926.7,140
01,Mitte,01010170,Kita Kinderakademie,Habersaathstr.,013,10115,030 2824496,Reguläre Einrichtung,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,5821358.4,0389784.3,150
01,Mitte,01010180,Lichtenberger Straße 32/33,Lichtenberger Str.,032,10179,030 2492179,Reguläre Einrichtung,0120,Kindergärten City,5819504.2,0393049.3,190
01,Mitte,01010200,Kita Jerusalemer Str. 10/12/Kigä City,Jerusalemer Str.,010,10117,030 20216803,Reguläre Einrichtung,0120,Kindergärten City,5819181.6,0391208.4,185
01,Mitte,01010210,Kita Kleine Auguststr. 10/11Kigä City,Kleine Auguststr.,011,10119,030 2826045,Reguläre Einrichtung,0120,Kindergärten City,5820977.9,0391403.6,220
01,Mitte,01010250,Kita Max-Beer-Str. 24/26/Kigä City,Max-Beer-Str.,24,10119,030 2476849,Reguläre Einrichtung,0120,Kindergärten City,5820733.7,0392051.8,200
01,Mitte,01010280,"FRÖBEL Kindergarten ""Traumzauberbaum""",Mollstr.,007A,10178,2419156,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,5820422.0,0392888.9,240
01,Mitte,01010330,Kita Umka,Leipziger Str.,047,10117,0176 83176995,Reguläre Einrichtung,8368,MITRA bilinguale Kindergärten gemeinnützige GmbH,5818992.9,0391255.1,65
