school_id,school_name,school_type_de,ownership_en,school_category_de,neighborhood,quarter,postal_code,street,street_number,telephone_number,fax_number,email,website,school_year,school_category_en,schoolyear,students_mfd,students_f,students_m,teachers_mfd,teachers_f,teachers_m,startchancen
01A04,Berlin-Kolleg,Kolleg,Public,Andere Schule,Mitte,Moabit,10551,Turmstraße,75,+49 30 901838210,+49 30 901838222,sekretariat@berlin-kolleg.de,https://www.berlin-kolleg.de,2024/25,Other School,,,,,,,,False
01B01,"OSZ Banken, Immobilien und Versicherungen",Oberstufenzentrum,Public,Berufsschule,Mitte,Moabit,10557,Alt-Moabit,10,+49 30 398840,+49 30 39884119,info@osz-biv.de,https://www.osz-biv.de,2024/25,Vocational School,2024/25,1603.0,642.0,961.0,76.0,41.0,35.0,False
01B02,Staatliche Technikerschule Berlin,Fachschule,Public,Berufsschule,Mitte,Moabit,10555,Bochumer Straße,8B,+49 30 901891400,+49 30 901891405,info@technikerschule-berlin.de,https://www.technikerschule-berlin.de,2024/25,Vocational School,2024/25,480.0,56.0,424.0,57.0,25.0,32.0,False
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",Oberstufenzentrum,Public,Berufsschule,Mitte,Gesundbrunnen,13359,Osloer Straße,23,+49 30 493070,+49 30 49307100,Sekretariat@oszkim.de,https://www.oszkim.de/wp,2024/25,Vocational School,2024/25,1226.0,310.0,916.0,82.0,40.0,42.0,True
01B04,OSZ Gesundheit I,Oberstufenzentrum,Public,Berufsschule,Mitte,Wedding,13349,Schwyzer Straße,6,+49 30 4530800,+49 30 45308077,sekretariat@osz-gesundheit.de,https://www.osz-gesundheit.de,2024/25,Vocational School,2024/25,2902.0,2564.0,338.0,94.0,65.0,29.0,False
01G01,Grundschule am Arkonaplatz,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Ruppiner Straße,47,+49 30 48625680,+49 30 486256820,sekretariat@arkonaplatz.schule.berlin.de,https://grundschuleamarkonaplatz.de,2024/25,Primary School,2024/25,426.0,191.0,235.0,34.0,28.0,6.0,False
01G02,Papageno-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Bergstraße,58,+49 30 30881711,+49 30 30881710,sekretariat@papageno-grundschule.de,http://www.papageno-grundschule.de,2024/25,Primary School,2024/25,616.0,307.0,309.0,51.0,33.0,18.0,False
01G04,Kastanienbaum-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10119,Gipsstraße,23A,+49 30 275816330,+49 30 275816350,sekretariat@kb.schule.berlin.de,https://www.kastanienbaum-grundschule.de,2024/25,Primary School,2024/25,415.0,200.0,215.0,26.0,22.0,4.0,False
01G05,Grundschule Neues Tor,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Hannoversche Straße,20,+49 30 24088330,+49 30 24088340,schulleitung@01G05.schule.berlin.de,https://www.neues-tor.de,2024/25,Primary School,2024/25,389.0,206.0,183.0,35.0,25.0,10.0,False
01G07,GutsMuths-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10179,Singerstraße,8,+49 30 2408386,+49 30 24083888,sekretariat@gutsmuths.schule.berlin.de,https://www.gutsmuths-grundschule.de,2024/25,Primary School,2024/25,410.0,201.0,209.0,34.0,27.0,7.0,False
01G08,Grundschule am Brandenburger Tor,Grundschule,Public,Grundschule,Mitte,Mitte,10117,Wilhelmstraße,52,+49 30 20629430,+49 30 20629440,sekretariat@gsabt.schule.berlin.de,https://grundschule.technik-4-you.de,2024/25,Primary School,2024/25,514.0,257.0,257.0,39.0,31.0,8.0,False
01G10,City-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10179,Sebastianstraße,57,+49 30 28449060,+49 30 28449070,Sekretariat@city.schule.berlin.de,https://city-grundschule.de,2024/25,Primary School,2024/25,605.0,305.0,300.0,41.0,32.0,9.0,False
01G11,Kurt-Tucholsky-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10559,Rathenower Straße,18,+49 30 3974429310,+49 30 3974429338,01G11@01G11.schule.berlin.de,https://kurt-tucholsky-grundschule.de,2024/25,Primary School,2024/25,684.0,337.0,347.0,59.0,44.0,15.0,False
01G15,Anne-Frank-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10557,Paulstraße,20B,+49 30 20629180,+49 30 20629188,sekretariat@anne-frank.schule.berlin.de,https://www.anne-frank-grundschule.de,2024/25,Primary School,2024/25,370.0,169.0,201.0,29.0,21.0,8.0,False
01G16,Moabiter Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10557,Paulstraße,28,+49 30 30208630,+49 30 30208640,kontakt@moabiter-grundschule.de,https://www.moabiter-grundschule.de,2024/25,Primary School,2024/25,456.0,212.0,244.0,44.0,34.0,10.0,False
01G18,Carl-Bolle-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10551,Waldenserstraße,21,+49 30 397457810,+49 30 397457811,info@Bolle.Schule.Berlin.de,https://www.carlbolleschule.de,2024/25,Primary School,2024/25,336.0,173.0,163.0,29.0,22.0,7.0,True
01G19,Hansa-Grundschule,Grundschule,Public,Grundschule,Mitte,Hansaviertel,10555,Lessingstraße,5,+49 30 39806430,+49 30 39806434,sekretariat@01G19.schule.berlin.de,http://www.hansa-grundschule-online.de,2024/25,Primary School,2024/25,420.0,204.0,216.0,31.0,27.0,4.0,False
01G24,Gottfried-Röhl-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13349,Ungarnstraße,75,+49 30 45081110,+49 30 45081120,01G24@01G24.schule.berlin.de,https://www.gottfried-roehl-schule.de,2024/25,Primary School,2024/25,471.0,226.0,245.0,43.0,35.0,8.0,False
