address_id,house_number,house_number_extra,street_name,postal_code,zone_code,neighborhood,zone_name,publication_date,effective_date,area_ha
100,51,B,Gollanczstraße,13465,ES1201,Reinickendorf,Frohnau,1997-05-17,1997-05-18,783.8
1000,458,,Stadtbahnbogen,10555,ES0117,Mitte,Hansaviertel,2020-01-30,2020-01-31,54.3
1001,460,,Stadtbahnbogen,10555,ES0117,Mitte,Hansaviertel,2020-01-30,2020-01-31,54.3
100126,2,,Sobernheimer Straße,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100127,4,,Sobernheimer Straße,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
1002,461,,Stadtbahnbogen,10555,ES0117,Mitte,Hansaviertel,2020-01-30,2020-01-31,54.3
100204,1,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100205,1,A,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100206,2,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100207,2,E,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100208,3,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100209,4,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100210,5,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100211,16,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100212,16,A,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100213,16,B,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100214,17,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100215,18,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
100216,19,,Alt-Müggelheim,12559,ES0911,Treptow-Köpenick,Dorfkern Alt-Müggelheim,2008-03-06,2008-03-07,7.0
