club_id,name,club,leisure,sport,amenity,street,housenumber,postcode,website,phone,email,opening_hours,geometry,wheelchair,latitude,longitude,district,neighborhood_id,neighborhood,full_address,district_id
30012753,Umspannwerk,,,,events_venue,,,,,,,unknown,POINT (13.4291868 52.4940425),true,52.4940425,13.4291868,Friedrichshain-Kreuzberg,0202,Kreuzberg,"Umspannwerk, Ohlauer Straße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",11002002
60775321,KW76,poker,,,,Konrad-Wolf-Straße,76,,,,,unknown,POINT (13.4816226 52.5386233),unknown,52.5386233,13.4816226,Lichtenberg,1110,Alt-Hohenschönhausen,"KW76, 76, Konrad-Wolf-Straße, Wilhelmsberg, Alt-Hohenschönhausen, Lichtenberg, Berlin, 13055, Deutschland",11011011
257709121,Kulturhaus Spandau,,,,arts_centre,,,,,,,unknown,POINT (13.2023117 52.5354787),true,52.5354787,13.2023117,Spandau,0501,Spandau,"Kulturhaus Spandau, Mauerstraße, Altstadt, Spandau, Berlin, 13597, Deutschland",11005005
266630320,Buergeramt Mahlsdorf,,,,community_centre,Hönower Straße,91,12623,,,,unknown,POINT (13.6120626 52.51314),true,52.51314,13.6120626,Marzahn-Hellersdorf,1004,Mahlsdorf,"Buergeramt Mahlsdorf, 91, Hönower Straße, Lichtenberger Gartenheim, Mahlsdorf, Marzahn-Hellersdorf, Berlin, 12623, Deutschland",11010010
268915262,Karame e.V.,,,,community_centre,Wilhelmshavener Straße,22,10551,,,,"mo-fr 13:00-18:00; sa-su,ph off",POINT (13.3415438 52.5310025),false,52.5310025,13.3415438,Mitte,0102,Moabit,"Karame e.V., 22, Wilhelmshavener Straße, Alt-Moabit, Moabit, Mitte, Berlin, 10551, Deutschland",11001001
268915306,Biberzahn,,,,community_centre,Jahnstraße,5,10967,,,,unknown,POINT (13.4193079 52.4888821),false,52.4888821,13.4193079,Friedrichshain-Kreuzberg,0202,Kreuzberg,"Biberzahn, 5, Jahnstraße, Graefekiez, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland",11002002
268915454,K3 Kiez-Kids-Klub,,,,community_centre,Kirchstraße,4,10557,http://www.frecherspatz.de/index.php/home,,,unknown,POINT (13.3489832 52.5238851),false,52.5238851,13.3489832,Mitte,0102,Moabit,"K3 Kiez-Kids-Klub, 4, Kirchstraße, Alt-Moabit, Moabit, Mitte, Berlin, 10557, Deutschland",11001001
268916049,Familienforum Havelhöhe,,,,social_centre,,,,,,,unknown,POINT (13.1575537 52.4608096),unknown,52.4608096,13.1575537,Spandau,0506,Kladow,"Familienforum Havelhöhe, Kladower Damm, Finnenhaussiedlung, Kladow, Spandau, Berlin, 14089, Deutschland",11005005
268916576,Katholische Pfarrei St. Matthias Schöneberg,,,,community_centre,Goltzstraße,29,10781,,,,unknown,POINT (13.3538116 52.495705),unknown,52.495705,13.3538116,Tempelhof-Schöneberg,0701,Schöneberg,"Katholische Pfarrei St. Matthias Schöneberg, 29, Goltzstraße, Winterfeldtkiez, Schöneberg, Tempelhof-Schöneberg, Berlin, 10781, Deutschland",11007007
268917395,Schwulenberatung Berlin,,,,community_centre,Niebuhrstraße,59/60,10629,https://schwulenberatungberlin.de/,+49 233 690 70,,mo-fr 09:00-20:00,POINT (13.3096797 52.504397),true,52.504397,13.3096797,Charlottenburg-Wilmersdorf,0401,Charlottenburg,"Schwulenberatung Berlin, 59/60, Niebuhrstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10629, Deutschland",11004004
