area_id,locality,neighborhood,year,crime_type_german,crime_type_english,category,total_number_cases,frequency_100k,population_base,severity_weight
10000.0,Mitte,Mitte,2015,Brand- stiftung,Arson,Property Crime,110.0,31.0,,4.5
10000.0,Mitte,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,253.0,70.0,,4.0
10000.0,Mitte,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,7107.0,1978.0,,3.5
10000.0,Mitte,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,4594.0,1278.0,,1.5
10000.0,Mitte,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,2078.0,578.0,,3.0
10000.0,Mitte,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,2638.0,734.0,,2.5
10000.0,Mitte,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,1245.0,337.0,,1.0
10000.0,Mitte,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,15078.0,4196.0,,2.0
10000.0,Mitte,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,5256.0,1463.0,,1.5
10000.0,Mitte,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,1265.0,352.0,,3.5
10000.0,Mitte,Mitte,2015,Raub,Robbery,Violent Crime,1040.0,289.0,,4.0
10000.0,Mitte,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,1923.0,535.0,,4.5
10000.0,Mitte,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,589.0,164.0,,4.5
10000.0,Mitte,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,46613.0,12971.0,,2.0
10000.0,Mitte,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,4846.0,1348.0,,2.5
10000.0,Mitte,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,98046.0,26957.0,,1.0
10000.0,Mitte,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,509.0,142.0,,3.0
11001.0,Tiergarten Süd,Mitte,2015,Brand- stiftung,Arson,Property Crime,11.0,78.0,,4.5
11001.0,Tiergarten Süd,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,18.0,127.0,,4.0
11001.0,Tiergarten Süd,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,474.0,3340.0,,3.5
11001.0,Tiergarten Süd,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,246.0,1733.0,,1.5
11001.0,Tiergarten Süd,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,107.0,754.0,,3.0
11001.0,Tiergarten Süd,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,135.0,951.0,,2.5
11001.0,Tiergarten Süd,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,83.0,585.0,,1.0
11001.0,Tiergarten Süd,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,940.0,6623.0,,2.0
11001.0,Tiergarten Süd,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,299.0,2107.0,,1.5
11001.0,Tiergarten Süd,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,52.0,366.0,,3.5
11001.0,Tiergarten Süd,Mitte,2015,Raub,Robbery,Violent Crime,81.0,571.0,,4.0
11001.0,Tiergarten Süd,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,109.0,768.0,,4.5
11001.0,Tiergarten Süd,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,58.0,409.0,,4.5
11001.0,Tiergarten Süd,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,2720.0,19164.0,,2.0
11001.0,Tiergarten Süd,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,313.0,2205.0,,2.5
11001.0,Tiergarten Süd,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,5475.0,38575.0,,1.0
11001.0,Tiergarten Süd,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,15.0,106.0,,3.0
11002.0,Regierungsviertel,Mitte,2015,Brand- stiftung,Arson,Property Crime,4.0,40.0,,4.5
11002.0,Regierungsviertel,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,10.0,99.0,,4.0
11002.0,Regierungsviertel,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,478.0,4731.0,,3.5
11002.0,Regierungsviertel,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,363.0,3593.0,,1.5
11002.0,Regierungsviertel,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,130.0,1287.0,,3.0
11002.0,Regierungsviertel,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,46.0,455.0,,2.5
11002.0,Regierungsviertel,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,110.0,1089.0,,1.0
11002.0,Regierungsviertel,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,863.0,8541.0,,2.0
11002.0,Regierungsviertel,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,314.0,3108.0,,1.5
11002.0,Regierungsviertel,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,48.0,475.0,,3.5
11002.0,Regierungsviertel,Mitte,2015,Raub,Robbery,Violent Crime,76.0,752.0,,4.0
11002.0,Regierungsviertel,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,96.0,950.0,,4.5
11002.0,Regierungsviertel,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,36.0,356.0,,4.5
11002.0,Regierungsviertel,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,5849.0,57888.0,,2.0
11002.0,Regierungsviertel,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,287.0,2840.0,,2.5
11002.0,Regierungsviertel,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,10313.0,102068.0,,1.0
11002.0,Regierungsviertel,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,15.0,148.0,,3.0
11003.0,Alexanderplatz,Mitte,2015,Brand- stiftung,Arson,Property Crime,12.0,23.0,,4.5
11003.0,Alexanderplatz,Mitte,2015,Branddelikte -insgesamt-,Arson Total,Property Crime,35.0,68.0,,4.0
11003.0,Alexanderplatz,Mitte,2015,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,1476.0,2882.0,,3.5
11003.0,Alexanderplatz,Mitte,2015,Fahrrad- diebstahl,Bicycle Theft,Property Crime,1074.0,2097.0,,1.5
11003.0,Alexanderplatz,Mitte,2015,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,322.0,629.0,,3.0
11003.0,Alexanderplatz,Mitte,2015,Rauschgift-delikte,Drug Crimes,Drug Offense,497.0,971.0,,2.5
11003.0,Alexanderplatz,Mitte,2015,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,338.0,660.0,,1.0
11003.0,Alexanderplatz,Mitte,2015,Kieztaten,Neighborhood Crimes,Public Order,3009.0,5876.0,,2.0
11003.0,Alexanderplatz,Mitte,2015,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,1175.0,2295.0,,1.5
11003.0,Alexanderplatz,Mitte,2015,Wohnraum- einbruch,Residential Burglary,Property Crime,235.0,459.0,,3.5
11003.0,Alexanderplatz,Mitte,2015,Raub,Robbery,Violent Crime,156.0,305.0,,4.0
11003.0,Alexanderplatz,Mitte,2015,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,425.0,830.0,,4.5
11003.0,Alexanderplatz,Mitte,2015,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,90.0,176.0,,4.5
11003.0,Alexanderplatz,Mitte,2015,Diebstahl -insgesamt-,Theft Total,Property Crime,12456.0,24324.0,,2.0
11003.0,Alexanderplatz,Mitte,2015,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,805.0,1572.0,,2.5
11003.0,Alexanderplatz,Mitte,2015,Straftaten -insgesamt-,Total Crimes,Overall,23524.0,45938.0,,1.0
11003.0,Alexanderplatz,Mitte,2015,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,80.0,156.0,,3.0
11004.0,Brunnenstraße Süd,Mitte,2015,Brand- stiftung,Arson,Property Crime,6.0,21.0,,4.5
