osm_type,osm_id,name,addr_street,addr_housenumber,addr_postcode,addr_city,opening_hours,wheelchair,phone,email,website,lat,lon
node,304183504,,Hönower Straße,75,12623,Berlin,,,,,,52.5114112,13.612096
node,313539258,Zahnzentrum Wedding,Müllerstraße,34a,13353,Berlin,Mo 09:00-19:00; Tu 09:00-18:00; We 09:00-17:00; Th 09:00-20:00; Fr 09:30-15:00,yes,,,,52.5488382,13.3553052
node,325161442,A. Nejad,,,,,Mo-Tu 09:00-19:00; We 09:00-14:00; Th 09:00-19:00; Fr 09:00-12:00,yes,+49 30 361 91 06,,,52.5088434,13.1804772
node,345236220,Dr. Beate Lengert,Kurfürstendamm,218,10719,Berlin,,,,,http://www.dr-beate-lengert.de/,52.5027217,13.3281367
node,391394177,Serpil Hartfiel,Kollwitzstraße,77,10435,Berlin,Mo-Th 08:00-19:00; Fr 08:00-12:00,no,,,https://www.zahnarztpraxis-hartfiel.de/,52.5375469,13.4189939
node,420517053,"Zahnärzte Nicolas Weiss, Volker Landmann",,,,,"Mo-Fr ""nach Vereinbarung""",,+49 30 7445020,praxis.weiss.landmann@gmail.com,http://www.zahnarztpraxis-lichtenrade.de/,52.3849683,13.4048698
node,430545835,DentZ,Tempelhofer Damm,143,12099,Berlin,"Mo,Tu,Fr 09:00-16:00; We,Th 11:00-19:00",yes,+49 30 2647972600,,http://dentz-berlin.de,52.466306,13.3859476
node,442391661,Zahnklinik Medeco,,,,,"Mo-Fr 07:00-21:00; Sa,Su,PH 09:00-18:00",limited,,,,52.4510627,13.3851782
node,484267657,Mund-Kiefer-Gesichtschirugie,,,,Berlin,,,,,,52.5251579,13.3101292
node,552149348,Zahnärztliche Gemeinschaftspraxis,,,,,Mo-Th 08:00-19:00; Fr 08:00-14:00,,+4930 4542013,Kontakt@Zahnarztpraxis-Speda.de,https://www.zahnarztpraxis-speda.de/,52.5413785,13.3537903
node,567546834,Dagmar Monse,,,,,"Mo,Tu,Th 08:00-19:30; We 08:00-14:00",,+49 30 4272633,,,52.522482,13.4498403
node,567546843,Leutloff,Ebertystraße,10,,,Mo-Th 07:00-20:00; Fr 10:00-17:00,no,+49 39 4270115,,,52.5252435,13.451933
node,567546849,T. Witascheck,,,,,Mo 11:00-18:00; Tu 08:00-18:00; We 15:00-18:00; Th 08:00-14:00; Fr 08:00-12:00,,+49 30 4299828,,,52.5259802,13.4518655
node,575192285,Zahnärzte am Weddingplatz MVZ,Reinickendorfer Straße,11,13347,Berlin,Mo-Fr 07:00-21:00; Sa 09:00-18:00; Su 11:00-17:00,yes,+49 30 4651449,info@zahnaerzte-wedding.de,https://www.zahnaerzte-wedding.de/,52.5419983,13.3702409
node,582854287,Dr. Jan-Hendrik Hollenstein & Kollegen,Marienfelder Allee,75-79,12277,Berlin,"Mo-Th 09:00-13:00,14:00-19:00; Fr 09:00-15:00",yes,,,,52.4192555,13.3684671
node,596559372,Zahnarztpraxis Schenk,Edisonstraße,63,12459,Berlin,Mo-We 07:30-19:00; Th 09:30-19:30,yes,+49 30 530 15 624,,http://www.dr-schenk-berlin.de,52.4615207,13.5129466
node,596559476,Zahnklinik Ost GmbH,Treskowallee,112,,,Mo-Fr 07:00-21:00,yes,+493050014944,karlshorst@zahnklinik-ost.de,https://www.zahnklinik-ost.de/,52.4821618,13.5250672
node,603743003,Dr. Robert Schulz,Goebelstraße,117,13629,Berlin,,,+49 30 3813400,,,52.539162,13.2721971
node,654356082,Dr. Bodo Seidel,Rohrdamm,26,13629,Berlin,"Mo 10:00-19:00; Tu 08:00-15:00; We 10:00-19:00; Th 08:00-13:00,14:00-18:00; Fr 08:00-12:00",,+49 30 3828415,,https://www.za-seidel.de/,52.5375986,13.2646306
node,655145025,Zahnarzt Dr. Kalinke,Hauptstraße,5B,10317,Berlin,"Mo,Th 08:00-16:00; Tu 08:00-16:00; Fr 08:00-13:00",yes,+49 30 +5589089,,,52.5000343,13.4777222
node,715203795,Zahnarztpraxis Toma,Mecklenburgische Straße,17,10713,Berlin,"Mo-Fr 09:00-13:00, Mo,Tu,Th 14:00-18:00",yes,+49 30 8243402,,https://www.za-toma.de/,52.4815199,13.314376
node,725621502,Dr. med. dent. Stella Talesnik (Fachärztin f. Kieferorthopädie),Landauer Straße,9,14197,Berlin,"Mo-Th 09:00-13:00,14:00-18:00",yes,,,,52.4727155,13.3172496
node,740049026,Peter Krause,Kamenzer Damm,40,12249,Berlin,,,+49 30 7751071,,,52.4340065,13.3596273
node,746841829,Dental 21,Neumannstraße,13,13189,Berlin,Mo-Th 08:00-20:00; Fr 08:00-16:00,,,,https://www.dental21-pankow.de/,52.5609416,13.4225578
node,747200081,Dipl.-Stom. Rolf Jammer,,,,,"Mo,We 12:00-18:00; Tu,Th 08:00-13:00",limited,,,,52.5814655,13.3973766
node,747816979,MVZ Volksdent,Prenzlauer Allee,176,10409,Berlin,Mo-Th 09:00-18:00; Fr 09:00-17:00,limited,03022325373,,https://volksdent.de,52.5456067,13.4273474
node,753361471,Dr. Springer,Berliner Straße,3,13187,Berlin,"""nach Vereinbarung""",no,,,https://pankow-zahnarzt.berlin,52.5701667,13.4104527
node,769958194,Zahnarztpraxis Birgit Kleinschmidt,Karl-Lade-Straße,40,10369,Berlin,"Tu,Fr 08:00-15:00, We,Th 14:00-20:00, We 14:00-16:00",limited,,,https://www.zahnarztpraxis-kleinschmidt.de/,52.5285621,13.4654732
node,837697561,,Pilotenstraße,14,12487,Berlin,,no,,,,52.4480148,13.5138099
