name,type,street,housenumber,postcode,city,opening_hours,phone,website,wheelchair,latitude,longitude,osm_id,osm_type,source,district_id
Kieser Training,fitness_centre,Holzhauser Straße,140d,13509.0,Berlin,"Mo-Fr 07:00-22:00; Sa-Su,PH 09:00-18:00",+49 30 41718917,https://www.kieser-training.de/studios/berlin/berlin-reinickendorf,unknown,52.5846088,13.3117903,277958275,node,OSM Overpass,
Kieser Training,fitness_centre,Ostseestraße,107,10409.0,Berlin,"Mo-Fr 07:00-21:00; Sa,Su,PH 09:00-18:00",+49 30 42105260,https://www.kieser-training.de/studios/berlin/berlin-prenzlauer-berg,yes,52.5467638,13.4425034,277958277,node,OSM Overpass,
Kieser Training,fitness_centre,Forckenbeckstraße,9-13,14199.0,Berlin,"Mo-Fr 07:00-22:00; Sa,Su,PH 09:00-18:00",,,unknown,52.4799991,13.3051873,277958288,node,OSM Overpass,
Kieser Training,fitness_centre,Teltowkanalstraße,2,12247.0,Berlin,,,,yes,52.4429012,13.3296947,277958289,node,OSM Overpass,
Kieser Training,fitness_centre,Rudower Straße,132,12351.0,Berlin,"Mo-Fr 07:30-21:30; Sa-Su,PH 09:00-18:00",,,yes,52.4339942,13.4690013,277958291,node,OSM Overpass,
Brooklyn Fitboxing Charlottenburg,fitness_centre,Kantstraße,38,10625.0,Berlin,,,https://www.brooklynfitboxing.com/public/de/de-de/club/charlottenburg,unknown,52.5064381,13.3142089,349301672,node,OSM Overpass,
Future Fit,fitness_centre,Alt-Tegel,21,13507.0,Berlin,,,,unknown,52.5888042,13.2802229,353900373,node,OSM Overpass,
Rocket Station,fitness_centre,,,10559.0,Berlin,,,https://rocketstation.de,unknown,52.532929,13.350192,428142496,node,OSM Overpass,
authentic body control,fitness_centre,Boddinstraße,4,,Berlin,,,,unknown,52.4810205,13.4336999,440337320,node,OSM Overpass,
Yogi Escape,fitness_centre,Rigaer Straße,25,10247.0,Berlin,,,,unknown,52.5168592,13.4618241,499500765,node,OSM Overpass,
McFit,fitness_centre,Konrad-Wolf-Straße,56-60,13055.0,Berlin,24/7,+493097604201,https://www.mcfit.com/de/studiodetail/info/berlin-hohenschoenhausen.html,yes,52.5361874,13.4746956,617268225,node,OSM Overpass,
Fitbox,fitness_centre,Turmstraße,74,10551.0,Berlin,Mo-Fr 09:00-20:00; Sa 09:00-15:00,,https://www.bardorf-optik.de/,no,52.5267655,13.333241,645677448,node,OSM Overpass,
Pilatesraum Berlin,fitness_centre,Breite Straße,33,14199.0,Berlin,"""Anmeldung online""",,https://www.pilatesraum-berlin.de,unknown,52.4744332,13.2925233,664244052,node,OSM Overpass,
Viva Studio,fitness_centre,Wilmersdorfer Straße,98,10629.0,Berlin,"Mo-Fr 08:00-17:00; Sa,Su 09:00-15:00",,,unknown,52.5021593,13.3080794,673611600,node,OSM Overpass,
Women's Lift Lounge,fitness_centre,Danziger Straße,55,10435.0,Berlin,,,,unknown,52.5399348,13.4210829,786216888,node,OSM Overpass,
Aspria,fitness_centre,,,,Berlin,"Mo-Fr 06:00-23:00; Sa,Su,PH 08:00-22:00",,http://www.aspria-berlin.de,unknown,52.5005987,13.2943126,810590618,node,OSM Overpass,
Superfit,fitness_centre,Schloßstraße,1,12163.0,Berlin,24/7,,,limited,52.4644342,13.3269685,812219708,node,OSM Overpass,
McFit,fitness_centre,Berliner Straße,148,10715.0,Berlin,24/7,,,limited,52.4866239,13.3283776,823473534,node,OSM Overpass,
Elbgym,fitness_centre,Walther-Schreiber-Platz,1,12161.0,Berlin,Mo-Fr 06:00-22:30; Sa-Su 08:00-20:00,,,no,52.4648869,13.3277034,833174269,node,OSM Overpass,
Holmes Place,fitness_centre,Anton-Wilhelm-Amo-Straße,50,10117.0,Berlin,"Mo-Th 06:00-23:00; Fr 06:00-22:00; Sa,Su,PH 08:00-22:00",,https://www.holmesplace.de/d/clubs/index.berlin-gendarmenmarkt.php,yes,52.5123998,13.3908216,879311582,node,OSM Overpass,
Tayfun Personal Trainer,fitness_centre,Kaiserin-Augusta-Allee,45,10589.0,Berlin,Mo-Fr 09:00-21:00,+49 30 692 016 36,https://www.berlin-personaltrainer.de/,unknown,52.5258921,13.3082059,891052374,node,OSM Overpass,
McFit,fitness_centre,Siegfriedstraße,177,10365.0,Berlin,24/7,+49 30 55154631,https://www.mcfit.com,no,52.5218057,13.4988651,901662461,node,OSM Overpass,
SuperFit Europa-Center,fitness_centre,Tauentzienstraße,9-12,,Berlin,24/7,,https://superfit.club/,unknown,52.5045718,13.3373165,925525521,node,OSM Overpass,
Fitness First,fitness_centre,Schloßstraße,110,12163.0,Berlin,"Mo-Fr 06:30-22:00; Sa,Su 08:00-21:00",,https://www.fitnessfirst.de/clubs/berlin-steglitz,yes,52.4609717,13.3250803,928931970,node,OSM Overpass,
SunYoga,fitness_centre,Torellstraße,7,10243.0,Berlin,,,,yes,52.5110587,13.4488022,932651529,node,OSM Overpass,
Yoga im Graefekiez,fitness_centre,Grimmstraße,19,10967.0,Berlin,,,,no,52.4927563,13.4142438,958096426,node,OSM Overpass,
Superfit Woman,fitness_centre,Schloßstraße,1,12163.0,Berlin,"Mo-Fr 07:00-23:00; Sa,Su 08:00-22:00",,,yes,52.4645372,13.3270583,970070951,node,OSM Overpass,
Fitness First,fitness_centre,Clayallee,328-334,14169.0,Berlin,Mo-Fr 06:00-23:00; Sa 08:00-22:00; Su 08:00-21:00,,https://www.fitnessfirst.de,no,52.4374727,13.2638979,1056915608,node,OSM Overpass,
Fitness First,fitness_centre,Clayallee,328-334,14169.0,Berlin,,,,unknown,52.4378498,13.2641914,1056915620,node,OSM Overpass,
Beat81,fitness_centre,Libauer Straße,1,10245.0,Berlin,,,,limited,52.5100356,13.4548892,1094853553,node,OSM Overpass,
Mrs. Sporty,fitness_centre,Mühlenstraße,4,14167.0,Berlin,,,https://www.mrssporty.de/club347,yes,52.4296407,13.2611651,1112755252,node,OSM Overpass,
Fitness First,fitness_centre,Schönhauser Allee,80,10439.0,Berlin,,,,no,52.5496432,13.4147198,1120057604,node,OSM Overpass,
Yoga Hub Berlin,fitness_centre,Greifswalder Straße,8d,10405.0,Berlin,"Mo-Fr 07:30-09:00,12:30-13:30,17:30-21:00; Sa 08:30-13:00; Su 09:30-12:30,17:30-19:00",,https://www.yogahubberlin.com,unknown,52.5293516,13.425576,1218312075,node,OSM Overpass,
Fitness Company Berlin,fitness_centre,Rüdersdorfer Straße,71,10243.0,Berlin,"Mo,We 08:00-23:00; Tu,Th,Fr 08:00-22:00; Sa 10:00-19:00; Su 10:00-20:00",,,no,52.5129482,13.4409043,1270475988,node,OSM Overpass,
Fitness and More,fitness_centre,,,,Berlin,,,,unknown,52.5072487,13.3262582,1279265631,node,OSM Overpass,
Sivananda Yoga,fitness_centre,Schmiljanstraße,24,12161.0,Berlin,,+49 30 85999798,https://berlin.sivananda.yoga/,unknown,52.470673,13.3310663,1333143675,node,OSM Overpass,
Gymfit,fitness_centre,,,,Berlin,,,,unknown,52.5371165,13.2058468,1336704497,node,OSM Overpass,
Mrs. Sporty,fitness_centre,,,,Berlin,,,,unknown,52.4772069,13.2895103,1387894027,node,OSM Overpass,
B23 Space,fitness_centre,Greifswalder Straße,23,10405.0,Berlin,,,,unknown,52.531302,13.4278041,1389043773,node,OSM Overpass,
UFC Gym,fitness_centre,Kurfürstendamm,38,10719.0,Berlin,,,,yes,52.5023417,13.3225954,1389063019,node,OSM Overpass,
Superfit,fitness_centre,Wilmersdorfer Straße,54,10627.0,Berlin,24/7,,,no,52.5083788,13.3058415,1438454178,node,OSM Overpass,
SuperFit,fitness_centre,Grunerstraße,20,10179.0,Berlin,24/7,,,limited,52.5186131,13.4160003,1438455119,node,OSM Overpass,
McFit,fitness_centre,Seestraße,64,13347.0,Berlin,24/7,,https://www.mcfit.com,yes,52.5537674,13.3604139,1457608587,node,OSM Overpass,
SunYoga,fitness_centre,Mehringdamm,33,10961.0,Berlin,,+49 30 69565522,https://www.sunyoga.de/,no,52.4934118,13.3886695,1470020226,node,OSM Overpass,
Bewegungsstudio,fitness_centre,,,,Berlin,,,,limited,52.5489078,13.4079903,1471968739,node,OSM Overpass,
Sacred Space,fitness_centre,,,,Berlin,,,,unknown,52.4884122,13.4298633,1576962361,node,OSM Overpass,
M&M Fitness-Center,fitness_centre,,,,Berlin,"Mo-Fr 07:00-23:00; Sa,Su 07:00-19:00",,http://www.mundm-fitness.de/,yes,52.4223527,13.4379849,1577855726,node,OSM Overpass,
McFit,fitness_centre,Alt-Mahlsdorf,24,12623.0,Berlin,24/7,+49 30 5659 2494,,yes,52.5052223,13.6123631,1583959145,node,OSM Overpass,
Hadi Zalzadeh,fitness_centre,Kollwitzstraße,102,10435.0,Berlin,"Mo-Fr 08:00-20:00; Sa 10:00-18:00; Su ""auf Anfrage""",,,yes,52.5391543,13.4215361,1584743772,node,OSM Overpass,
Green Studio Pilates,fitness_centre,Jessnerstraße,58,10247.0,Berlin,,,,unknown,52.50955,13.4698898,1588139056,node,OSM Overpass,
Yoga-Institut Berlin,fitness_centre,Bergmannstraße,91,10961.0,Berlin,,,www.yoga-institut-berlin.de,unknown,52.4897726,13.3930155,1610111889,node,OSM Overpass,
Fit T9 Frauenfitness,fitness_centre,Müllerstraße,36,13353.0,Berlin,"Mo-Fr 07:00-23:00; Sa,Su 09:00-22:00",,http://fit-t9.de/frauenfitness-berlin-wedding/,no,52.5492489,13.354639,1715298789,node,OSM Overpass,
myoga,fitness_centre,Sieglindestraße,7,12159.0,Berlin,,,http://friedenauyoga.de/,no,52.4764214,13.3294195,1718478056,node,OSM Overpass,
McFit,fitness_centre,,,,Berlin,,,,yes,52.4306176,13.3755423,1762116722,node,OSM Overpass,
Rent-A-Trainer-Berlin Gym,fitness_centre,Nollendorfstraße,23,10777.0,Berlin,"Mo-Fr 07:00-22:00; Sa 08:00-16:00; Su,PH off",,,no,52.4974065,13.3504955,1870398737,node,OSM Overpass,
Urban Boost,fitness_centre,Pariser Straße,43,10707.0,Berlin,Mo-Fr 10:00-19:00; Sa 10:00-15:00,,,unknown,52.4979231,13.3192394,1915070108,node,OSM Overpass,
Zentrum für Yoga & Qigong,fitness_centre,,,,Berlin,,,,unknown,52.477839,13.286039,1918474939,node,OSM Overpass,
Mrs. Sporty,fitness_centre,Hugenottenplatz,3,13127.0,Berlin,"PH,Mo-Su 06:00-22:00",+493047487074,https://www.mrssporty.de/club/berlin-franzoesisch-buchholz/,unknown,52.6069668,13.419858,1970628072,node,OSM Overpass,
Impuls EMS-Studio,fitness_centre,Genossenschaftsstraße,69,12489.0,Berlin,"Mo 08:30-20:00, Tu 08:30-21:00, We 08:30-20:00, Tu 08:30-21:00, Fr 08:30-20:00, Sa 08:30-15:00; PH off",+49 30 70 76 11 31,,yes,52.4376876,13.5469767,1981014509,node,OSM Overpass,
Yoga in der Schwangerschaft Frauke Stadali,fitness_centre,Belziger Straße,7,10823.0,Berlin,,,,unknown,52.4879655,13.3567272,2059798815,node,OSM Overpass,
Fitness First,fitness_centre,,,,Berlin,"Mo,We,Fr 07:00-23:00; Sa,Su,PH 08:00-20:00",,https://www.fitnessfirst.de/,yes,52.5063071,13.3071048,2082268403,node,OSM Overpass,
Kieser Training,fitness_centre,,,,Berlin,"Mo-Fr 07:00-22:00; Sa-Su, PH 09:00-18:00",+49 30 43727807,https://www.kieser-training.de/studios/berlin/berlin-charlottenburg,limited,52.5115671,13.3211747,2116638898,node,OSM Overpass,
McFit,fitness_centre,Schöneberger Straße,12-15,12103.0,Berlin,24/7,+49 30 75443877,https://www.mcfit.com,no,52.4696804,13.3743607,2149937826,node,OSM Overpass,
Abnehmen im Liegen,fitness_centre,Schivelbeiner Straße,35,10439.0,Berlin,,,,unknown,52.5508228,13.409037,2158310119,node,OSM Overpass,
Holmes Place,fitness_centre,Wilmersdorfer Straße,38,10585.0,Berlin,Mo-Fr 07:00-22:00; Sa-Su 09:00-21:00,,,yes,52.5119376,13.3049113,2187588493,node,OSM Overpass,
McFit,fitness_centre,Alt-Moabit,96D,10559.0,Berlin,24/7,,,no,52.5248857,13.34569,2306175948,node,OSM Overpass,
Three Boons Yoga,fitness_centre,Kurfürstendamm,,10707.0,Berlin,,,,unknown,52.5000367,13.3101396,2334538079,node,OSM Overpass,
McFit,fitness_centre,,,,Berlin,,+49 30 63905744,https://www.mcfit.com/,no,52.4639256,13.4983345,2427830701,node,OSM Overpass,
JOHN REED Fitness,fitness_centre,Kottbusser Damm,1,10967.0,Berlin,Mo-Su 06:00-12:00,,,no,52.4953419,13.4201449,2445179072,node,OSM Overpass,
EMSLounge,fitness_centre,,,,Berlin,Mo-Fr 08:30-20:30; Sa 09:00-16:00,,,unknown,52.4830416,13.525466,2445856559,node,OSM Overpass,
Sport & Therapiezentrum,fitness_centre,,,,Berlin,,,,unknown,52.5360507,13.2757823,2449154365,node,OSM Overpass,
