gym_id,district_id,name,address,postal_code,phone_number,email,coordinates,latitude,longitude,neighborhood,district
277958275,11000012,Kieser Training,Holzhauser Straße 140d,13509.0,+49 30 41718917,,POINT (13.3117903 52.5846088),52.5846088,13.3117903,,Reinickendorf
277958277,11000003,Kieser Training,Ostseestraße 107,10409.0,+49 30 42105260,,POINT (13.4425034 52.5467638),52.5467638,13.4425034,,Pankow
277958288,11000004,Kieser Training,Forckenbeckstraße 9-13,14199.0,,,POINT (13.3051873 52.4799991),52.4799991,13.3051873,,Charlottenburg-Wilmersdorf
277958289,11000006,Kieser Training,Teltowkanalstraße 2,12247.0,,,POINT (13.3296947 52.4429012),52.4429012,13.3296947,,Steglitz-Zehlendorf
277958291,11000008,Kieser Training,Rudower Straße 132,12351.0,,,POINT (13.4690013 52.4339942),52.4339942,13.4690013,,Neukölln
349301672,11000004,Brooklyn Fitboxing Charlottenburg,Kantstraße 38,10625.0,,,POINT (13.3142089 52.5064381),52.5064381,13.3142089,,Charlottenburg-Wilmersdorf
353900373,11000012,Future Fit,Alt-Tegel 21,13507.0,,,POINT (13.2802229 52.5888042),52.5888042,13.2802229,,Reinickendorf
428142496,11000001,Rocket Station, ,10559.0,,,POINT (13.350192 52.532929),52.532929,13.350192,,Mitte
440337320,11000008,authentic body control,Boddinstraße 4,,,,POINT (13.4336999 52.4810205),52.4810205,13.4336999,,Neukölln
499500765,11000002,Yogi Escape,Rigaer Straße 25,10247.0,,,POINT (13.4618241 52.5168592),52.5168592,13.4618241,,Friedrichshain-Kreuzberg
617268225,11000011,McFit,Konrad-Wolf-Straße 56-60,13055.0,+493097604201,,POINT (13.4746956 52.5361874),52.5361874,13.4746956,,Lichtenberg
645677448,11000001,Fitbox,Turmstraße 74,10551.0,,,POINT (13.333241 52.5267655),52.5267655,13.333241,,Mitte
664244052,11000004,Pilatesraum Berlin,Breite Straße 33,14199.0,,,POINT (13.2925233 52.4744332),52.4744332,13.2925233,,Charlottenburg-Wilmersdorf
673611600,11000004,Viva Studio,Wilmersdorfer Straße 98,10629.0,,,POINT (13.3080794 52.5021593),52.5021593,13.3080794,,Charlottenburg-Wilmersdorf
786216888,11000003,Women's Lift Lounge,Danziger Straße 55,10435.0,,,POINT (13.4210829 52.5399348),52.5399348,13.4210829,,Pankow
810590618,11000004,Aspria, ,,,,POINT (13.2943126 52.5005987),52.5005987,13.2943126,,Charlottenburg-Wilmersdorf
812219708,11000006,Superfit,Schloßstraße 1,12163.0,,,POINT (13.3269685 52.4644342),52.4644342,13.3269685,,Steglitz-Zehlendorf
823473534,11000004,McFit,Berliner Straße 148,10715.0,,,POINT (13.3283776 52.4866239),52.4866239,13.3283776,,Charlottenburg-Wilmersdorf
833174269,11000007,Elbgym,Walther-Schreiber-Platz 1,12161.0,,,POINT (13.3277034 52.4648869),52.4648869,13.3277034,,Tempelhof-Schöneberg
879311582,11000001,Holmes Place,Anton-Wilhelm-Amo-Straße 50,10117.0,,,POINT (13.3908216 52.5123998),52.5123998,13.3908216,,Mitte
891052374,11000004,Tayfun Personal Trainer,Kaiserin-Augusta-Allee 45,10589.0,+49 30 692 016 36,,POINT (13.3082059 52.5258921),52.5258921,13.3082059,,Charlottenburg-Wilmersdorf
901662461,11000011,McFit,Siegfriedstraße 177,10365.0,+49 30 55154631,,POINT (13.4988651 52.5218057),52.5218057,13.4988651,,Lichtenberg
925525521,11000004,SuperFit Europa-Center,Tauentzienstraße 9-12,,,,POINT (13.3373165 52.5045718),52.5045718,13.3373165,,Charlottenburg-Wilmersdorf
