name,address,coordinates,latitude,longitude,locality,neighborhood,distance,beds,cases
St. Hedwig-Krankenhaus Berlin,"Große Hamburger Straße 5-11
10115 Berlin","52.52582662684028, 13.396515830691005",52.52582662684028,13.396515830691005,Alexanderplatz,Mitte,0.8,427,64515
Charité - Universitätsmedizin Berlin,"Charitéplatz 1
10117 Berlin","52.52662465412624, 13.376658301525385",52.52662465412624,13.376658301525383,Alexanderplatz,Mitte,2.2,3011,1891343
Vivantes Klinikum im Friedrichshain,"Landsberger Allee 49
10249 Berlin","52.52476641204036, 13.43904818247062",52.52476641204036,13.43904818247062,Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,2.4,956,111119
Psychiatrisch-Psychotherapeutische Tagesklinik St. Martha Prenzlauer Berg,"Diesterwegstr. 32
10405 Berlin","52.5413743809574, 13.430949",52.5413743809574,13.430949,Prenzlauer Berg Süd,Pankow,2.7,21,2004
Vivantes Klinikum Am Urban,"Dieffenbachstraße 1
10967 Berlin","52.494275898889505, 13.40892918516296",52.49427589888951,13.40892918516296,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,2.9,607,65066
Bundeswehrkrankenhaus Berlin,"Scharnhosrtstraße 13
10115 Berlin","52.535402359877416, 13.370445000000002",52.535402359877416,13.370445000000002,Alexanderplatz,Mitte,2.9,367,11522
Evangelische Elisabeth Klinik,"Lützowstraße 24-26
10785 Berlin","52.5038038841173, 13.364952542327249",52.5038038841173,13.364952542327249,Tiergarten Süd,Mitte,3.3,145,40651
Entgiftungskrankenhaus Count Down,"Frankfurter Allee 40
10247 Berlin","52.51487928580479, 13.462392084654498",52.51487928580479,13.462392084654498,Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3.9,12,359
Deutsches Herzzentrum der Charité (DHZC) ,"Augustenburger Platz 1
13353 Berlin","52.542487124999056, 13.347066370325916",52.542487124999056,13.347066370325916,Parkviertel,Mitte,4.3,473,0
Franziskus-Krankenhaus Berlin,"Budapester Str. 15-19
10787 Berlin","52.50637062379895, 13.34512454232725",52.50637062379895,13.34512454232725,Tiergarten Süd,Mitte,4.3,185,25698
"Vivantes Klinikum Neukölln, Psychosomatische Tagesklinik Sonnenallee","Sonnenallee 47
12045 Berlin","52.485818870542296, 13.432526915345502",52.485818870542296,13.432526915345502,Reuterstraße,Neukölln,4.3,22,160
Jüdisches Krankenhaus Berlin - Stiftung des bürgerlichen Rechts,"Heinz-Galinski-Straße 1
13347 Berlin","52.55570649087277, 13.370581542327248",52.55570649087277,13.370581542327248,Wedding Zentrum,Mitte,4.6,384,40607
DRK Kliniken Berlin Mitte,"Drontheimer Straße 39-40
13359 Berlin","52.55754666146648, 13.376381626981745",52.55754666146648,13.376381626981743,Osloer Straße,Mitte,4.6,260,23437
Evangelisches Geriatriezentrum Berlin gGmbH (EGZB),"Reinickendorfer Straße 61
13347 Berlin","52.554722031188575, 13.363412486688343",52.554722031188575,13.363412486688343,Wedding Zentrum,Mitte,4.7,192,3332
Klinik Schöneberg GmbH,"Fuggerstraße 23
10777 Berlin","52.49879772845986, 13.34462345767275",52.49879772845986,13.34462345767275,Schöneberg-Nord,Tempelhof - Schöneberg,4.7,34,2936
Augenklinik im Ring-Center GmbH,"Frankfurter Allee 111
10247 Berlin","52.514456520970285, 13.47390945767275",52.514456520970285,13.47390945767275,Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4.7,17,6549
Park-Klinik Weißensee,"Schönstraße 80
13086 Berlin","52.55562086077847, 13.451278357164291",52.55562086077847,13.451278357164291,Weißensee,Pankow,5.0,370,32805
Ev. Krankenhaus Königin Elisabeth Herzberge - Tagesklinik City Point Center für Psychische Gesundheit,"Weißenseer Weg (Roederplatz) 111
10369 Berlin","52.527366617457034, 13.478810373018252",52.52736661745704,13.478810373018252,Fennpfuhl,Lichtenberg,5.0,64,527
