district_id,district,name,address,post_code,distance,beds,cases,latitude,longitude
01,Mitte,St. Hedwig-Krankenhaus Berlin,"Große Hamburger Straße 5-11
10115 Berlin",10115,0.8,427,64515,52.52582662684028,13.396515830691005
01,Mitte,Charité - Universitätsmedizin Berlin,"Charitéplatz 1
10117 Berlin",10117,2.2,3011,1891343,52.52662465412624,13.376658301525385
02,Friedrichshain-Kreuzberg,Vivantes Klinikum im Friedrichshain,"Landsberger Allee 49
10249 Berlin",10249,2.4,956,111119,52.52476641204036,13.43904818247062
03,Pankow,Psychiatrisch-Psychotherapeutische Tagesklinik St. Martha Prenzlauer Berg,"Diesterwegstr. 32
10405 Berlin",10405,2.7,21,2004,52.5413743809574,13.430949
02,Friedrichshain-Kreuzberg,Vivantes Klinikum Am Urban,"Dieffenbachstraße 1
10967 Berlin",10967,2.9,607,65066,52.494275898889505,13.40892918516296
01,Mitte,Bundeswehrkrankenhaus Berlin,"Scharnhosrtstraße 13
10115 Berlin",10115,2.9,367,11522,52.535402359877416,13.370445000000002
01,Mitte,Evangelische Elisabeth Klinik,"Lützowstraße 24-26
10785 Berlin",10785,3.3,145,40651,52.5038038841173,13.364952542327249
02,Friedrichshain-Kreuzberg,Entgiftungskrankenhaus Count Down,"Frankfurter Allee 40
10247 Berlin",10247,3.9,12,359,52.51487928580479,13.462392084654498
01,Mitte,Deutsches Herzzentrum der Charité (DHZC) ,"Augustenburger Platz 1
13353 Berlin",13353,4.3,473,0,52.542487124999056,13.347066370325916
01,Mitte,Franziskus-Krankenhaus Berlin,"Budapester Str. 15-19
10787 Berlin",10787,4.3,185,25698,52.50637062379895,13.34512454232725
08,Neukölln,"Vivantes Klinikum Neukölln, Psychosomatische Tagesklinik Sonnenallee","Sonnenallee 47
12045 Berlin",12045,4.3,22,160,52.485818870542296,13.432526915345502
01,Mitte,Jüdisches Krankenhaus Berlin - Stiftung des bürgerlichen Rechts,"Heinz-Galinski-Straße 1
13347 Berlin",13347,4.6,384,40607,52.55570649087277,13.370581542327248
01,Mitte,DRK Kliniken Berlin Mitte,"Drontheimer Straße 39-40
13359 Berlin",13359,4.6,260,23437,52.55754666146648,13.376381626981745
01,Mitte,Evangelisches Geriatriezentrum Berlin gGmbH (EGZB),"Reinickendorfer Straße 61
13347 Berlin",13347,4.7,192,3332,52.554722031188575,13.363412486688343
07,Tempelhof-Schöneberg,Klinik Schöneberg GmbH,"Fuggerstraße 23
10777 Berlin",10777,4.7,34,2936,52.49879772845986,13.34462345767275
02,Friedrichshain-Kreuzberg,Augenklinik im Ring-Center GmbH,"Frankfurter Allee 111
10247 Berlin",10247,4.7,17,6549,52.514456520970285,13.47390945767275
03,Pankow,Park-Klinik Weißensee,"Schönstraße 80
13086 Berlin",13086,5.0,370,32805,52.55562086077847,13.451278357164291
11,Lichtenberg,Ev. Krankenhaus Königin Elisabeth Herzberge - Tagesklinik City Point Center für Psychische Gesundheit,"Weißenseer Weg (Roederplatz) 111
10369 Berlin",10369,5.0,64,527,52.527366617457034,13.478810373018252
07,Tempelhof-Schöneberg,St.Joseph Krankenhaus,"Wüsthoffstraße 15
12101 Berlin",12101,5.1,506,80714,52.478615776342544,13.372421
03,Pankow,Alexianer St. Joseph-Krankenhaus Berlin-Weißensee,"Gartenstr. 1
13088 Berlin",13088,5.5,323,17473,52.551043378153665,13.468248288363757
01,Mitte,Alexianer - Müllerstraße,"Müllerstraße 56-58
13349 Berlin",13349,5.5,18,159,52.55438754582734,13.346307830691007
07,Tempelhof-Schöneberg,"Vivantes Auguste-Viktoria-Klinikum, Tagesklinik Psychosenpsychotherapie/ CBASP (Dominicusstraße)","Dominicusstraße 5-9
10823 Berlin",10823,5.6,20,103,52.48421208246301,13.346080626981747
