Tabelle: 23111-0001
Hospitals, beds, patients: Germany, years;;;;;;;;
Basic data on hospitals;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;
;Hospitals;;Beds;;Beds per 100 000 inhabitants;;Patients;;Patients per 100 000 inhabitants;;Occupancy / billing days;;Average length of stay;;Average occupancy of hospital beds;
;number;number;number;number;number;number;number;number;number;number;1000;1000;days;days;percent;percent
1991;2411;e;665565;e;832;e;14576613;e;18224;e;204204;e;14.0;e;84.1;e
1992;2381;e;646995;e;803;e;14974845;e;18581;e;198769;e;13.2;e;83.9;e
1993;2354;e;628658;e;774;e;15191174;e;18713;e;190741;e;12.5;e;83.1;e
1994;2337;e;618176;e;759;e;15497702;e;19034;e;186049;e;11.9;e;82.5;e
1995;2325;e;609123;e;746;e;15931168;e;19509;e;182627;e;11.4;e;82.1;e
1996;2269;e;593743;e;725;e;16165019;e;19739;e;175247;e;10.8;e;80.6;e
1997;2258;e;580425;e;707;e;16429031;e;20023;e;171837;e;10.4;e;81.1;e
1998;2263;e;571629;e;697;e;16847477;e;20538;e;171802;e;10.1;e;82.3;e
1999;2252;e;565268;e;689;e;17092707;e;20823;e;169696;e;9.9;e;82.2;e
2000;2242;e;559651;e;681;e;17262929;e;21004;e;167789;e;9.7;e;81.9;e
2001;2240;e;552680;e;671;e;17325083;e;21041;e;163536;e;9.4;e;81.1;e
2002;2221;e;547284;e;664;e;17432272;e;21135;e;159937;e;9.2;e;80.1;e
2003;2197;e;541901;e;657;e;17295910;e;20960;e;153518;e;8.9;e;77.6;e
2004;2166;e;531333;e;644;e;16801649;e;20365;e;146746;e;8.7;e;75.5;e
2005;2139;e;523824;e;635;e;16539398;e;20056;e;143244;e;8.7;e;74.9;e
2006;2104;e;510767;e;620;e;16832883;e;20437;e;142251;e;8.5;e;76.3;e
2007;2087;e;506954;e;616;e;17178573;e;20883;e;142893;e;8.3;e;77.2;e
2008;2083;e;503360;e;613;e;17519579;e;21334;e;142535;e;8.1;e;77.4;e
2009;2084;e;503341;e;615;e;17817180;e;21762;e;142414;e;8.0;e;77.5;e
2010;2064;e;502749;e;615;e;18032903;e;22057;e;141942;e;7.9;e;77.4;e
2011;2045;e;502029;e;626;e;18344156;e;22870;e;141676;e;7.7;e;77.3;e
2012;2017;e;501475;e;624;e;18620442;e;23156;e;142024;e;7.6;e;77.4;e
2013;1996;e;500671;e;621;e;18787168;e;23296;e;141340;e;7.5;e;77.3;e
2014;1980;e;500680;e;618;e;19148626;e;23645;e;141534;e;7.4;e;77.4;e
2015;1956;e;499351;e;611;e;19239574;e;23553;e;141281;e;7.3;e;77.5;e
2016;1951;e;498718;e;606;e;19532779;e;23720;e;142170;e;7.3;e;77.9;e
2017;1942;e;497182;e;602;e;19442810;e;23522;e;141152;e;7.3;e;77.8;e
2018;1925;e;498192;e;601;e;19392466;e;23391;e;140225;e;7.2;e;77.1;e
2019;1914;e;494326;e;595;e;19415555;e;23266;e;139268;e;7.2;e;77.2;e
2020;1903;e;487783;e;587;e;16793962;e;20195;e;120202;e;7.2;e;67.3;e
2021;1887;e;483606;e;581;e;16742344;e;20124;e;120421;e;7.2;e;68.2;e
2022;1893;e;480382;e;573;e;16802693;e;20051;e;121049;e;7.2;e;69.0;e
2023;1874;e;476924;e;564;e;17202131;e;20354;e;123894;e;7.2;e;71.2;e
__________
© Statistisches Bundesamt (Destatis), 2025
created: 2025-06-20 / 13:30:52
