kindergarten_id,district_id,name,address,postal_code,phone_number,email,website,coordinates,latitude,longitude,neighborhood,district,operator,capacity,source,created_at,updated_at
1,08,Bunte Klänge Kindergarten,"Graf-Haeseler-Straße 23, 13403 Berlin",13403,,,,"52.5699596,13.3138632",52.5699596,13.3138632,Reinickendorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2,02,Nestwärme Kita,Unknown,0,,,,"52.5015358,13.4333992",52.5015358,13.4333992,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
3,11,Kita Fehlerstraße 2,"Fehlerstraße 2, 12161 Berlin",12161,,,,"52.4767411,13.3258251",52.4767411,13.3258251,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
4,11,Ganztagsbetreuung der Fläming-Grundschule,"Rheinstraße 54, 12161 Berlin",12161,,,,"52.4685223,13.3325044",52.4685223,13.3325044,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Nachbarschaftsheim Schöneberg e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
5,05,kidsweb.de Kindertagesbetreuung,Unknown,0,,,,"52.5398837,13.3496243",52.5398837,13.3496243,Mitte,Mitte,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
6,11,EKG - An der Apostelkirche 1,"Kurfürstenstraße 139, 10785 Berlin",10785,,,,"52.5006833,13.3587022",52.5006833,13.3587022,Mitte,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
7,08,EKG - Alt-Wittenau 64,"Alt-Wittenau 64, 13437 Berlin",13437,,,,"52.5916324,13.3258382",52.5916324,13.3258382,Reinickendorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
8,08,EKG - An der Mäckeritzbrücke 4,Unknown,0,,,,"52.5504682,13.2698094",52.5504682,13.2698094,Reinickendorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
9,08,EKG - Berliner Straße 120,Unknown,0,,,,"52.617587,13.3155199",52.617587,13.3155199,Reinickendorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
10,10,EKG - Ellwanger Straße 9-11,Unknown,0,,,,"52.4473892,13.3571434",52.4473892,13.3571434,Steglitz-Zehlendorf,Steglitz-Zehlendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
11,01,EKG - Detmolder Straße 17,Unknown,0,,,,"52.4791322,13.3211029",52.4791322,13.3211029,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
12,11,EKG - Friedenstraße 20,Unknown,0,,,,"52.4389996,13.3866799",52.4389996,13.3866799,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
13,11,Ev. Teilzeit-Kita Goltzstraße,"Goltzstraße 33, 12307 Berlin",12307,,,,"52.3853393,13.4057689",52.3853393,13.4057689,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Unknown,28,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
14,08,EKG - Gemeindezentrum Schillerhöhe,Unknown,0,,,,"52.5602005,13.3607718",52.5602005,13.3607718,Reinickendorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
15,01,Kita der Evangelischen Kirchengemeinde Am Lietzensee,"Herbartstraße 4, 14057 Berlin",14057,,,,"52.504493,13.2870406",52.504493,13.2870406,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Unknown,50,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
