kindergarten_id,district_id,name,address,postal_code,latitude,longitude,neighborhood,district,operator,capacity,source,created_at,updated_at
1,11012012,Bunte Klänge Kindergarten,"Graf-Haeseler-Straße 23, 13403 Berlin",13403,52.5699596,13.3138632,Reinickendorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2,11002002,Nestwärme Kita,Unknown,Unknown,52.5015358,13.4333992,Kreuzberg,Friedrichshain-Kreuzberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
3,11007007,Kita Fehlerstraße 2,"Fehlerstraße 2, 12161 Berlin",12161,52.4767411,13.3258251,Friedenau,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
4,11007007,Ganztagsbetreuung der Fläming-Grundschule,"Rheinstraße 54, 12161 Berlin",12161,52.4685223,13.3325044,Friedenau,Tempelhof-Schöneberg,Nachbarschaftsheim Schöneberg e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
5,11001001,kidsweb.de Kindertagesbetreuung,Unknown,Unknown,52.5398837,13.3496243,Wedding,Mitte,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
6,11001001,EKG - An der Apostelkirche 1,"Kurfürstenstraße 139, 10785 Berlin",10785,52.5006833,13.3587022,Schöneberg,Mitte,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
7,11012012,EKG - Alt-Wittenau 64,"Alt-Wittenau 64, 13437 Berlin",13437,52.5916324,13.3258382,Wittenau,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
8,11012012,EKG - An der Mäckeritzbrücke 4,Unknown,Unknown,52.5504682,13.2698094,Tegel,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
9,11012012,EKG - Berliner Straße 120,Unknown,Unknown,52.617587,13.3155199,Hermsdorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
10,11006006,EKG - Ellwanger Straße 9-11,Unknown,Unknown,52.4473892,13.3571434,Steglitz,Steglitz-Zehlendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
