id,name,address,district,zip_code,latitude,longitude,provider,capacity,age_groups,created_at,updated_at
137549003,Bunte  Klänge Kindergarten,Graf-Haeseler-Straße 23,Berlin,13403.0,52.5699596,13.3138632,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
167048488,Nestwärme Kita,Unknown,Unknown,Unknown,52.5015358,13.4333992,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915158,Kita Fehlerstraße 2,Fehlerstraße 2,Berlin,12161.0,52.4767411,13.3258251,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915167,Ganztagsbetreuung der Fläming-Grundschule,Rheinstraße 54,Berlin,12161.0,52.4685223,13.3325044,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915173,kidsweb.de Kindertagesbetreuung,Unknown,Unknown,Unknown,52.5398837,13.3496243,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915177,EKG - An der Apostelkirche 1,Kurfürstenstraße 139,Unknown,10785.0,52.5006833,13.3587022,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915180,EKG - Alt-Wittenau 64,Alt-Wittenau 64,Berlin,13437.0,52.5916324,13.3258382,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915183,EKG - An der Mäckeritzbrücke 4,Unknown,Unknown,Unknown,52.5504682,13.2698094,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915194,EKG - Ellwanger Straße 9-11,Unknown,Unknown,Unknown,52.4473892,13.3571434,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915196,EKG - Detmolder Straße 17,Unknown,Unknown,Unknown,52.4791322,13.3211029,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
268915198,EKG - Friedenstraße 20,Unknown,Unknown,Unknown,52.4389996,13.3866799,Unknown,,,2025-08-15 06:56:12.735074,2025-08-15 06:56:12.735859
