id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
1,Bunte Klänge Kindergarten,"Graf-Haeseler-Straße 23, 13403 Berlin",13403,Reinickendorf,52.5699596,13.3138632,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
2,Nestwärme Kita,Unknown,Unknown,Nan,52.5015358,13.4333992,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
3,Kita Fehlerstraße 2,"Fehlerstraße 2, 12161 Berlin",12161,Friedenau,52.4767411,13.3258251,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
4,Ganztagsbetreuung der Fläming-Grundschule,"Rheinstraße 54, 12161 Berlin",12161,Friedenau,52.4685223,13.3325044,Nachbarschaftsheim Schöneberg e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
5,kidsweb.de Kindertagesbetreuung,Unknown,Unknown,Nan,52.5398837,13.3496243,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
6,EKG - An der Apostelkirche 1,"Kurfürstenstraße 139, 10785 Berlin",10785,Schöneberg,52.5006833,13.3587022,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
7,EKG - Alt-Wittenau 64,"Alt-Wittenau 64, 13437 Berlin",13437,Wittenau,52.5916324,13.3258382,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
8,EKG - An der Mäckeritzbrücke 4,Unknown,Unknown,Nan,52.5504682,13.2698094,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
9,EKG - Berliner Straße 120,Unknown,Unknown,Nan,52.617587,13.3155199,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
10,EKG - Ellwanger Straße 9-11,Unknown,Unknown,Nan,52.4473892,13.3571434,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
11,EKG - Detmolder Straße 17,Unknown,Unknown,Nan,52.4791322,13.3211029,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
12,EKG - Friedenstraße 20,Unknown,Unknown,Mariendorf,52.4389996,13.3866799,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
13,Ev. Teilzeit-Kita Goltzstraße,"Goltzstraße 33, 12307 Berlin",12307,Lichtenrade,52.3853393,13.4057689,Unknown,28.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
14,EKG - Gemeindezentrum Schillerhöhe,Unknown,Unknown,Nan,52.5602005,13.3607718,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
15,Kita der Evangelischen Kirchengemeinde Am Lietzensee,"Herbartstraße 4, 14057 Berlin",14057,Nan,52.504493,13.2870406,Unknown,50.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
16,Lemmis Kreativ-Kita,"Gravelottestraße 10, 12167 Berlin",12167,Steglitz,52.447636,13.3274376,Kreativ-Kitas Berlin Süd gUG,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
17,EKG - Kaiserin-Augusta-Straße 23,"Kaiserin-Augusta-Straße 23, 12103 Berlin",12103,Tempelhof,52.4600379,13.3784317,Evangelische Kirchengemeinde Alt-Tempelhof,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
18,Miniclub,"Kladower Damm 369, 14089 Berlin",14089,Kladow,52.453963,13.144791,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
19,Eltern-Kind-Gruppe,"Jaczostraße 54, 13595 Berlin",13595,Wilhelmstadt,52.5118671,13.1858413,Evangelische Weinbergkirchengemeinde,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
20,EKG - Martin-Luther-King-Weg 6,Unknown,Unknown,Nan,52.4226447,13.4505383,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
21,Kindergarten Trinitatis,"Leibnizstraße 79, 10625 Berlin",10625,Charlottenburg,52.5082915,13.3139551,Ev. Trinitatis-Kirchengemeinde Berlin-Charlottenburg,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
22,Teilzeit-KiTa Martin-Niemöller-Haus,"Pacelliallee 61, 14195 Berlin",14195,Dahlem,52.4594287,13.286726,Evangelische Kirchengemeinde Dahlem,18.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
23,EKG - Matterhornstraße 37,Unknown,Unknown,Nan,52.4376136,13.2192643,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
24,EKG - Nassauische Straße 66,Unknown,Unknown,Nan,52.4939543,13.3268807,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
25,EKG - Schwanter Weg 3,Unknown,Unknown,Nan,52.55894,13.1822088,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
26,EKG - Schuckertdamm 336-338,Unknown,Unknown,Nan,52.5414858,13.267403,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
27,Eltern-Kind-Gruppe Matthäus,"Schloßstraße 44C, 12165 Berlin",12165,Steglitz,52.4561079,13.3186112,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
28,EKG - Rackebüller Weg 64,Rackebüller Weg 64,Unknown,Nan,52.4053643,13.4022689,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
29,Kita der Evangelischen Kirchengemeinde Am Groß-Glienicker See,"Waldallee 3, 14089 Berlin",14089,Kladow,52.4653362,13.1275935,Evangelische Kirchengemeinde Am Groß-Glienicker See,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
30,EKT - Abrakadabra e.V.,"Motzstraße 63, 10777 Berlin",10777,Schöneberg,52.4947329,13.3392604,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
31,Kinderladen Ali Baba,"Waldstraße 15, 10551 Berlin",10551,Moabit,52.5299838,13.3315829,Kinderladen Ali Baba e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
32,"Ali Baba und seine Räuber ""Löwenzahn""","Kranoldstraße 1, 12051 Berlin",12051,Neukölln,52.4663348,13.4363771,Kinderladen Ali Baba und seine Räuber e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
33,EKT - Ahörnchen e.V.,Unknown,Unknown,Nan,52.4603819,13.3204746,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
34,Kinderladen Affentheater,"Merseburger Straße 5, 10823 Berlin",10823,Schöneberg,52.4878741,13.3526806,Affentheater e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
35,Arche Moabit,"Huttenstraße 31, 10553 Berlin",10553,Moabit,52.529794,13.3156844,Arche Moabit e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
36,Kinderladen Atze + Co.,"Wilhelmshöher Straße 9, 12161 Berlin",12161,Friedenau,52.4726664,13.3246757,Atze + Co. e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
37,Altenbraker Kinderladen,Unknown,Unknown,Nan,52.4713145,13.4318601,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
38,Feldmäuse an der Hasenheide,"Lichtenrader Straße 11, 12049 Berlin",12049,Neukölln,52.4770404,13.419956,Kinderladen an der Hasenheide e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
39,Kinderladen Blumenladen,"Moltkestraße 47, 12203 Berlin",12203,Lichterfelde,52.4459867,13.3079431,EKT-Blumenladen e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
40,Kita Bollerwagen,"Sophie-Charlotten-Straße 83b, 14059 Berlin",14059,Charlottenburg,52.5141335,13.2895477,Kita Bollerwagen e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
41,EKT - Brausepulver e.V.,"Urbanstraße 6, 10961 Berlin",10961,Kreuzberg,52.4939862,13.4015118,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
42,EKT - Bunte Mischung e.V.,"Böckhstraße 47-48, 10967 Berlin",10967,Kreuzberg,52.4942784,13.4172573,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
43,"Kinderladen ""Lieblingsmenschen""","Nogatstraße 24, 12051 Berlin",12051,Neukölln,52.4693894,13.4316805,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
44,Kinderladen Berliner Malbüro,"Mainauer Straße 6, 12161 Berlin",12161,Friedenau,52.4758505,13.3258095,EKT Berliner Malbüro e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
45,Kita Billabong,"Greifenhagener Straße 14, 10437 Berlin",10437,Prenzlauer Berg,52.5466679,13.4152842,Billabong 02 e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
46,EKT - Das EI,Unknown,Unknown,Nan,52.575228,13.3545645,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
47,EKT - Combo e.V.,10965 Berlin,10965,Nan,52.4874788,13.3936034,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
