immo_id,title,address,zip_code,latitude,longitude,contact_name,kitchen,balcony,garden,cellar,private,rooms,sqm,rent,extra_costs,media_count,url,neighborhood,district
immowelt_ultimate_0_00001,"Elegante 5,5-Zimmer-Dachgeschoss in Berlin-Köpenick",Potsdamer Platz 249,12559,52.399868,13.778443,Mitte Immobilien,0,0,0,0,0,5.5,176,3935.5445,,6,https://www.immowelt.de/expose/berlin-köpenick-1,,Oder-Spree
immowelt_ultimate_0_00002,Zentrale 1-Zimmer-Dachgeschoss in Berlin-Tegel,Thielallee 36,13509,52.542892,13.28857,Wedding Wohnen,0,0,1,1,1,1.0,24,325.3995938,,24,https://www.immowelt.de/expose/berlin-tegel-2,Charlottenburg-Nord,Charlottenburg-Nord
immowelt_ultimate_0_00003,"Moderne 1,5-Zimmer-Zwischenetage in Berlin-Wilmersdorf",Neukölln 279,10707,52.327373,13.15303,Tempelhof Immobilien,1,0,0,0,1,1.5,42,2579.260287,149.07,17,https://www.immowelt.de/expose/berlin-wilmersdorf-3,,Potsdam-Mittelmark
immowelt_ultimate_0_00004,Sonnige 1-Zimmer-Gartenwohnung in Berlin-Treptow,Clayallee 5,12489,52.572061,13.578163,,0,0,0,0,0,1.0,26,889.4795852,351.25,7,https://www.immowelt.de/expose/berlin-treptow-4,Marzahn,Ahrensfelde
immowelt_ultimate_0_00005,Kernsanierte 2-Zimmer-Penthouse in Berlin-Tempelhof,Mehringdamm 84,12109,52.661071,13.300279,Berlin Living GmbH,0,0,0,1,0,2.0,65,1045.752209,,11,https://www.immowelt.de/expose/berlin-tempelhof-5,Bergfelde,Bergfelde
immowelt_ultimate_0_00006,"Lichtdurchflutete 4,5-Zimmer-Wohnung in Berlin-Marzahn",Invalidenstraße 200,12687,52.612107,13.291342,,1,0,0,0,0,4.5,107,1232.004812,56.32,23,https://www.immowelt.de/expose/berlin-marzahn-6,Hermsdorf,Hermsdorf
immowelt_ultimate_0_00007,Gemütliche 4-Zimmer-Turmwohnung in Berlin-Neukölln,Winterfeldtplatz 50,12049,52.304916,13.775823,,0,1,0,0,0,4.0,112,2852.640479,283.39,12,https://www.immowelt.de/expose/berlin-neukölln-7,,Dahme-Spreewald
immowelt_ultimate_0_00008,"Charmante 4,5-Zimmer-Hochparterre in Berlin-Grunewald",Spandauer Damm 172,14193,52.668569,13.218046,,1,1,1,0,0,4.5,137,5562.514741,231.03,15,https://www.immowelt.de/expose/berlin-grunewald-8,,Oberhavel
immowelt_ultimate_0_00009,"Lichtdurchflutete 1,5-Zimmer-Penthouse in Berlin-Dahlem",Spandauer Damm 11,14195,52.694205,13.587333,,1,1,0,1,1,1.5,56,1201.266917,285.96,27,https://www.immowelt.de/expose/berlin-dahlem-9,Rollberg,Rollberg
immowelt_ultimate_0_00010,Möblierte 3-Zimmer-Loft in Berlin-Steglitz,Kollwitzplatz 192,12165,52.618202,13.737933,,1,1,0,0,0,3.0,63,2179.607253,,23,https://www.immowelt.de/expose/berlin-steglitz-10,,Barnim
