type,first_tenant,price,rooms,surface_m2,floor,availability,address,bezirk,city,postal_code
Wohnung,Erstbezug,2020.0,3.0,87.8,4. Geschoss,,10557,,,10557
Wohnung,,759.0,1.5,42.3,4. Geschoss,01.11.2025,13599,,,13599
Wohnung,,1010.0,2.0,56.3,3. Geschoss,01.09.2025,13599,,,13599
Wohnung,,1013.0,2.0,59.9,2. Geschoss,sofort,13599,,,13599
Wohnung,Erstbezug,1800.0,2.0,82.4,7. Geschoss,,10557,,,10557
Wohnung,,772.0,1.0,25.2,2. Geschoss,,12103,,,12103
Wohnung,,774.0,1.0,23.8,2. Geschoss,,12103,,,12103
Wohnung,,734.0,1.0,25.2,1. Geschoss,,12103,,,12103
Wohnung,Erstbezug,1235.0,2.0,58.5,2. Geschoss,,10557,,,10557
Wohnung,,949.0,2.0,62.6,2. Geschoss,,16761,,,16761
Wohnung,Erstbezug,1120.0,1.0,47.8,6. Geschoss,,10557,,,10557
Wohnung,Erstbezug,1840.0,2.0,76.6,6. Geschoss,,14059,,,14059
Wohnung,,973.0,2.0,48.7,EG,sofort,13599,,,13599
Wohnung,,1349.0,2.0,49.4,3. Geschoss,,12159,,,12159
Wohnung,,1607.0,2.0,62.0,4. Geschoss,01.11.2025,10435,,,10435
Wohnung,,940.0,4.0,81.7,5. Geschoss,sofort,13587,,,13587
Wohnung,,2099.0,5.0,141.9,EG,,12589,,,12589
Wohnung,,1300.0,2.0,56.0,1. Geschoss,01.10.2025,10557,,,10557
,,2050.0,3.0,88.0,,sofort,12205,,,12205
WG,,1199.0,,20.0,,sofort,10625,,,10625
Wohnung,Erstbezug,1520.0,2.0,67.5,3. Geschoss,,10557,,,10557
Wohnung,,2772.0,4.0,178.0,,01.09.2025,14055,,,14055
Wohnung,Erstbezug,1800.0,3.0,85.6,1. Geschoss,,10557,,,10557
Wohnung,,849.0,2.0,53.1,1. Geschoss,,12529,,,12529
Wohnung,,521.0,2.0,53.3,EG,sofort,13599,,,13599
Wohnung,Erstbezug,2518.0,3.0,93.8,1. Geschoss,01.10.2025,10317,,,10317
Wohnung,Erstbezug,1870.0,3.0,83.9,4. Geschoss,01.09.2025,12105,,,12105
Wohnung,Erstbezug,1820.0,3.0,83.1,3. Geschoss,01.09.2025,12105,,,12105
Wohnung,Erstbezug,1404.0,3.0,65.4,3. Geschoss,01.09.2025,12555,,,12555
Studio,,540.0,1.0,10.0,5. Geschoss,01.10.2025,12459,,,12459
Studio,,1795.0,4.0,89.8,2. Geschoss,sofort,10999,,,10999
Studio,,1645.0,3.0,85.8,4. Geschoss,sofort,10243,,,10243
Wohnung,Erstbezug,1180.0,2.0,59.3,1. Geschoss,01.09.2025,12105,,,12105
Wohnung,Erstbezug,1300.0,2.0,59.3,3. Geschoss,01.09.2025,12105,,,12105
Wohnung,Erstbezug,1215.0,2.0,59.3,2. Geschoss,01.09.2025,12105,,,12105
Wohnung,,844.0,1.0,42.2,5. Geschoss,sofort,13409,,,13409
Wohnung,Erstbezug,2430.0,4.0,121.4,1. Geschoss,01.10.2025,12555,,,12555
Wohnung,,1499.0,4.0,90.5,1. Geschoss,sofort,12589,,,12589
Wohnung,,2503.0,2.0,125.1,2. Geschoss,,13086,,,13086
Wohnung,Erstbezug,2195.0,3.0,96.9,4. Geschoss,,12555,,,12555
Wohnung,,1499.0,4.0,89.7,1. Geschoss,01.09.2025,12589,,,12589
Wohnung,,949.0,2.0,62.6,2. Geschoss,,16761,,,16761
,,3155.0,3.0,142.1,4. Geschoss,,10435,,,10435
Wohnung,Erstbezug,1405.0,2.0,59.5,4. Geschoss,01.09.2025,12555,,,12555
Wohnung,Erstbezug,1622.0,3.0,80.6,2. Geschoss,01.10.2025,12555,,,12555
Wohnung,Erstbezug,2515.0,3.0,100.5,4. Geschoss,01.09.2025,12555,,,12555
Wohnung,,2649.0,3.0,138.2,3. Geschoss,,10405,,,10405
Wohnung,Erstbezug,2107.0,5.0,113.9,1. Geschoss,sofort,12524,,,12524
Wohnung,Erstbezug,1312.0,2.0,67.3,1. Geschoss,sofort,12524,,,12524
Studio,,1995.0,2.0,66.0,6. Geschoss,,10783,,,10783
Studio,,3350.0,3.0,108.0,4. Geschoss,,10245,,,10245
Studio,,2000.0,2.0,50.0,3. Geschoss,,10965,,,10965
Studio,,2090.0,2.0,55.0,5. Geschoss,,10249,,,10249
Studio,,3000.0,4.0,117.0,1. Geschoss,,10965,,,10965
Studio,,2500.0,2.0,57.0,1. Geschoss,,10179,,,10179
Wohnung,Erstbezug,2100.0,5.0,154.0,3. Geschoss,sofort,14621,,,14621
Studio,,1100.0,2.0,53.0,,sofort,12459,,,12459
Studio,,495.0,2.0,43.7,,01.09.2025,13627,,,13627
Wohnung,,3975.0,2.0,88.3,9. Geschoss,sofort,10117,,,10117
Wohnung,,1499.0,2.0,70.5,EG,,12557,,,12557
Studio,,1625.0,2.0,44.0,EG,,10717,,,10717
,,,,,,,,,,
Wohnung,,3342.0,8.0,287.4,3. Geschoss,01.10.2025,12435,,,12435
Wohnung,,2400.0,3.0,132.0,2. Geschoss,sofort,14050,,,14050
Wohnung,,1599.0,2.0,51.4,5. Geschoss,sofort,10179,,,10179
Wohnung,Erstbezug,720.0,1.0,25.0,,,12459,,,12459
,Erstbezug,2550.0,2.0,78.0,,,12053,,,12053
Wohnung,Erstbezug,1500.0,3.0,74.9,1. Geschoss,01.09.2025,12559,,,12559
Studio,,1150.0,2.0,50.0,,sofort,12459,,,12459
Studio,,750.0,1.0,25.0,,sofort,12459,,,12459
Wohnung,Erstbezug,1480.0,3.0,70.3,EG,sofort,12559,,,12559
Wohnung,Erstbezug,740.0,1.0,24.0,,,12459,,,12459
