osm_type,osm_id,name_left,website,opening_hours,addr_street,addr_housenumber,addr_postcode,addr_city,lat,lon,wheelchair,operator,brand,start_date,level,source,geometry,index__district,name__district,gem_left,namgem_left,namlan_left,lan_left,index__neigh,name,gem__neigh,namgem__neigh,namlan__neigh,lan__neigh
node,360009454,Cladow-Center,,,,,,,52.4551567,13.1444131,yes,,,,,OSM Overpass,POINT (13.1444131 52.4551567),,,,,,,,,,,,
node,2782835444,Nordmeile,,Mo-Sa 07:00-21:00,Oraniendamm,6-10,13469.0,Berlin,52.6078674,13.3259918,,,,,,OSM Overpass,POINT (13.3259918 52.6078674),,,,,,,,,,,,
node,3982921774,Springpfuhl-Passage,,,,,,,52.5267284,13.5401045,yes,,,,,OSM Overpass,POINT (13.5401045 52.5267284),,,,,,,,,,,,
node,5024078544,Fennpfuhl-Karree,,24/7,,,,,52.5287807,13.4717971,yes,,,,,OSM Overpass,POINT (13.4717971 52.5287807),,,,,,,,,,,,
way,10632546,Hallen am Borsigturm,http://www.hab-2.de,Mo-Sa 10:00-20:00,Am Borsigturm,2,13507.0,Berlin,52.5845756,13.2857717,yes,,,,,OSM Overpass,POINT (13.2857717 52.5845756),,,,,,,,,,,,
way,11076700,Einkaufszentrum »Der Clou«,https://www.derclouberlin.de/,Mo-Sa 10:00-20:00,Scharnweberstraße,140,13405.0,Berlin,52.5630387,13.3284849,yes,,,,,OSM Overpass,POINT (13.3284849 52.5630387),,,,,,,,,,,,
way,11249452,Linden Center,https://m.linden-center-berlin.de,Mo-Sa 09:30-20:00,Prerower Platz,1,13051.0,Berlin,52.5643776,13.5060401,yes,,,,,OSM Overpass,POINT (13.5060401 52.5643776),,,,,,,,,,,,
way,11249566,Allee-Center Berlin,,Mo-Sa 07:00-20:00,Landsberger Allee,277,13055.0,Berlin,52.535248,13.4964673,yes,,,,,OSM Overpass,POINT (13.4964673 52.535248),,,,,,,,,,,,
way,18771934,Bahnhof Lichtenberg,,06:00-22:00,Weitlingstraße,22,10317.0,Berlin,52.5094209,13.4969436,yes,,,,,OSM Overpass,POINT (13.4969436 52.5094209),,,,,,,,,,,,
way,20980117,Gesundbrunnen-Center,https://www.gesundbrunnen-center.de/,Mo-Sa 08:00-21:00,Badstraße,4,13357.0,Berlin,52.549773,13.3895302,yes,,,,,OSM Overpass,POINT (13.3895302 52.549773),,,,,,,,,,,,
way,22278549,TierparkCenter Berlin,https://tierparkcenter.de/,"Mo-Sa 07:00-22:00; Su,PH 09:00-22:00",Otto-Schmirgal-Straße,3,10319.0,Berlin,52.4973715,13.5212006,yes,,,,,OSM Overpass,POINT (13.5212006 52.4973715),,,,,,,,,,,,
way,22989670,The Playce,,,,,,,52.5074106,13.3741154,yes,,,1998,,OSM Overpass,POINT (13.3741154 52.5074106),,,,,,,,,,,,
way,23942215,Eastgate,https://www.eastgate-berlin.de/,Mo-Sa 10:00-20:00,Marzahner Promenade,1a,12679.0,Berlin,52.5439518,13.5446857,yes,,,,,OSM Overpass,POINT (13.5446857 52.5439518),,,,,,,,,,,,
way,23970735,Ring-Center 1,https://www.ring-center.de,Mo-Sa 10:00-21:00; PH off,Frankfurter Allee,111,10247.0,Berlin,52.5143035,13.4741734,yes,,,,,OSM Overpass,POINT (13.4741734 52.5143035),,,,,,,,,,,,
way,23970739,Ring-Center 2,,Mo-Sa 10:00-21:00; PH off,,,,,52.5143933,13.4765019,yes,,,,,OSM Overpass,POINT (13.4765019 52.5143933),,,,,,,,,,,,
way,24263827,Victoria Center,,Mo-Sa 07:00-22:00,,,,,52.503949,13.4732604,yes,,,,,OSM Overpass,POINT (13.4732604 52.503949),,,,,,,,,,,,
way,24264277,Plaza Frankfurter Allee,,,,,,,52.5151126,13.468629,,,,,,OSM Overpass,POINT (13.468629 52.5151126),,,,,,,,,,,,
way,24273422,Die Mitte,,,,3,10178.0,Berlin,52.5215216,13.4150832,limited,,,2009-3-25,,OSM Overpass,POINT (13.4150832 52.5215216),,,,,,,,,,,,
way,24300563,Forum Köpenick,,"Mo-Sa 10:00-20:00; PH off; Su 13:00-18:00 ""nur wenn verkaufsoffen""",Bahnhofstraße,33-38,12555.0,Berlin,52.4581537,13.5775302,yes,,,1997-10-23,,OSM Overpass,POINT (13.5775302 52.4581537),,,,,,,,,,,,
way,24315002,Neukölln Arcaden,https://www.neukoelln-arcaden.de/,Mo-Sa 10:00-21:00,Karl-Marx-Straße,66,12043.0,Berlin,52.4820893,13.4322014,yes,,,,,OSM Overpass,POINT (13.4322014 52.4820893),,,,,,,,,,,,
way,24921263,,,,Friedrichshagener Straße,38-42,12555.0,Berlin,52.4529343,13.5863366,yes,,,,,OSM Overpass,POINT (13.5863366 52.4529343),,,,,,,,,,,,
way,25041154,Havemann-Center,,,Havemannstraße,12A,12689.0,Berlin,52.5686714,13.5684484,,,,,,OSM Overpass,POINT (13.5684484 52.5686714),,,,,,,,,,,,
way,25094154,Rathauspassagen,,Mo-Sa 07:00-22:00,Rathausstraße,1-14,10178.0,,52.5193285,13.4104606,yes,,,,,OSM Overpass,POINT (13.4104606 52.5193285),,,,,,,,,,,,
way,25498297,Neuköllner Tor,,,Karl-Marx-Straße,231-235,12055.0,Berlin,52.4687907,13.4436659,yes,,,,,OSM Overpass,POINT (13.4436659 52.4687907),,,,,,,,,,,,
