addr:housenumber,addr:street,milieuschutz_zone,neighborhood
10,Föhrer Straße,Sparrplatz,Mitte
10,Nordufer,Sparrplatz,Mitte
58,Triftstraße,Sparrplatz,Mitte
5B,Willdenowstraße,Sparrplatz,Mitte
20,Sparrstraße,Sparrplatz,Mitte
26,Sparrstraße,Sparrplatz,Mitte
14,Fehmarner Straße,Sparrplatz,Mitte
21,Sparrstraße,Sparrplatz,Mitte
19,Sparrstraße,Sparrplatz,Mitte
9,Torfstraße,Sparrplatz,Mitte
17,Torfstraße,Sparrplatz,Mitte
21,Sprengelstraße,Sparrplatz,Mitte
19,Sprengelstraße,Sparrplatz,Mitte
12a,Kiautschoustraße,Sparrplatz,Mitte
153,Müllerstraße,Sparrplatz,Mitte
34,Luxemburger Straße,Sparrplatz,Mitte
156b,Müllerstraße,Sparrplatz,Mitte
39,Triftstraße,Sparrplatz,Mitte
156C,Müllerstraße,Sparrplatz,Mitte
25,Fehmarner Straße,Sparrplatz,Mitte
12,Föhrer Straße,Sparrplatz,Mitte
4,Samoastraße,Sparrplatz,Mitte
39,Tegeler Straße,Sparrplatz,Mitte
1,Genter Straße,Sparrplatz,Mitte
29,Luxemburger Straße,Sparrplatz,Mitte
8,Triftstraße,Sparrplatz,Mitte
1,Triftstraße,Sparrplatz,Mitte
14,Burgsdorfstraße,Sparrplatz,Mitte
18,Sprengelstraße,Sparrplatz,Mitte
39,Sprengelstraße,Sparrplatz,Mitte
5,Nordufer,Sparrplatz,Mitte
1,Kiautschoustraße,Sparrplatz,Mitte
34,Tegeler Straße,Sparrplatz,Mitte
22,Tegeler Straße,Sparrplatz,Mitte
23,Tegeler Straße,Sparrplatz,Mitte
32,Tegeler Straße,Sparrplatz,Mitte
58,Triftstraße,Sparrplatz,Mitte
28,Tegeler Straße,Sparrplatz,Mitte
42,Sprengelstraße,Sparrplatz,Mitte
41A,Sprengelstraße,Sparrplatz,Mitte
2,Sprengelstraße,Sparrplatz,Mitte
66,Triftstraße,Sparrplatz,Mitte
3,Sparrstraße,Sparrplatz,Mitte
1,Sparrstraße,Sparrplatz,Mitte
3A,Sparrstraße,Sparrplatz,Mitte
29,Sprengelstraße,Sparrplatz,Mitte
6,Samoastraße,Sparrplatz,Mitte
6,Nordufer,Sparrplatz,Mitte
21,Lynarstraße,Sparrplatz,Mitte
67A,Triftstraße,Sparrplatz,Mitte
7,Burgsdorfstraße,Sparrplatz,Mitte
8,Willdenowstraße,Sparrplatz,Mitte
13A,Burgsdorfstraße,Sparrplatz,Mitte
3,Burgsdorfstraße,Sparrplatz,Mitte
19B,Willdenowstraße,Sparrplatz,Mitte
5A,Willdenowstraße,Sparrplatz,Mitte
5C,Willdenowstraße,Sparrplatz,Mitte
1,Willdenowstraße,Sparrplatz,Mitte
163A,Müllerstraße,Sparrplatz,Mitte
163,Müllerstraße,Sparrplatz,Mitte
168,Müllerstraße,Sparrplatz,Mitte
24,Sprengelstraße,Sparrplatz,Mitte
38,Sprengelstraße,Sparrplatz,Mitte
19,Sprengelstraße,Sparrplatz,Mitte
30,Luxemburger Straße,Sparrplatz,Mitte
15,Lynarstraße,Sparrplatz,Mitte
35,Lynarstraße,Sparrplatz,Mitte
36,Lynarstraße,Sparrplatz,Mitte
13,Triftstraße,Sparrplatz,Mitte
28A,Tegeler Straße,Sparrplatz,Mitte
25,Luxemburger Straße,Sparrplatz,Mitte
5,Sprengelstraße,Sparrplatz,Mitte
4,Sprengelstraße,Sparrplatz,Mitte
2,Sprengelstraße,Sparrplatz,Mitte
37,Triftstraße,Sparrplatz,Mitte
25,Sprengelstraße,Sparrplatz,Mitte
9,Lynarstraße,Sparrplatz,Mitte
3,Lynarstraße,Sparrplatz,Mitte
12,Willdenowstraße,Sparrplatz,Mitte
19A,Willdenowstraße,Sparrplatz,Mitte
25,Sprengelstraße,Sparrplatz,Mitte
5,Buchstraße,Sparrplatz,Mitte
7,Buchstraße,Sparrplatz,Mitte
8,Buchstraße,Sparrplatz,Mitte
9,Buchstraße,Sparrplatz,Mitte
3,Föhrer Straße,Sparrplatz,Mitte
2,Buchstraße,Sparrplatz,Mitte
4,Buchstraße,Sparrplatz,Mitte
11,Fehmarner Straße,Sparrplatz,Mitte
5,Föhrer Straße,Sparrplatz,Mitte
10,Fehmarner Straße,Sparrplatz,Mitte
1,Fehmarner Straße,Sparrplatz,Mitte
7,Föhrer Straße,Sparrplatz,Mitte
7,Föhrer Straße,Sparrplatz,Mitte
24,Fehmarner Straße,Sparrplatz,Mitte
13,Fehmarner Straße,Sparrplatz,Mitte
10,Nordufer,Sparrplatz,Mitte
29,Torfstraße,Sparrplatz,Mitte
14,Nordufer,Sparrplatz,Mitte
13,Nordufer,Sparrplatz,Mitte
12,Nordufer,Sparrplatz,Mitte
11,Nordufer,Sparrplatz,Mitte
11,Föhrer Straße,Sparrplatz,Mitte
10,Föhrer Straße,Sparrplatz,Mitte
10,Föhrer Straße,Sparrplatz,Mitte
26,Torfstraße,Sparrplatz,Mitte
11,Föhrer Straße,Sparrplatz,Mitte
12,Föhrer Straße,Sparrplatz,Mitte
9,Föhrer Straße,Sparrplatz,Mitte
10 I,Föhrer Straße,Sparrplatz,Mitte
10 II,Föhrer Straße,Sparrplatz,Mitte
