schluessel,pdf_link,bezirk,gebietsname,f_gvbl_dat,f_in_kraft,ae_gvbldat,ae_inkraft,fl_in_ha
EM0105,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0105.pdf,Mitte,Sparrplatz,24.05.2016,25.05.2016,,,51.3
EM0106,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0106.pdf,Mitte,Leopoldplatz,24.05.2016,25.05.2016,,,62.1
EM0107,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0107.pdf,Mitte,Waldstraße,24.05.2016,25.05.2016,,,72.6
EM0108,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0108.pdf,Mitte,Birkenstraße,24.05.2016,25.05.2016,,,81.6
EM0109,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0109.pdf,Mitte,Seestraße,24.05.2016,25.05.2016,,,48.6
EM0110,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0110.pdf,Mitte,Kattegatstraße,18.09.2018,19.09.2018,,,14.0
EM0111,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0111.pdf,Mitte,Reinickendorfer Straße,29.10.2021,30.10.2021,,,41.0
EM0112,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0112.pdf,Mitte,Humboldthain Nord-West,15.12.2018,16.12.2018,29.10.2021,30.10.2021,15.8
EM0113,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0113.pdf,Mitte,Soldiner Straße,27.11.2018,28.11.2018,29.10.2021,30.10.2021,54.8
EM0114,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0114.pdf,Mitte,Thomasiusstraße,15.12.2018,16.12.2018,,,16.8
EM0115,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0115.pdf,Mitte,Tiergarten-Süd,15.12.2018,16.12.2018,,,72.0
EM0116,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0116.pdf,Mitte,Alexanderplatzviertel,27.03.2019,28.03.2019,,,21.9
EM0117,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0117.pdf,Mitte,Müllerstraße Nord,26.11.2022,27.11.2022,,,85.6
EM0118,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0118.pdf,Mitte,Badstraße,26.11.2022,27.11.2022,,,48.5
EM0201,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0201.pdf,Friedrichshain-Kreuzberg,Graefestraße,18.03.2022,19.03.2022,,,67.3
EM0202,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0202.pdf,Friedrichshain-Kreuzberg,Luisenstadt,29.07.2023,30.07.2023,,,246.9
EM0203,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0203.pdf,Friedrichshain-Kreuzberg,Bergmannstraße Nord,18.03.2022,19.03.2022,,,66.6
EM0204,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0204.pdf,Friedrichshain-Kreuzberg,Hornstraße,14.12.2004,15.12.2004,30.06.2018 / 14.03.2019,01.07.2018 / 15.03.2019,53.5
EM0205,https://www.berlin.de/sen/stadtentwicklung/_assets/quartiersentwicklung/stadterneuerung/soziales-erhaltungsrecht/gebiete/em0205.pdf,Friedrichshain-Kreuzberg,Chamissoplatz,12.06.2024,13.06.2024,,,24.4
