id,schluessel,bezirk,gebietsname,f_gvbl_dat,f_in_kraft,ae_gvbldat,ae_inkraft,fl_in_ha
erhaltgeb_em.EM0105,EM0105,Mitte,Sparrplatz,2016-05-24,2016-05-25,,,51.3
erhaltgeb_em.EM0106,EM0106,Mitte,Leopoldplatz,2016-05-24,2016-05-25,,,62.1
erhaltgeb_em.EM0107,EM0107,Mitte,Waldstraße,2016-05-24,2016-05-25,,,72.6
erhaltgeb_em.EM0108,EM0108,Mitte,Birkenstraße,2016-05-24,2016-05-25,,,81.6
erhaltgeb_em.EM0109,EM0109,Mitte,Seestraße,2016-05-24,2016-05-25,,,48.6
erhaltgeb_em.EM0110,EM0110,Mitte,Kattegatstraße,2018-09-18,2018-09-19,,,14.0
erhaltgeb_em.EM0111,EM0111,Mitte,Reinickendorfer Straße,2021-10-29,2021-10-30,,,41.0
erhaltgeb_em.EM0112,EM0112,Mitte,Humboldthain Nord-West,2018-12-15,2018-12-16,2021-10-29,2021-10-30,15.8
erhaltgeb_em.EM0113,EM0113,Mitte,Soldiner Straße,2018-11-27,2018-11-28,2021-10-29,2021-10-30,54.8
erhaltgeb_em.EM0114,EM0114,Mitte,Thomasiusstraße,2018-12-15,2018-12-16,,,16.8
erhaltgeb_em.EM0115,EM0115,Mitte,Tiergarten-Süd,2018-12-15,2018-12-16,,,72.0
erhaltgeb_em.EM0116,EM0116,Mitte,Alexanderplatzviertel,2019-03-27,2019-03-28,,,21.9
erhaltgeb_em.EM0117,EM0117,Mitte,Müllerstraße Nord,2022-11-26,2022-11-27,,,85.6
erhaltgeb_em.EM0118,EM0118,Mitte,Badstraße,2022-11-26,2022-11-27,,,48.5
erhaltgeb_em.EM0201,EM0201,Friedrichshain-Kreuzberg,Graefestraße,2022-03-18,2022-03-19,,,67.3
erhaltgeb_em.EM0202,EM0202,Friedrichshain-Kreuzberg,Luisenstadt,2023-07-29,2023-07-30,,,246.9
erhaltgeb_em.EM0203,EM0203,Friedrichshain-Kreuzberg,Bergmannstraße Nord,2022-03-18,2022-03-19,,,66.6
erhaltgeb_em.EM0204,EM0204,Friedrichshain-Kreuzberg,Hornstraße,2004-12-14,2004-12-15,,,53.5
erhaltgeb_em.EM0205,EM0205,Friedrichshain-Kreuzberg,Chamissoplatz,2024-06-12,2024-06-13,,,24.4
erhaltgeb_em.EM0206,EM0206,Friedrichshain-Kreuzberg,Boxhagener Platz,2021-04-23,2021-04-24,,,142.0
erhaltgeb_em.EM0207,EM0207,Friedrichshain-Kreuzberg,Petersburger Straße,2013-12-21,2013-12-22,,,86.4
erhaltgeb_em.EM0208,EM0208,Friedrichshain-Kreuzberg,Weberwiese,2022-03-18,2022-03-19,,,53.5
erhaltgeb_em.EM0209,EM0209,Friedrichshain-Kreuzberg,Kreuzberg-Nord,2023-07-29,2023-07-30,,,156.4
erhaltgeb_em.EM0210,EM0210,Friedrichshain-Kreuzberg,Stralauer Kiez,2019-07-09,2019-07-10,,,29.2
erhaltgeb_em.EM0211,EM0211,Friedrichshain-Kreuzberg,Samariterviertel,2021-02-19,2021-02-20,,,55.1
erhaltgeb_em.EM0301,EM0301,Pankow,Falkplatz,1997-12-18,1997-03-23,,,28.2
erhaltgeb_em.EM0308,EM0308,Pankow,Arnimplatz,1999-04-03,1999-04-04,,,50.6
erhaltgeb_em.EM0309,EM0309,Pankow,Humannplatz,2000-11-04,2000-11-05,2017-11-30,2017-12-01,57.2
erhaltgeb_em.EM0310,EM0310,Pankow,Ostseestraße / Grellstraße,2003-04-02,2003-04-03,,,63.5
erhaltgeb_em.EM0312,EM0312,Pankow,Pankow Zentrum,2000-03-16,2000-03-17,2013-10-09,2013-10-10,121.1
erhaltgeb_em.EM0313,EM0313,Pankow,Teutoburger Platz,2014-07-01,2014-07-02,,,52.0
erhaltgeb_em.EM0314,EM0314,Pankow,Kollwitzplatz,2014-07-01,2014-07-02,,,74.6
erhaltgeb_em.EM0315,EM0315,Pankow,Helmholtzplatz,2014-07-01,2014-07-02,,,67.9
