schluessel,bezirk,gebietsname,f_gvbl_dat,f_in_kraft,ae_gvbldat,ae_inkraft,fl_in_ha
ES0101,Mitte,Poststadion,30.12.1988,31.12.1988,,,53.2
ES0102,Mitte,Spandauer Vorstadt,25.06.1993,26.06.1993,,,109.1
ES0103,Mitte,Südliche Brunnenstraße Teile der Rosenthaler Vorstadt,09.12.1995,10.12.1995,,,18.8
ES0104,Mitte,Friedrich-Wilhelm-Stadt,31.08.1996,01.09.1996,,,69.5
ES0105,Mitte,"Dorotheenstadt, Friedrichstadt",10.04.1997,11.04.1997,,,98.7
ES0106,Mitte,Karl-Marx-Allee II. Bauabschnitt,07.11.2015,08.11.2015,,,58.7
ES0107,Mitte,erweitertes Gebiet südliche Brunnenstraße Teile der Rosenthaler Vorstadt,14.12.2000,15.12.2000,,,57.8
ES0108,Mitte,Heinrich-Heine-Siedlung,25.01.2001,26.01.2001,,,12.6
ES0109,Mitte,westliches Ergänzungsgebiet südliche Brunnenstraße,28.02.2004,29.02.2004,,,16.8
ES0110,Mitte,Köllnischer Park mit Umgebung,28.10.2006,29.10.2006,,,22.0
ES0111,Mitte,Luisenstädtischer Kanal mit Umfeld,28.10.2006,29.10.2006,,,26.3
ES0112,Mitte,Stephankiez,07.11.1991,08.11.1991,,,30.7
ES0113,Mitte,Huttenkiez,10.12.1993,11.12.1993,,,4.8
ES0115,Mitte,Wilhelmstraße,19.04.2018,20.04.2018,,,7.6
ES0116,Mitte,Nikolaiviertel,07.06.2018,08.06.2018,,,5.1
ES0117,Mitte,Hansaviertel,30.01.2020,31.01.2020,,,54.3
ES0118,Mitte,Leipziger Straße,24.07.2020,25.07.2020,26.01.2022,27.01.2022,10.4
ES0119,Mitte,Erste Erweiterung Friedrichstadt,07.12.2022,08.12.2022,,,2.0
ES0203,Friedrichshain-Kreuzberg,Urbanhafen / Südstern,10.02.2011,11.02.2011,,,48.5
ES0204,Friedrichshain-Kreuzberg,Graefestraße,18.03.2022,19.03.2022,,,67.3
ES0205,Friedrichshain-Kreuzberg,Luisenstadt,29.07.2023,30.07.2023,,,268.8
ES0206,Friedrichshain-Kreuzberg,Weberwiese,18.03.2022,19.03.2022,,,28.7
ES0207,Friedrichshain-Kreuzberg,Karl-Marx-Allee/Frankfurter Allee (ehemals Stalinallee) und deren flankierende Bereiche,27.02.2021,28.02.2021,,,121.8
ES0208,Friedrichshain-Kreuzberg,IBA 87 - Südliche Friedrichstadt,18.03.2022,19.03.2022,,,69.4
ES0301,Pankow,Weißenseer Spitze,16.11.1996,17.11.1996,,,28.9
ES0302,Pankow,Weißensee Süd,16.11.1996,17.11.1996,,,85.1
ES0303,Pankow,Dorf Blankenfelde,25.02.1998,26.02.1998,,,52.1
ES0304,Pankow,Stadtrandsiedlung Malchow,29.07.1998,30.07.1998,,,56.9
ES0305,Pankow,Stadtrandsiedlung Karow / Am Kappgraben,29.07.1998,30.07.1998,,,38.7
ES0306,Pankow,Teutoburger Platz,11.04.2007,12.04.2007,,,52.7
ES0307,Pankow,Ostseestraße / Grellstraße,08.10.2003,09.10.2003,,,58.8
ES0308,Pankow,Humannplatz,30.09.2009,01.10.2009,,,85.0
ES0401,Charlottenburg-Wilmersdorf,Schmargendorf,28.10.1989,29.10.1989,,,0.4
ES0402,Charlottenburg-Wilmersdorf,Alt-Charlottenburg,05.07.1990,06.07.1990,,,22.9
ES0403,Charlottenburg-Wilmersdorf,Klausenerplatz,31.07.1996,01.08.1996,,,78.7
ES0404,Charlottenburg-Wilmersdorf,Kurfürstendamm,23.12.2000,11.06.2000,,,77.7
ES0405,Charlottenburg-Wilmersdorf,Westend,23.12.2000,24.12.2000,,,46.1
ES0406,Charlottenburg-Wilmersdorf,B-Plan IX-153,28.10.2000,29.10.2000,,,0.6
