addr:housenumber,addr:street,addr:postcode,building,milieuschutz_zone,neighborhood,milieuschutz_type,source,lon,lat,data_quality
61A,Perleberger Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3536389,52.5336632,True
53,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3585277,52.5344684,True
57,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3596878,52.5331044,True
12,Rathenower Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3551203,52.527403,True
11,Rathenower Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3554319,52.5270268,True
55,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3587353,52.5342409,True
54,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3586519,52.5343356,True
53,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3585069,52.5345104,True
52,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3584483,52.5345797,True
51,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3583024,52.5347519,True
50,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3582527,52.5348123,True
49,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3581386,52.5349487,True
48C,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3580504,52.5350521,True
48B,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3579197,52.5352067,True
48A,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3577924,52.5353575,True
48,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3576345,52.5355485,True
47,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3574949,52.53571,True
56A,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3589046,52.5339942,True
56B,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3590072,52.533872,True
56C,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.359113,52.5337426,True
1,Kruppstraße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3591202,52.5335337,True
1a,Kruppstraße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3589635,52.5334855,True
56,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3588274,52.5341043,True
65,Perleberger Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3573574,52.5357235,True
55,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3586574,52.5341997,True
9,Rathenower Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3562441,52.5260472,True
61B,Perleberger Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3542877,52.5341793,True
63,Perleberger Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3566549,52.5353456,True
64,Perleberger Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3568045,52.5354877,True
65,Perleberger Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3570012,52.5355856,True
13A,Kruppstraße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3534926,52.5312515,True
14,Kruppstraße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3537406,52.5313271,True
17,Kruppstraße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3580721,52.532667,True
18,Kruppstraße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3581859,52.5327021,True
18,Feldzeugmeisterstraße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3525043,52.5330318,True
4,Kruppstraße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.354856,52.5321799,True
59,Lehrter Straße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3611678,52.5312566,True
10,Rathenower Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3561349,52.5261765,True
10,Seydlitzstraße,10557.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3603423,52.5270713,True
13,Rathenower Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3548903,52.527671,True
16,Rathenower Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3538075,52.529801,True
17,Rathenower Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.3535284,52.529595,True
18,Rathenower Straße,10559.0,,Poststadion,Mitte,Urban Character Preservation,OSM,13.353126,52.5302996,True
