id,schluessel,bezirk,gebietsname,f_gvbl_dat,f_in_kraft,ae_gvbldat,ae_inkraft,fl_in_ha
erhaltgeb_es.ES0101,ES0101,Mitte,Poststadion,1988-12-30,1988-12-31,,,53.2
erhaltgeb_es.ES0102,ES0102,Mitte,Spandauer Vorstadt,1993-06-25,1993-06-26,,,109.1
erhaltgeb_es.ES0103,ES0103,Mitte,Südliche Brunnenstraße Teile der Rosenthaler Vorstadt,1995-12-09,1995-12-10,,,18.8
erhaltgeb_es.ES0104,ES0104,Mitte,Friedrich-Wilhelm-Stadt,1996-08-31,1996-09-01,,,69.5
erhaltgeb_es.ES0105,ES0105,Mitte,"Dorotheenstadt, Friedrichstadt",1997-04-10,1997-04-11,,,98.7
erhaltgeb_es.ES0106,ES0106,Mitte,Karl-Marx-Allee II. Bauabschnitt,2015-11-07,2015-11-08,,,58.7
erhaltgeb_es.ES0107,ES0107,Mitte,erweitertes Gebiet südliche Brunnenstraße Teile der Rosenthaler Vorstadt,2000-12-14,2000-12-15,,,57.8
erhaltgeb_es.ES0108,ES0108,Mitte,Heinrich-Heine-Siedlung,2001-01-25,2001-01-26,,,12.6
erhaltgeb_es.ES0109,ES0109,Mitte,westliches Ergänzungsgebiet südliche Brunnenstraße,2004-02-28,2004-02-29,,,16.8
erhaltgeb_es.ES0110,ES0110,Mitte,Köllnischer Park mit Umgebung,2006-10-28,2006-10-29,,,22.0
erhaltgeb_es.ES0111,ES0111,Mitte,Luisenstädtischer Kanal mit Umfeld,2006-10-28,2006-10-29,,,26.3
erhaltgeb_es.ES0112,ES0112,Mitte,Stephankiez,1991-11-07,1991-11-08,,,30.7
erhaltgeb_es.ES0113,ES0113,Mitte,Huttenkiez,1993-12-10,1993-12-11,,,4.8
erhaltgeb_es.ES0115,ES0115,Mitte,Wilhelmstraße,2018-04-19,2018-04-20,,,7.6
erhaltgeb_es.ES0116,ES0116,Mitte,Nikolaiviertel,2018-06-07,2018-06-08,,,5.1
erhaltgeb_es.ES0117,ES0117,Mitte,Hansaviertel,2020-01-30,2020-01-31,,,54.3
erhaltgeb_es.ES0118,ES0118,Mitte,Leipziger Straße,2020-07-24,2020-07-25,2022-01-26,2022-01-27,10.4
erhaltgeb_es.ES0119,ES0119,Mitte,Erste Erweiterung Friedrichstadt,2022-12-07,2022-12-08,,,2.0
erhaltgeb_es.ES0203,ES0203,Friedrichshain-Kreuzberg,Urbanhafen / Südstern,2011-02-10,2011-02-11,,,48.5
erhaltgeb_es.ES0204,ES0204,Friedrichshain-Kreuzberg,Graefestraße,2022-03-18,2022-03-19,,,67.3
erhaltgeb_es.ES0205,ES0205,Friedrichshain-Kreuzberg,Luisenstadt,2023-07-29,2023-07-30,,,268.8
erhaltgeb_es.ES0206,ES0206,Friedrichshain-Kreuzberg,Weberwiese,2022-03-18,2022-03-19,,,28.7
erhaltgeb_es.ES0207,ES0207,Friedrichshain-Kreuzberg,Karl-Marx-Allee/Frankfurter Allee (ehemals Stalinallee) und deren flankierende Bereiche,2021-02-27,2021-02-28,,,121.8
erhaltgeb_es.ES0208,ES0208,Friedrichshain-Kreuzberg,IBA 87 - Südliche Friedrichstadt,2022-03-18,2022-03-19,,,69.4
erhaltgeb_es.ES0301,ES0301,Pankow,Weißenseer Spitze,1996-11-16,1996-11-17,,,28.9
erhaltgeb_es.ES0302,ES0302,Pankow,Weißensee Süd,1996-11-16,1996-11-17,,,85.1
erhaltgeb_es.ES0303,ES0303,Pankow,Dorf Blankenfelde,1998-02-25,1998-02-26,,,52.1
