Unnamed: 0,pharmacy_id,name,operator,street,housenumber,postcode,suburb,phone,website,openinghours,dispensing,wheelchair_accessible,latitude,longitude,district,district_id
0,60775323,reichenberger apotheke,,reichenberger straße,3,13055.0,Alt-Hohenschönhausen,+49309713807,https://reichenbergerapotheke.de/,mo-th 08:00-19:00; fr 08:00-18:30; sa 09:00-13:00,yes,yes,52.5407412,13.4866016,Lichtenberg,11011011
1,60848447,castello-apotheke,,,,,,,,mo-fr 08:30-19:00; sa 08:30-14:00,yes,yes,52.5318353,13.4696536,Lichtenberg,11011011
2,60852928,rosen apotheke,,rudolf-seiffert-straße,11,10369.0,Fennpfuhl,+49309759449,https://www.zurrose.de/,mo-fr 08:00-19:00; sa 08:00-12:00,yes,yes,52.5275552,13.4685134,Lichtenberg,11011011
3,68437791,margareten-apotheke,,karl-kunger-straße,46,12435.0,Alt-Treptow,+49305337855,http://www.apotheke.borchert-online.de/,mo-fr 08:30-18:30; sa 08:30-13:00,yes,no,52.4893898,13.4505704,Treptow-Köpenick,11009009
4,69226035,leipziger apotheke,,leipziger straße,43,10117.0,Mitte,,https://www.leipziger-apotheke.de/,mo-fr 08:00-19:00; sa 08:00-14:00,yes,yes,52.5105561,13.3958628,Mitte,11001001
5,76507297,preußen-apotheke,,paretzer straße,2,10713.0,Wilmersdorf,+49308227190,,mo-fr 08:00-18:30; sa 08:00-13:00,yes,limited,52.4815485,13.3190694,Charlottenburg-Wilmersdorf,11004004
6,76519952,bundes-apotheke,,bundesallee,177,10715.0,,+49308541307,,mo-fr 08:30-18:30; sa 09:00-13:00,yes,yes,52.4865543,13.3314064,Charlottenburg-Wilmersdorf,11004004
7,76596388,mühlenberg-apotheke,,thomas-mann-straße,1,10409.0,Prenzlauer Berg,+493042852020,https://www.muehlenberg-apotheke.de/,mo-fr 09:00-19:00; sa 09:00-14:00,yes,yes,52.5431994,13.4423197,Pankow,11003003
8,78244254,axels apotheke,,rudi-dutschke-straße,8,,,+493025767820,https://www.axels-apotheke.de/,mo-fr 08:30-19:00; sa 09:00-13:00,,yes,52.5071247,13.3947881,Friedrichshain-Kreuzberg,11002002
9,79603436,diamant apotheke,,kurt-schumacher-damm,1-15,13405.0,,+49304985750,https://www.diamantapo.berlin/,mo-fr 09:00-19:00; sa 10:00-19:00,yes,yes,52.5633045,13.3287743,Reinickendorf,11012012
10,79606682,apotheke am markt reinickendorf,,scharnweberstraße,,13405.0,Reinickendorf,,,"mo-fr 08:30-18:00, sa 08:30-13:00",yes,limited,52.5668918,13.3170343,Reinickendorf,11012012
11,79624638,barlach apotheke,,auguste-viktoria-allee,81,13403.0,Reinickendorf,+49304132840,https://www.barlach-apotheke.de/,"mo-fr 08:30-18:30, sa 08:30-13:00",yes,yes,52.5701291,13.3213944,Reinickendorf,11012012
12,79688159,park-apotheke,,bundesallee,55,10715.0,Wilmersdorf,+49308532514,,mo-fr 08:30-18:30,yes,yes,52.4815398,13.3289844,Charlottenburg-Wilmersdorf,11004004
13,81362602,kranich-apotheke,,lindenallee,28,14050.0,Westend,+49303015073,https://www.kranich-apotheke-berlin.de/,mo-fr 08:30-19:00; sa 08:30-14:00,yes,yes,52.5104923,13.2716035,Charlottenburg-Wilmersdorf,11004004
14,87036261,nordland apotheke,tina töllner e.k.,invalidenstraße,114,10115.0,,,https://nordlandapotheke-berlin.de/,mo-fr 08:00-19:00,yes,yes,52.5306975,13.3841248,Mitte,11001001
15,87040402,friedrichstadt apotheke,,glinkastraße,4,10117.0,,+493020452820,https://www.friedrichstadtapotheke.de/,mo-fr 08:00-19:00; sa 09:00-13:00,yes,yes,52.5117692,13.3868843,Mitte,11001001
16,89274697,panorama apotheke,,panoramastraße,1,10178.0,Mitte,,,mo-fr 08:00-20:00; sa 08:30-18:00,yes,no,52.521847,13.4098188,Mitte,11001001
17,89274888,bezirksapotheke am roten rathaus,bezirksapotheke,rathausstraße,5,10178.0,,+493027583083,https://www.bezirksapotheke.de/amrotenrathaus/,mo-fr 09:00-19:30; sa 10:00-19:00,yes,yes,52.5197805,13.4108917,Mitte,11001001
18,89275182,fischerinsel-apotheke,ralf goepfert e.k.,gertraudenstraße,19,10178.0,Mitte,,,mo-fr 08:00-19:00; sa 08:30-14:00,yes,yes,52.5133809,13.4053524,Mitte,11001001
19,203469194,poseidon-apotheke,,helene-weigel-platz,10,12681.0,Marzahn,,,,yes,yes,52.5276071,13.5421939,Marzahn-Hellersdorf,11010010
20,203474469,skarabäus-apotheke,raphael abongnelah,oberfeldstraße,30,12683.0,Biesdorf,,,"mo-fr 08:30-19:00;sa 08:30-13:00;su,ph off",yes,yes,52.5204665,13.5558118,Marzahn-Hellersdorf,11010010
21,250195921,alte roland-apotheke,,turmstraße,15,10559.0,Moabit,+49303943056,https://www.alte-roland-apotheke.de/,mo-fr 09:00-18:30; sa 09:00-13:00,,yes,52.5264625,13.3501221,Mitte,11001001
22,251737915,virchow apotheke,,seestraße,99,13353.0,Wedding,,https://www.virchow-apotheke-berlin.de/,"mo,tu 08:30-19:00; we 08:30-18:30; th 08:30-19:00; fr 08:30-18:30",yes,yes,52.54973,13.3498263,Mitte,11001001
23,254307048,wotan apotheke,,grolmanstraße,51,10623.0,Charlottenburg,,,mo-fr 08:00-18:30; sa 09:00-14:00,yes,yes,52.5069033,13.3218338,Charlottenburg-Wilmersdorf,11004004
24,255825174,wildenbruch apotheke,mosa masalmeh,sonnenallee,105,12045.0,Neukölln,,,"mo-fr 09:00-18:30, sa 10:30-16:30",yes,yes,52.4818892,13.440147,Neukölln,11008008
25,255825368,frühlicht-apotheke,,anzengruberstraße,7,12043.0,,,,mo-fr 09:00-18:00; sa 09:00-14:00,yes,yes,52.4803687,13.4394937,Neukölln,11008008
26,259081139,nordring apotheke,,schönhauser allee,118,10437.0,Prenzlauer Berg,,,mo-fr 08:00-20:00; sa 09:00-15:00; ph off,yes,yes,52.549263,13.4133047,Pankow,11003003
27,259081143,vita apotheke,,schivelbeiner straße,33,10439.0,Prenzlauer Berg,,http://www.vita-apotheke.com,"mo-fr 08:00-19:00, sa 08:00-14:00",yes,limited,52.5509103,13.4079077,Pankow,11003003
28,260865620,taut-apotheke,,,,,,,,mo-fr 10:00-20:00; sa 10:00-16:00,yes,yes,52.4124087,13.5725538,Treptow-Köpenick,11009009
29,261963290,grüne apotheke,docmorris kooperationen gmbh,elsenstraße,111,12435.0,,+493053212201,http://www.docmorris-apotheke.de/de/apotheken/list/berlin/treptow/,mo-fr 09:00-18:30; sa 10:00-18:00,yes,yes,52.4907054,13.4567328,Treptow-Köpenick,11009009
30,262213475,möllendorff-apotheke,,möllendorffstraße,47,10367.0,Fennpfuhl,,,"mo-fr 08:30-18:30, sa 08:30-13:00",yes,yes,52.5241575,13.4800051,Lichtenberg,11011011
31,263699380,robinson apotheke,,lion-feuchtwanger-straße,22,12619.0,Hellersdorf,,,"mo-fr 08:00-18:30, sa 08:00-13:00; ph off",yes,yes,52.517681,13.5829,Marzahn-Hellersdorf,11010010
32,266630604,georginen-apotheke,andrea weigel,treskowstraße,76,12623.0,Mahlsdorf,+49305665731,https://www.georginen-apotheke-berlin.de/,mo-fr 08:00-19:00; sa 09:00-13:00; ph off,yes,yes,52.5111499,13.6121832,Marzahn-Hellersdorf,11010010
33,266632232,mahlsdorfer apotheke,,hönower straße,54,12623.0,Mahlsdorf,+49305677417,http://www.mahlsdorfer-apotheke.de,"mo,tu 08:00-19:30, we-fr 08:00-18:30, sa 08:00-13:00; ph off",yes,yes,52.509361,13.6138214,Marzahn-Hellersdorf,11010010
34,266674656,neue medikus apotheke,christoph neumann e.k.,myslowitzer straße,49,12621.0,Kaulsdorf,+4930565998990,https://www.neue-medicus-apotheke.de/,mo-fr 08:00-19:00;sa 08:00-13:00; ph off,yes,yes,52.5071368,13.592044,Marzahn-Hellersdorf,11010010
35,267366952,wins-apotheke,,winsstraße,45,10405.0,Prenzlauer Berg,+49304439390,https://www.wins-apotheke.de/,mo-fr 08:00-19:00; sa 09:00-14:00; su off,yes,yes,52.5360082,13.4270624,Pankow,11003003
36,267860831,seegefelder-apotheke,,seegefelder straße,63,13583.0,Spandau,+49303332484,,,yes,no,52.5372848,13.1879163,Spandau,11005005
37,268636979,brandenburg-apotheke,,brandenburgische straße,37,10707.0,Wilmersdorf,,,mo-fr 08:30-19:00; sa 08:30-14:00,yes,yes,52.4985391,13.3071113,Charlottenburg-Wilmersdorf,11004004
38,268726812,rosegger-apotheke,axel emmrich,sonnenallee,144,12059.0,,+493068237037,https://www.rosegger-apotheke.de/,mo-fr 08:30-18:30; sa 08:30-13:00,yes,yes,52.4789497,13.4451781,Neukölln,11008008
39,268844381,storchen-apotheke,,schulzendorfer straße,70,13503.0,Heiligensee,+49304313204,https://www.storchen-apotheke.org/,mo-fr 09:00-18:30; sa 09:00-13:00,yes,yes,52.6128103,13.2315014,Reinickendorf,11012012
40,268844523,apotheke am markt,ulrike klaus,bekassinenweg,18,13503.0,Heiligensee,,https://www.apotheke-heiligensee.de/,mo-fr 08:00-18:30;sa 08:30-13:30,yes,no,52.607565,13.2348292,Reinickendorf,11012012
41,268981834,grimm-apotheke,,grimmstraße,9,10967.0,Kreuzberg,,,mo-fr 09:00-18:30; sa 09:00-14:00,yes,limited,52.4935361,13.4134932,Friedrichshain-Kreuzberg,11002002
42,269478054,apotheke am engelbecken,ralf goepfert e.k.,heinrich-heine-straße,15,10179.0,Mitte,,,mo-fr 08:00-19:00; sa 08:30-14:00,yes,yes,52.507579,13.414104,Mitte,11001001
43,270814718,kur-apotheke,,spanische allee,37,14129.0,Schlachtensee,+49308017398,,,yes,,52.4322803,13.219675,Steglitz-Zehlendorf,11006006
44,270814721,die dorotheen apotheke,dr. petra schneider,potsdamer chaussee,80,14129.0,Nikolassee,+49308039579,https://www.die-dorotheen-apotheke.de/,mo-fr 08:30-20:00; sa 08:00-14:00,yes,yes,52.4271388,13.216597,Steglitz-Zehlendorf,11006006
45,270906159,rosen-apotheke berlin,,fürstenwalder allee,266,12589.0,Rahnsdorf,,,,yes,yes,52.4327628,13.7098785,Treptow-Köpenick,11009009
46,271282692,kolberger apotheke,,gerichtstraße,18,13347.0,Gesundbrunnen,,,mo-fr 08:30-18:00; sa 08:30-13:00,yes,no,52.543989,13.3735976,Mitte,11001001
47,271405514,hauptstadt apotheke,jana schreiber,klosterstraße,34-35,13581.0,,+4930337759410,https://hauptstadtapotheke.de,mo-fr 08:00-19:00; sa 09:00-13:00,yes,yes,52.5320913,13.1981714,Spandau,11005005
48,271708716,altstadt apotheke,,,,,,+49303332030,https://www.altstadt-apotheke-berlin.de/,mo-fr 08:00-19:00; sa 09:00-14:00; su off,yes,yes,52.5366282,13.2052104,Spandau,11005005
49,271708914,löwen-apotheke,,,,,,+493035304740,https://www.loewen-apotheke-berlin.de/,mo-fr 08:30-18:30; sa 09:00-14:00,yes,no,52.5376866,13.2060246,Spandau,11005005
50,271710934,adler-apotheke,,carl-schurz-straße,39,13597.0,Spandau,+49303335064,https://www.adler-apotheke-berlin.de/,mo-fr 08:00-19:00; sa 08:00-16:00; su off,yes,yes,52.5376635,13.2036654,Spandau,11005005
51,271713876,spandauer apotheke,docmorris,feldstraße,56,13585.0,,,,"mo-fr 08:00-18:30; sa 09:00-13:00; ph,su off",yes,limited,52.542908,13.2059594,Spandau,11005005
52,272385616,jäger apotheke,,adamstraße,3,13595.0,Wilhelmstadt,+49303616090,https://www.jaeger-apotheke-spandau.de/,"mo-fr 08:30-18:30; sa 08:30-13:00; ph,su off",yes,yes,52.5211632,13.1970215,Spandau,11005005
53,272385919,adam apotheke,,adamstraße,41,13595.0,Wilhelmstadt,+49303619042,,mo-fr 08:30-18:00; sa 08:30-13:00,yes,yes,52.5208942,13.1948184,Spandau,11005005
54,272386317,pichelsdorf apotheke,,pichelsdorfer straße,120,13595.0,Wilhelmstadt,+49303322007,https://www.pichelsdorfapotheke.de/,"mo-fr 08:30-18:30; sa 08:30-13:30; su,ph off",yes,yes,52.5254705,13.1971411,Spandau,11005005
55,272499930,ringbahn-apotheke,,karl-marx-straße,239,12055.0,Neukölln,+493068302613,,"mo-fr 08:30-18:30, sa 08:30-13:00",yes,limited,52.4678648,13.4421953,Neukölln,11008008
56,272662737,kaiser apotheke,,bergmannstraße,23,10961.0,,+49306937881,https://kaiser-apotheke-berlin.de,mo-fr 08:30-20:00; sa 09:00-20:00,yes,yes,52.4889422,13.3939616,Friedrichshain-Kreuzberg,11002002
57,273743446,apotheke bahnhof spandau,,seegefelder straße,16,13597.0,Spandau,,https://www.apothekebahnhofspandau.de/,"mo,tu,th 08:00-18:30; we,fr 08:00-18:00; sa 09:00-13:00",yes,limited,52.5356492,13.1956671,Spandau,11005005
58,274864546,hansa apotheke,,,,,,,,,yes,no,52.5217984,13.198061,Spandau,11005005
59,275623282,gesundleben apotheke mahlsdorf,,hönower straße,95A,12623.0,Mahlsdorf,+49309918153,https://www.gesundleben-apotheken.de/mahlsdorf,mo-fr 08:00-19:00; sa 09:00-13:00; ph off,yes,yes,52.5133802,13.6120014,Marzahn-Hellersdorf,11010010
60,275887592,galenus-apotheke,,,,,,+49302827871,https://galenus-berlin.de/,mo-fr 08:00-19:00; ph off,yes,no,52.5236295,13.386715,Mitte,11001001
61,276145617,stern apotheke,christoph albertini e.k.,baumschulenstraße,96,12437.0,Baumschulenweg,+493053027866,https://www.sternapotheke-berlin.de/,mo-fr 08:00-19:00; sa 08:30-13:30,yes,limited,52.4671189,13.4886389,Treptow-Köpenick,11009009
62,276774391,marien-apotheke,,gatower straße,85,13595.0,Wilhelmstadt,+49303616707,,mo-fr 08:30-18:00; sa 08:30-13:00,yes,yes,52.512828,13.1833779,Spandau,11005005
63,280296894,thalia apotheke,,,,,Lankwitz,,,mo-fr 08:30-18:30; sa 08:30-13:00,,yes,52.4364093,13.3464079,Steglitz-Zehlendorf,11006006
64,282744493,mirbach,,,,,,,,mo-fr 08:30-19:00; sa 08:30-13:30,yes,yes,52.517377,13.4686866,Friedrichshain-Kreuzberg,11002002
65,282762536,frankfurter apotheke,,frankfurter allee,52,10247.0,Friedrichshain,,,mo-fr 08:00-20:00; sa 09:00-15:00,yes,yes,52.5144752,13.4648596,Friedrichshain-Kreuzberg,11002002
66,282836294,treskow-apotheke,,ehrenfelsstraße,46,10318.0,Karlshorst,+493050012614,https://www.treskow-apotheke.de/,mo-fr 08:00-18:30; sa 09:00-13:00,yes,yes,52.4825451,13.526263,Lichtenberg,11011011
67,283346896,uferpalais-apotheke,,,,,,,,mo-fr 08:30-19:00; sa 08:30-14:00,yes,no,52.5467539,13.2094458,Spandau,11005005
68,287852225,bärliner apotheke,,havemannstraße,24,12689.0,Marzahn,,,mo-fr 08:00-19:00; sa 08:30-14:00,yes,yes,52.5678242,13.5724583,Marzahn-Hellersdorf,11010010
69,287970707,apotheke im kaufland,,romain-rolland-straße,19,13089.0,Heinersdorf,+49304790780,https://www.kaufland-apotheke-weissensee.de/apotheke/willkommen.htm,mo-sa 08:30-19:30,yes,yes,52.5643537,13.4445534,Pankow,11003003
70,291014069,tulpen-apotheke,apothekerin irmtraud knuth,mariendorfer damm,432,12107.0,Lichtenrade,+493076203014,https://www.tulpen-apotheke-berlin.de/,mo-fr 8:00-19:00;sa 8:00-14:00,yes,yes,52.4163173,13.3997542,Tempelhof-Schöneberg,11007007
71,291212713,atlas-apotheke,apotheker dr. christian fechner e. k.,falkenseer chaussee,23,13583.0,Falkenhagener Feld,,,mo-fr 09:00-18:30; we 09:00-17:45; sa 09:00-13:00,yes,yes,52.5473903,13.1871238,Spandau,11005005
72,291432407,kreisel-apotheke,,schloßstraße,82,12165.0,Steglitz,,,mo-fr 08:30-19:00; sa 09:00-18:00,yes,yes,52.4564263,13.3209201,Steglitz-Zehlendorf,11006006
73,292699498,birken-apotheke,,,,,,+49304115834,https://www.birken-apotheke-berlin.de/,mo-fr 08:00-19:30; sa 08:00-16:00,yes,yes,52.5953568,13.3351509,Reinickendorf,11012012
74,297410017,pharmland-apotheke,dr. frank kiesewalter,sewanstraße,4,10319.0,Friedrichsfelde,+493067302370,https://www.lichtenberg.pharmland.de/lichtenbergpharmland,mo-sa 09:00-19:00,yes,yes,52.4997043,13.4969744,Lichtenberg,11011011
75,297489806,helgoland apotheke,,,,,,,,mo-fr 08:30-18:30; sa 08:30-13:00,yes,yes,52.4125676,13.359647,Tempelhof-Schöneberg,11007007
76,297512115,helianthus-apotheke,sharareh hemmati sadeghi,rheinstraße,27,12161.0,Friedenau,+493089726932,https://www.helianthus-apotheke-berlin.de/,"mo-fr 08:30-19:00; sa,su off",yes,no,52.4675849,13.3308517,Tempelhof-Schöneberg,11007007
77,297512117,burger apotheke,norbert peter e.k.,bundesallee,92,12161.0,Friedenau,+49308516305,https://www.burger-apotheke.de/,mo-fr 08:30-19:00; sa 08:30-14:00,yes,limited,52.4672318,13.3279955,Tempelhof-Schöneberg,11007007
78,304367397,glückskind apotheke,,heerstraße,560,13591.0,Staaken,+493036404066,http://www.glückskind-apotheke.de/,"mo-fr 09:00-14:00,15:00-18:00; sa 09:00-13:00",yes,yes,52.5249401,13.1424401,Spandau,11005005
