pharmacy_id,district_id,name,street,housenumber,postal_code,district,neighborhood,phone_number,website,services_offered,openinghours,wheelchair_accessible,latitude,longitude,coordinates
60775323,11011011,reichenberger apotheke,reichenberger straße,3,13055,Lichtenberg,Alt-Hohenschönhausen,+49309713807,https://reichenbergerapotheke.de/,dispensing_yes,mo-th 08:00-19:00; fr 08:00-18:30; sa 09:00-13:00,yes,52.5407412,13.4866016,POINT(13.4866016 52.5407412)
60848447,11011011,castello-apotheke,nan,nan,nan,Lichtenberg,Fennpfuhl,,nan,dispensing_yes,mo-fr 08:30-19:00; sa 08:30-14:00,yes,52.5318353,13.4696536,POINT(13.4696536 52.5318353)
60852928,11011011,rosen apotheke,rudolf-seiffert-straße,11,10369,Lichtenberg,Fennpfuhl,+49309759449,https://www.zurrose.de/,dispensing_yes,mo-fr 08:00-19:00; sa 08:00-12:00,yes,52.5275552,13.4685134,POINT(13.4685134 52.5275552)
68437791,11009009,margareten-apotheke,karl-kunger-straße,46,12435,Treptow-Köpenick,Alt-Treptow,+49305337855,http://www.apotheke.borchert-online.de/,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:00,no,52.4893898,13.4505704,POINT(13.4505704 52.4893898)
69226035,11001001,leipziger apotheke,leipziger straße,43,10117,Mitte,Mitte,,https://www.leipziger-apotheke.de/,dispensing_yes,mo-fr 08:00-19:00; sa 08:00-14:00,yes,52.5105561,13.3958628,POINT(13.3958628 52.5105561)
76507297,11004004,preußen-apotheke,paretzer straße,2,10713,Charlottenburg-Wilmersdorf,Wilmersdorf,+49308227190,nan,dispensing_yes,mo-fr 08:00-18:30; sa 08:00-13:00,limited,52.4815485,13.3190694,POINT(13.3190694 52.4815485)
76519952,11004004,bundes-apotheke,bundesallee,177,10715,Charlottenburg-Wilmersdorf,Wilmersdorf,+49308541307,nan,dispensing_yes,mo-fr 08:30-18:30; sa 09:00-13:00,yes,52.4865543,13.3314064,POINT(13.3314064 52.4865543)
76596388,11003003,mühlenberg-apotheke,thomas-mann-straße,1,10409,Pankow,Prenzlauer Berg,+493042852020,https://www.muehlenberg-apotheke.de/,dispensing_yes,mo-fr 09:00-19:00; sa 09:00-14:00,yes,52.5431994,13.4423197,POINT(13.4423197 52.5431994)
78244254,11002002,axels apotheke,rudi-dutschke-straße,8,nan,Friedrichshain-Kreuzberg,Kreuzberg,+493025767820,https://www.axels-apotheke.de/,,mo-fr 08:30-19:00; sa 09:00-13:00,yes,52.5071247,13.3947881,POINT(13.3947881 52.5071247)
79603436,11012012,diamant apotheke,kurt-schumacher-damm,1-15,13405,Reinickendorf,Reinickendorf,+49304985750,https://www.diamantapo.berlin/,dispensing_yes,mo-fr 09:00-19:00; sa 10:00-19:00,yes,52.5633045,13.3287743,POINT(13.3287743 52.5633045)
79606682,11012012,apotheke am markt reinickendorf,scharnweberstraße,nan,13405,Reinickendorf,Reinickendorf,,nan,dispensing_yes,"mo-fr 08:30-18:00, sa 08:30-13:00",limited,52.5668918,13.3170343,POINT(13.3170343 52.5668918)
79624638,11012012,barlach apotheke,auguste-viktoria-allee,81,13403,Reinickendorf,Reinickendorf,+49304132840,https://www.barlach-apotheke.de/,dispensing_yes,"mo-fr 08:30-18:30, sa 08:30-13:00",yes,52.5701291,13.3213944,POINT(13.3213944 52.5701291)
79688159,11004004,park-apotheke,bundesallee,55,10715,Charlottenburg-Wilmersdorf,Wilmersdorf,+49308532514,nan,dispensing_yes,mo-fr 08:30-18:30,yes,52.4815398,13.3289844,POINT(13.3289844 52.4815398)
81362602,11004004,kranich-apotheke,lindenallee,28,14050,Charlottenburg-Wilmersdorf,Westend,+49303015073,https://www.kranich-apotheke-berlin.de/,dispensing_yes,mo-fr 08:30-19:00; sa 08:30-14:00,yes,52.5104923,13.2716035,POINT(13.2716035 52.5104923)
87036261,11001001,nordland apotheke,invalidenstraße,114,10115,Mitte,Mitte,,https://nordlandapotheke-berlin.de/,dispensing_yes,mo-fr 08:00-19:00,yes,52.5306975,13.3841248,POINT(13.3841248 52.5306975)
87040402,11001001,friedrichstadt apotheke,glinkastraße,4,10117,Mitte,Mitte,+493020452820,https://www.friedrichstadtapotheke.de/,dispensing_yes,mo-fr 08:00-19:00; sa 09:00-13:00,yes,52.5117692,13.3868843,POINT(13.3868843 52.5117692)
89274697,11001001,panorama apotheke,panoramastraße,1,10178,Mitte,Mitte,,nan,dispensing_yes,mo-fr 08:00-20:00; sa 08:30-18:00,no,52.521847,13.4098188,POINT(13.4098188 52.521847)
89274888,11001001,bezirksapotheke am roten rathaus,rathausstraße,5,10178,Mitte,Mitte,+493027583083,https://www.bezirksapotheke.de/amrotenrathaus/,dispensing_yes,mo-fr 09:00-19:30; sa 10:00-19:00,yes,52.5197805,13.4108917,POINT(13.4108917 52.5197805)
89275182,11001001,fischerinsel-apotheke,gertraudenstraße,19,10178,Mitte,Mitte,,nan,dispensing_yes,mo-fr 08:00-19:00; sa 08:30-14:00,yes,52.5133809,13.4053524,POINT(13.4053524 52.5133809)
203469194,11010010,poseidon-apotheke,helene-weigel-platz,10,12681,Marzahn-Hellersdorf,Marzahn,,nan,dispensing_yes,nan,yes,52.5276071,13.5421939,POINT(13.5421939 52.5276071)
203474469,11010010,skarabäus-apotheke,oberfeldstraße,30,12683,Marzahn-Hellersdorf,Biesdorf,,nan,dispensing_yes,"mo-fr 08:30-19:00;sa 08:30-13:00;su,ph off",yes,52.5204665,13.5558118,POINT(13.5558118 52.5204665)
250195921,11001001,alte roland-apotheke,turmstraße,15,10559,Mitte,Moabit,+49303943056,https://www.alte-roland-apotheke.de/,,mo-fr 09:00-18:30; sa 09:00-13:00,yes,52.5264625,13.3501221,POINT(13.3501221 52.5264625)
251737915,11001001,virchow apotheke,seestraße,99,13353,Mitte,Wedding,,https://www.virchow-apotheke-berlin.de/,dispensing_yes,"mo,tu 08:30-19:00; we 08:30-18:30; th 08:30-19:00; fr 08:30-18:30",yes,52.54973,13.3498263,POINT(13.3498263 52.54973)
254307048,11004004,wotan apotheke,grolmanstraße,51,10623,Charlottenburg-Wilmersdorf,Charlottenburg,,nan,dispensing_yes,mo-fr 08:00-18:30; sa 09:00-14:00,yes,52.5069033,13.3218338,POINT(13.3218338 52.5069033)
255825174,11008008,wildenbruch apotheke,sonnenallee,105,12045,Neukölln,Neukölln,,nan,dispensing_yes,"mo-fr 09:00-18:30, sa 10:30-16:30",yes,52.4818892,13.440147,POINT(13.440147 52.4818892)
255825368,11008008,frühlicht-apotheke,anzengruberstraße,7,12043,Neukölln,Neukölln,,nan,dispensing_yes,mo-fr 09:00-18:00; sa 09:00-14:00,yes,52.4803687,13.4394937,POINT(13.4394937 52.4803687)
259081139,11003003,nordring apotheke,schönhauser allee,118,10437,Pankow,Prenzlauer Berg,,nan,dispensing_yes,mo-fr 08:00-20:00; sa 09:00-15:00; ph off,yes,52.549263,13.4133047,POINT(13.4133047 52.549263)
259081143,11003003,vita apotheke,schivelbeiner straße,33,10439,Pankow,Prenzlauer Berg,,http://www.vita-apotheke.com,dispensing_yes,"mo-fr 08:00-19:00, sa 08:00-14:00",limited,52.5509103,13.4079077,POINT(13.4079077 52.5509103)
260865620,11009009,taut-apotheke,nan,nan,nan,Treptow-Köpenick,Bohnsdorf,,nan,dispensing_yes,mo-fr 10:00-20:00; sa 10:00-16:00,yes,52.4124087,13.5725538,POINT(13.5725538 52.4124087)
261963290,11009009,grüne apotheke,elsenstraße,111,12435,Treptow-Köpenick,Alt-Treptow,+493053212201,http://www.docmorris-apotheke.de/de/apotheken/list/berlin/treptow/,dispensing_yes,mo-fr 09:00-18:30; sa 10:00-18:00,yes,52.4907054,13.4567328,POINT(13.4567328 52.4907054)
262213475,11011011,möllendorff-apotheke,möllendorffstraße,47,10367,Lichtenberg,Fennpfuhl,,nan,dispensing_yes,"mo-fr 08:30-18:30, sa 08:30-13:00",yes,52.5241575,13.4800051,POINT(13.4800051 52.5241575)
263699380,11010010,robinson apotheke,lion-feuchtwanger-straße,22,12619,Marzahn-Hellersdorf,Hellersdorf,,nan,dispensing_yes,"mo-fr 08:00-18:30, sa 08:00-13:00; ph off",yes,52.517681,13.5829,POINT(13.5829 52.517681)
266630604,11010010,georginen-apotheke,treskowstraße,76,12623,Marzahn-Hellersdorf,Mahlsdorf,+49305665731,https://www.georginen-apotheke-berlin.de/,dispensing_yes,mo-fr 08:00-19:00; sa 09:00-13:00; ph off,yes,52.5111499,13.6121832,POINT(13.6121832 52.5111499)
266632232,11010010,mahlsdorfer apotheke,hönower straße,54,12623,Marzahn-Hellersdorf,Mahlsdorf,+49305677417,http://www.mahlsdorfer-apotheke.de,dispensing_yes,"mo,tu 08:00-19:30, we-fr 08:00-18:30, sa 08:00-13:00; ph off",yes,52.509361,13.6138214,POINT(13.6138214 52.509361)
266674656,11010010,neue medikus apotheke,myslowitzer straße,49,12621,Marzahn-Hellersdorf,Kaulsdorf,+4930565998990,https://www.neue-medicus-apotheke.de/,dispensing_yes,mo-fr 08:00-19:00;sa 08:00-13:00; ph off,yes,52.5071368,13.592044,POINT(13.592044 52.5071368)
267366952,11003003,wins-apotheke,winsstraße,45,10405,Pankow,Prenzlauer Berg,+49304439390,https://www.wins-apotheke.de/,dispensing_yes,mo-fr 08:00-19:00; sa 09:00-14:00; su off,yes,52.5360082,13.4270624,POINT(13.4270624 52.5360082)
267860831,11005005,seegefelder-apotheke,seegefelder straße,63,13583,Spandau,Spandau,+49303332484,nan,dispensing_yes,nan,no,52.5372848,13.1879163,POINT(13.1879163 52.5372848)
