addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,check_date:opening_hours,dispensing,healthcare,name,opening_hours,phone,toilets:wheelchair,website,wheelchair,check_date,man_made,payment:mastercard,payment:visa,surveillance,contact:website,level,email,fax,contact:phone,drinking_water:refill,operator,addr:city:fa,drive_through,contact:email,owner,contact:fax,wheelchair:description,start_date,source,health_facility:type,medical_system:western,payment:cash,payment:credit_cards,payment:debit_cards,name_old,building:levels,old_name,wheelchair:source,ref:vatin,access:covid19,delivery:covid19,brand,brand:wikidata,name:en,addr:place,dog,opening_hours:signed,takeaway:covid19,payment:girocard,addr:housename,wheelchair:description:de,wheelchair:description:en,language:en,language:es,language:tr,entrance,description,payment:contactless,operator:type,contact:whatsapp,air_conditioning,wikidata,wikipedia,fixme,alt_name,payment:maestro,internet_access,delivery,instagram,name:de,note,contact:facebook,branch,contact:instagram,addr:floor,width,addr:flats,network,layer,service:bicycle:pump,service:bicycle:retail,service:bicycle:second_hand,mapillary,addr:inclusion,disused:amenity,opening_hours:covid19,opening_hours:url,indoor,building,building:colour,building:roof,roof:shape,access,room,payment:american_express,latitude,longitude
Berlin,DE,3,13055,Reichenberger Straße,Alt-Hohenschönhausen,pharmacy,2024-09-26,yes,pharmacy,Reichenberger Apotheke,Mo-Th 08:00-19:00; Fr 08:00-18:30; Sa 09:00-13:00,+49 30 9713807,no,https://reichenbergerapotheke.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5407412,13.4866016
,,,,,,pharmacy,2025-02-11,yes,pharmacy,Castello-Apotheke,Mo-Fr 08:30-19:00; Sa 08:30-14:00,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5318353,13.4696536
Berlin,DE,11,10369,Rudolf-Seiffert-Straße,Fennpfuhl,pharmacy,2024-10-16,yes,pharmacy,Rosen Apotheke,Mo-Fr 08:00-19:00; Sa 08:00-12:00,+49 30 9759449,,https://www.zurrose.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5275552,13.4685134
Berlin,,46,12435,Karl-Kunger-Straße,Alt-Treptow,pharmacy,2024-06-04,yes,pharmacy,Margareten-Apotheke,Mo-Fr 08:30-18:30; Sa 08:30-13:00,+49 30 5337855,,http://www.apotheke.borchert-online.de/,no,2024-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4893898,13.4505704
Berlin,DE,43,10117,Leipziger Straße,Mitte,pharmacy,,yes,pharmacy,Leipziger Apotheke,Mo-Fr 08:00-19:00; Sa 08:00-14:00,,,https://www.leipziger-apotheke.de/,yes,2022-08-22,surveillance,yes,yes,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5105561,13.3958628
Berlin,DE,2,10713,Paretzer Straße,Wilmersdorf,pharmacy,2021-07-30,yes,pharmacy,Preußen-Apotheke,Mo-Fr 08:00-18:30; Sa 08:00-13:00,+49 30 8227190,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4815485,13.3190694
Berlin,,177,10715,Bundesallee,,pharmacy,,yes,pharmacy,Bundes-Apotheke,Mo-Fr 08:30-18:30; Sa 09:00-13:00,+49 30 8541307,no,,yes,,,,,,https://www.bundes-apotheke.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4865543,13.3314064
Berlin,DE,1,10409,Thomas-Mann-Straße,Prenzlauer Berg,pharmacy,2025-06-02,yes,pharmacy,Mühlenberg-Apotheke,Mo-Fr 09:00-19:00; Sa 09:00-14:00,+49 30 42852020,,https://www.muehlenberg-apotheke.de/,yes,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5431994,13.4423197
,,8,,Rudi-Dutschke-Straße,,pharmacy,,,pharmacy,Axels Apotheke,Mo-Fr 08:30-19:00; Sa 09:00-13:00,+49 30 257678 20,,https://www.axels-apotheke.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5071247,13.3947881
Berlin,DE,1-15,13405,Kurt-Schumacher-Damm,,pharmacy,2024-01-08,yes,pharmacy,Diamant Apotheke,Mo-Fr 09:00-19:00; Sa 10:00-19:00,+49 30 4985750,,https://www.diamantapo.berlin/,yes,,,,,,,0,info@diamantapo.berlin,+4930 498575 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5633045,13.3287743
Berlin,DE,,13405,Scharnweberstraße,Reinickendorf,pharmacy,2023-07-12,yes,pharmacy,Apotheke am Markt Reinickendorf,"Mo-Fr 08:30-18:00, Sa 08:30-13:00",,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5668918,13.3170343
Berlin,DE,81,13403,Auguste-Viktoria-Allee,Reinickendorf,pharmacy,,yes,pharmacy,Barlach Apotheke,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",+49 30 4132840,,https://www.barlach-apotheke.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5701291,13.3213944
