pool_id,name,pool_type,street,postal_code,latitude,longitude,open_all_year,district,district_id
472,Strandbad Lübars,Naturbad,Am Freibad 9,13469,52.61824,13.33519,False,Reinickendorf,1
473,Kleine Schwimmhalle Wuhlheide,Hallenbad,An der Wuhlheide 161,12459,52.45993,13.53965,True,Treptow-Köpenick,2
474,Kombibad Mariendorf,Kombibad,Ankogelweg 95,12107,52.41972,13.40154,True,Tempelhof-Schöneberg,3
475,Schwimmhalle Anton-Saefkow-Platz,Hallenbad,Anton-Saefkow-Platz 1,10369,52.53093,13.47184,True,Lichtenberg,4
476,Stadtbad Kreuzberg - Baerwaldbad,Hallenbad,Baerwaldstraße 64-67,10961,52.49451,13.40432,True,Friedrichshain-Kreuzberg,5
477,Strandbad am Weißen See,Naturbad,Berliner Allee 155,13086,52.55396,13.46583,False,Pankow,6
478,Sommerbad Staaken-West,Freibad,Brunsbüttler Damm 443,13591,52.53386,13.13123,False,Spandau,7
479,Schwimmhalle Kaulsdorf,Schulbad,Clara-Zetkin-Weg 13,12619,52.5208,13.58541,True,Marzahn-Hellersdorf,8
480,Sommerbad Neukölln,Freibad,Columbiadamm 160-180,10965,52.48025,13.41595,False,Neukölln,9
481,Schwimmhalle Finckensteinallee,Hallenbad,Finckensteinallee 73,12205,52.43225,13.29791,False,Steglitz-Zehlendorf,10
482,Schwimmhalle Fischerinsel,Hallenbad,Fischerinsel 11,10179,52.51236,13.40452,True,Mitte,11
674,Sommerbad Wilmersdorf,Freibad,Forckenstraße 14,14199,52.48209,13.30394,False,Charlottenburg-Wilmersdorf,12
675,Strandbad Orankesee,Naturbad,Gertrudstraße 7,13053,52.55011,13.48448,False,Lichtenberg,4
676,Sportforum Hohenschönhausen,Hallenbad,Fritz-Lesch-Straße 24,13053,52.54022,13.471753,True,Lichtenberg,4
677,Stadtbad Wilmersdorf 2,Schulbad,Fritz-Wildung-Straße 7,14199,52.48613,13.30139,True,Charlottenburg-Wilmersdorf,12
882,Stadtbad Neukölln,Hallenbad,Ganghoferstraße 3-5,12043,52.47875,13.43993,True,Neukölln,9
883,Stadtbad Mitte James Simon,Hallenbad,Gartenstraße 5,10115,52.52964,13.39259,True,Mitte,11
884,Kombibad Spandau Süd,Kombibad,Gatower Straße 19-29,13595,52.5189,13.18761,True,Spandau,7
885,Stadtbad Tempelhof,Hallenbad,Götzstraße 14-18,12099,52.46445,13.38932,True,Tempelhof-Schöneberg,3
961,Stadtbad Schöneberg - Hans Rosenthal,Hallenbad,Hauptstraße 39,10827,52.4845,13.35136,False,Tempelhof-Schöneberg,3
962,Schwimmhalle Helene-Weigel-Platz Helmut Behrendt,Hallenbad,Helene-Weigel-Platz 9,12681,52.52822,13.54134,False,Marzahn-Hellersdorf,8
979,Sommerbad Lichterfelde Spucki,Freibad,Hindenburgdamm 9,12203,52.43366,13.31226,False,Steglitz-Zehlendorf,10
980,Schwimmhalle Hüttenweg,Schulbad,Hüttenweg 41,14195,52.45388,13.26759,True,Steglitz-Zehlendorf,10
1023,Strandbad Jungfernheide,Naturbad,Jungfernheideweg 60,13629,52.54394,13.27431,False,Charlottenburg-Wilmersdorf,12
1024,Strandbad Halensee,Naturbad,Königsallee 5,14193,52.49399,13.28308,False,Charlottenburg-Wilmersdorf,12
1025,Stadtbad Charlottenburg - Alte Halle,Hallenbad,Krumme-Straße 10,10585,52.51436,13.30956,True,Charlottenburg-Wilmersdorf,12
1026,Stadtbad Charlottenburg - Neue Halle,Hallenbad,Krumme Straße 6a-8,10585,52.51482,13.30889,True,Charlottenburg-Wilmersdorf,12
1027,Stadtbad Lankwitz,Hallenbad,Leonorenstraße 39,12247,52.44207,13.34324,False,Steglitz-Zehlendorf,10
1028,Schwimmhalle Ernst-Thälmann-Park,Hallenbad,Lilli-Henoch-Straße 20,10405,52.54082,13.43367,True,Pankow,6
1029,Kombibad Gropiusstadt,Kombibad,Lipschitzallee 27-33,12351,52.42968,13.47158,True,Neukölln,9
1037,Kinderbad Platsch Marzahn,Freibad,Max Herrmann-Straße 7,12687,52.5518,13.56266,True,Marzahn-Hellersdorf,8
1038,Stadtbad Wilmersdorf 1,Hallenbad,Mecklenburgische Straße 80,10713,52.48079,13.3147,False,Charlottenburg-Wilmersdorf,12
1040,Liquidrom Therme Berlin Kreuzberg,Freizeitbad,Möckernstraße 10,10963,52.50152,13.38177,True,Friedrichshain-Kreuzberg,5
1041,Strandbad Wendenschloß,Naturbad,Möllhausenufer 30,12557,52.41541,13.59948,False,Treptow-Köpenick,2
1042,Strandbad Friedrichshagen,Naturbad,Müggelseedamm 216,12587,52.44654,13.63062,False,Treptow-Köpenick,2
1043,Sommerbad Am Insulaner,Freibad,Munsterdamm 80,12169,52.45619,13.34936,False,Steglitz-Zehlendorf,10
1044,Schwimmhalle Baumschulenweg,Schulbad,Neue Krugallee 209,12437,52.47012,13.49372,False,Treptow-Köpenick,2
1045,Strandbad Plötzensee,Naturbad,Nordufer 24,13351,52.54177,13.33102,False,Mitte,11
1046,Thermen am Europa-Center,Freizeitbad,Nürnberger Straße 7,10787,52.50424,13.3402,True,Charlottenburg-Wilmersdorf,12
1047,Sommerbad Olympiastadion,Freibad,Olympischer Platz 1,14053,52.51476,13.24641,False,Charlottenburg-Wilmersdorf,12
1048,Kinderbad Monbijou,Freibad,Oranienburger Straße 78,10178,52.52281,13.39614,False,Mitte,11
1049,Schwimmhalle Allendeviertel,Hallenbad,Pablo-Neruda-Straße 5,12559,52.44256,13.58781,False,Treptow-Köpenick,2
1050,Schwimm- und Sprunghalle im Europasportpark (SSE),Hallenbad,Paul-Heyse-Straße 26,10407,52.5291701,13.4526408,True,Pankow,6
1051,Sommerbad Kreuzberg - Prinzenbad,Freibad,Prinzenstraße 113-119,10969,52.49774,13.40577,False,Friedrichshain-Kreuzberg,5
1052,Hallenbad Spandau Nord,Hallenbad,Radelandstraße 1,13589,52.55498,13.19472,True,Spandau,7
1053,Sommerbad Mariendorf,Freibad,Rixdorfer Straße 130,12109,52.44363,13.39817,False,Tempelhof-Schöneberg,3
1054,Paracelsus-Bad,Hallenbad,Roedernallee 200,13407,52.57545,13.34721,True,Reinickendorf,1
1055,Kombibad Seestraße,Kombibad,Seestraße 80,13347,52.5569,13.36323,True,Mitte,11
1056,Schwimmhalle Sewanstraße,Schulbad,Sewanstraße 229,10319,52.49584,13.51619,True,Lichtenberg,4
1057,Stadtbad Tiergarten,Hallenbad,Seydlitzstraße 7,10557,52.52745,13.36027,True,Mitte,11
1058,Strandbad Grünau,Naturbad,Sportpromenade 5,12527,52.40912,13.60418,False,Treptow-Köpenick,2
1063,FEZ Schwimmbad Berlin,Hallenbad,Straße zum FEZ 2,12459,52.46091,13.5489,True,Treptow-Köpenick,2
1064,Sommerbad Wuhlheide,Freibad,Treskowallee 211,12459,52.4699,13.5183,False,Treptow-Köpenick,2
1088,Freibad Wannsee,Naturbad,Wannseebadweg 25,14129,52.43811,13.17952,False,Steglitz-Zehlendorf,10
1089,Wellenbad am Spreewaldplatz,Hallenbad,Wiener Straße 59h,10999,52.49766,13.43206,True,Friedrichshain-Kreuzberg,5
1090,Sommerbad Humboldthain,Freibad,Wiesenstraße 1,13357,52.5453478,13.3817041,False,Mitte,11
1092,Stadtbad Märkisches Viertel,Hallenbad,Wilhelmsruher Damm 142D,13439,52.59821,13.35319,False,Reinickendorf,1
1094,Schwimmhalle Buch,Hallenbad,Wolfgang-Heinz-Straße 41,13125,52.62868,13.49203,True,Pankow,6
1095,Sommerbad Pankow,Freibad,Wolfshagener Straße 91-93,13187,52.57358,13.41314,False,Pankow,6
1096,Schwimmhalle Zingster Straße,Hallenbad,Zingster Straße 16,13051,52.56625,13.5029,True,Lichtenberg,4
1947,Schwimmhalle Forumbad Olympiastadion,Hallenbad,Hanns-Braun-Straße,14053,52.51642,13.23951,True,Charlottenburg-Wilmersdorf,12
1948,Freizeitforum Marzahn,Hallenbad,Marzahner Promenade 55,12679,52.54693,13.55615,True,Marzahn-Hellersdorf,8
1949,Sport- und Lehrschwimmhalle Schöneberg,Hallenbad,Sachsendamm 11,10829,52.47655,13.35547,True,Tempelhof-Schöneberg,3
1950,Stadtbad Oderberger Straße,Hallenbad,Oderberger Str. 57,10435,52.53801,13.41059,False,Pankow,6
1952,Schwimmhalle Thomas-Mann-Straße,Schulbad,Thomas-Mann-Straße 3,10409,52.5429,13.44299,True,Pankow,6
1953,Sportzentrum Siemensstadt,Hallenbad,Buolstr. 14,13629,52.54525,13.25877,False,Spandau,7
2084,Strandbad Müggelsee,Naturbad,Fürstenwalder Damm 838,12589,52.44537,13.67614,False,Treptow-Köpenick,2
2085,Flussbad Gartenstraße,Naturbad,Gartenstraße 46-48,12557,52.44103,13.57604,False,Treptow-Köpenick,2
2086,Freibad Heiligensee,Naturbad,Sandhauser Str. 132-140,13503,52.6001,13.21309,False,Reinickendorf,1
3958,Vabali Berlin,Sonstiges Bad,Seydlitzstr. 6,10557,52.52754,13.3605,True,Mitte,11
6394,Sportbad Britz,Freibad,Kleiberweg 3,12359,52.439552,13.473681,False,Neukölln,9
6987,Centrovital Spa,Hotelbad,Neuendorfer Straße 25,13585,52.54689,13.20953,True,Spandau,7
6988,Hallenbad im Johannesstift,Klinikbad,Schönwalder Allee 26,13587,52.56768,13.19243,True,Spandau,7
6994,Hotelbad Mercure Hotel,Hotelbad,Ohmstraße 4-6,13629,52.53571,13.27307,False,Spandau,7
6996,Bewegungsbad Vivantes Klinikum,Klinikbad,Neue Bergstraße 6,13585,52.55013,13.207,True,Spandau,7
7002,Schwimmbad Holiday Inn,Hotelbad,Rohrdamm 80,13629,52.54047,13.26229,True,Spandau,7
7283,Merdian Spa,Sonstiges Bad,Klostertraße 3,13581,52.53366,13.19839,True,Spandau,7
7889,Bethanien Havel Garten,Klinikbad,Spandauer Burgwall 29,13581,52.52633,13.20077,True,Spandau,7
7891,Seniorenhaus Havelblick,Klinikbad,Havelschanze 3,13587,52.55422,13.20851,True,Spandau,7
