neighbourhood,total_residents,single,married,widowed,"
divorced",civil_partnership
Mitte,397004,240196,113277,13119,28623,1789
Friedrichshain-Kreuzberg,292624,188392,76076,7369,19227,1560
Pankow,427276,246687,130125,17014,31848,1602
Charlottenburg-Wilmersdorf,343500,176967,114706,17823,32281,1723
Spandau,259277,125965,93781,15779,23333,419
Steglitz-Zehlendorf,310044,143312,118049,20117,27789,777
Tempelhof-Schöneberg,356959,183234,121863,19149,30838,1875
Neukölln,329488,180627,105135,16643,26095,988
Treptow-Köpenick,297236,153570,100905,17375,24751,635
Marzahn-Hellersdorf,294091,145307,105385,16190,26757,452
Lichtenberg,315548,174707,97844,16316,25938,743
Reinickendorf,274098,131052,100221,17577,24812,436
Berlin,3897145,2090016,1277367,194471,322292,12999
