,,,
,,,
,Evangelische Kirchen,,
neighbourhood,total,Germans,Foreigners
Mitte, 35 462, 33 982, 1 480
Friedrichshain-Kreuzberg, 24 175, 23 425,  750
Pankow, 40 711, 39 678, 1 033
Charlottenburg-Wilmersdorf, 47 787, 46 518, 1 269
Spandau, 40 136, 39 368,  768
Steglitz-Zehlendorf, 62 491, 61 417, 1 074
Tempelhof-Schöneberg, 53 818, 52 894,  924
Neukölln, 39 002, 38 292,  710
Treptow-Köpenick, 23 246, 22 809,  437
Marzahn-Hellersdorf, 16 846, 16 238,  608
Lichtenberg, 17 894, 17 132,  762
Reinickendorf, 45 554, 44 765,  789
Berlin, 447 122, 436 518, 10 604
