,,,
,,,
,sonstige bzw. keine,,
neighbourhood,total,Germans,Foreigners
Mitte, 333 248, 195 765, 137 483
Friedrichshain-Kreuzberg, 251 355, 166 405, 84 950
Pankow, 363 021, 284 308, 78 713
Charlottenburg-Wilmersdorf, 263 824, 179 061, 84 763
Spandau, 198 091, 135 550, 62 541
Steglitz-Zehlendorf, 216 895, 168 085, 48 810
Tempelhof-Schöneberg, 271 340, 195 713, 75 627
Neukölln, 266 828, 179 764, 87 064
Treptow-Köpenick, 261 973, 214 232, 47 741
Marzahn-Hellersdorf, 267 319, 213 295, 54 024
Lichtenberg, 285 666, 210 577, 75 089
Reinickendorf, 205 821, 146 081, 59 740
Berlin,3 185 381,2 288 836, 896 545
