,,,
,,,
,Römisch-katholische Kirche,,
neighbourhood,total,Germans,Foreigners
Mitte, 28 294, 19 306, 8 988
Friedrichshain-Kreuzberg, 17 094, 12 802, 4 292
Pankow, 23 544, 19 119, 4 425
Charlottenburg-Wilmersdorf, 31 889, 24 415, 7 474
Spandau, 21 050, 14 996, 6 054
Steglitz-Zehlendorf, 30 658, 25 204, 5 454
Tempelhof-Schöneberg, 31 801, 24 770, 7 031
Neukölln, 23 658, 17 637, 6 021
Treptow-Köpenick, 12 017, 9 359, 2 658
Marzahn-Hellersdorf, 9 926, 6 915, 3 011
Lichtenberg, 11 988, 8 137, 3 851
Reinickendorf, 22 723, 17 253, 5 470
Berlin, 264 642, 199 913, 64 729
