WOMAN,,,,,,,,,,,,,
neighbourhood,total_residents,0 - 6, 6 - 15,15 - 18,18 - 20,20 - 25,25 - 30,30 - 35,35 - 40,40 - 45,45 - 60,60 - 65,65+
Mitte, 122 406, 7 675, 10 634, 3 394, 2 368, 8 011, 11 438, 11 888, 10 226, 8 191, 19 782, 7 067, 21 732
Friedrichshain-Kreuzberg, 99 473, 5 941, 8 751, 2 704, 1 805, 5 388, 7 930, 9 409, 10 083, 9 152, 19 129, 5 377, 13 804
Pankow, 176 059, 9 092, 15 903, 5 177, 3 024, 7 598, 9 574, 11 010, 14 370, 14 257, 39 739, 11 373, 34 942
Charlottenburg-Wilmersdorf, 130 708, 6 136, 8 763, 2 894, 1 912, 6 426, 8 468, 8 109, 7 917, 7 155, 23 562, 10 098, 39 268
Spandau, 97 792, 5 475, 8 487, 2 692, 1 820, 4 925, 5 012, 5 101, 5 835, 5 541, 17 239, 8 007, 27 658
Steglitz-Zehlendorf, 135 227, 6 019, 10 667, 3 559, 2 338, 6 181, 6 035, 5 992, 7 034, 7 456, 26 318, 10 782, 42 846
Tempelhof-Schöneberg, 141 040, 7 564, 11 252, 3 534, 2 316, 7 095, 8 491, 8 879, 9 119, 8 611, 25 490, 10 911, 37 778
Neukölln, 120 097, 7 346, 11 041, 3 379, 2 263, 6 169, 7 634, 9 386, 9 804, 8 357, 19 581, 7 950, 27 187
Treptow-Köpenick, 126 274, 6 515, 10 000, 2 912, 1 838, 5 591, 6 225, 7 150, 10 253, 9 227, 23 253, 9 551, 33 759
Marzahn-Hellersdorf, 119 962, 6 000, 10 412, 3 300, 2 050, 5 231, 4 584, 5 367, 8 698, 8 274, 20 288, 11 134, 34 624
Lichtenberg, 120 137, 6 457, 9 969, 2 978, 1 892, 5 423, 6 214, 7 035, 10 301, 8 958, 19 207, 8 924, 32 779
Reinickendorf, 106 946, 5 624, 9 088, 2 857, 1 853, 5 038, 5 330, 5 391, 5 874, 5 720, 19 180, 8 706, 32 285
Berlin,1 496 121, 79 844, 124 967, 39 380, 25 479, 73 076, 86 935, 94 717, 109 514, 100 899, 272 768, 109 880, 378 662
