post_code,neighbourhood,total_residents,0-6,6-15,15-18,18-27,27-45,45-55,55-65,65+,including_female
10115,Mitte,28153,1574,2126,727,2766,11455,4210,3209,2086,13898
10117,Mitte,17439,870,1112,290,1702,6506,2144,2063,2752,8511
10119,Mitte,14755,709,1104,377,1242,5544,2593,1849,1337,7348
10119,Pankow,4950,231,382,140,506,1753,867,785,286,2429
10178,Friedrichsh.-Kreuzb.,70,3,7,3,6,21,9,9,12,36
10178,Mitte,14877,726,993,293,1490,5516,1675,1655,2529,7147
10179,Friedrichsh.-Kreuzb.,430,38,34,6,24,146,34,31,117,235
10179,Mitte,28652,1420,1832,446,3589,10290,3134,3020,4921,14170
10243,Friedrichsh.-Kreuzb.,33738,1716,2169,640,4189,13398,3819,3217,4590,16360
10245,Friedrichsh.-Kreuzb.,37271,2173,2716,691,3472,17741,5249,3005,2224,17943
10247,Friedrichsh.-Kreuzb.,39839,2137,2938,789,3728,18761,5751,3375,2360,19184
10247,Pankow,1800,91,329,120,208,448,387,147,70,862
10249,Friedrichsh.-Kreuzb.,29858,1656,2159,560,2558,12465,3784,2924,3752,14759
10249,Pankow,1591,106,140,39,269,512,253,78,194,805
10315,Lichtenberg,37521,2052,2721,742,4379,12846,3852,3783,7146,18415
10317,Lichtenberg,26486,1760,2327,669,2641,11446,3385,2299,1959,12699
10318,Lichtenberg,31958,2133,3432,973,2894,9675,4081,3928,4842,16331
10319,Lichtenberg,27802,1645,2028,597,3121,7992,2496,2931,6992,14512
10365,Lichtenberg,29120,1783,2448,677,3225,10338,3361,3015,4273,14409
10367,Lichtenberg,22935,1201,1757,493,2275,7939,2439,2364,4467,11669
10369,Lichtenberg,21064,1068,1343,426,2354,6223,2037,2258,5355,10748
10405,Pankow,32684,1712,2804,865,3037,12035,5350,4046,2835,16371
10407,Pankow,27912,1524,2449,943,2786,9698,4165,3422,2925,13968
10409,Pankow,23714,1019,1397,424,2163,7981,2740,2735,5255,12445
10435,Mitte,4381,244,324,112,369,1775,721,542,294,2240
10435,Pankow,13508,723,1157,398,1349,4839,2435,1728,879,6657
10437,Pankow,33408,1562,2788,912,3174,12511,6290,4268,1903,16678
10439,Pankow,30811,1595,2083,676,2926,12739,4956,3191,2645,15533
10551,Mitte,19103,831,1229,439,2350,7395,2168,2168,2523,9052
10553,Mitte,12729,687,781,230,1992,5285,1304,1238,1212,5828
10555,Mitte,18279,800,1106,374,2420,6252,1896,2327,3104,9023
10557,Mitte,23651,1350,1623,465,2654,9025,2565,2614,3355,11471
10559,Mitte,16678,821,1221,405,2034,6456,1953,1855,1933,7940
10585,Charlbg.-Wilmersd.,15785,801,1078,367,1629,4948,1899,1983,3080,7991
10587,Charlbg.-Wilmersd.,14453,790,853,252,1633,4808,1563,1838,2716,7442
10589,Charlbg.-Wilmersd.,16150,793,1025,361,1897,5440,1888,2120,2626,8052
10623,Charlbg.-Wilmersd.,6661,297,334,122,802,1977,774,921,1434,3297
10623,Mitte,16,–,4,–,3,–,3,–,6,10
10625,Charlbg.-Wilmersd.,11607,449,552,208,1518,3661,1172,1584,2463,5820
10627,Charlbg.-Wilmersd.,13323,655,817,278,1491,4410,1698,1703,2271,6612
10629,Charlbg.-Wilmersd.,13736,596,873,303,1242,3540,1652,2134,3396,7117
10707,Charlbg.-Wilmersd.,13517,651,859,271,1250,3763,1573,1905,3245,7079
10709,Charlbg.-Wilmersd.,10740,441,663,209,1065,2978,1263,1525,2596,5644
10711,Charlbg.-Wilmersd.,11802,523,724,263,1101,3536,1359,1653,2643,6038
10713,Charlbg.-Wilmersd.,13192,673,1010,353,1522,3928,1466,1795,2445,6694
10715,Charlbg.-Wilmersd.,17440,773,1209,486,1779,5053,2023,2366,3751,8893
10717,Charlbg.-Wilmersd.,17135,701,1119,385,1707,4699,2050,2451,4023,8806
10719,Charlbg.-Wilmersd.,10431,477,651,217,960,2848,1190,1516,2572,5443
10777,Charlbg.-Wilmersd.,3323,138,209,62,288,979,425,438,784,1682
10777,Tempelh.-Schöneb.,9860,389,478,132,910,2923,1179,1613,2236,4537
10779,Charlbg.-Wilmersd.,2445,97,157,48,205,618,309,381,630,1225
10779,Tempelh.-Schöneb.,6742,264,380,132,655,1931,825,1059,1496,3435
10781,Tempelh.-Schöneb.,13863,602,912,323,1390,3945,1694,2253,2744,6912
10783,Tempelh.-Schöneb.,12299,572,959,356,1352,3708,1639,1731,1982,5889
10785,Friedrichsh.-Kreuzb.,1305,125,106,19,87,650,170,81,67,608
10785,Mitte,12100,611,795,267,1465,4333,1449,1454,1726,5666
10785,Tempelh.-Schöneb.,1447,55,72,28,158,445,184,193,312,632
10787,Charlbg.-Wilmersd.,99,–,3,–,6,36,11,9,34,48
10787,Mitte,3630,165,209,52,473,1225,401,388,717,1733
10787,Tempelh.-Schöneb.,3783,185,359,88,415,1151,444,469,672,1793
10789,Charlbg.-Wilmersd.,3068,139,228,82,386,911,354,385,583,1474
10789,Tempelh.-Schöneb.,2019,93,117,42,210,527,268,254,508,989
10823,Tempelh.-Schöneb.,8927,406,577,165,830,2719,1210,1445,1575,4614
10825,Charlbg.-Wilmersd.,455,36,27,12,36,133,47,63,101,231
10825,Tempelh.-Schöneb.,10929,578,815,233,1136,3137,1299,1523,2208,5453
10827,Tempelh.-Schöneb.,16015,924,1171,389,1683,5530,1953,2042,2323,7869
10829,Tempelh.-Schöneb.,16989,960,1213,330,1799,6287,1983,2430,1987,8532
10961,Friedrichsh.-Kreuzb.,19623,865,1236,546,2204,7009,2690,2658,2415,9567
10963,Friedrichsh.-Kreuzb.,15069,744,1278,383,1944,5046,1919,1815,1940,7273
10963,Mitte,413,22,29,9,26,176,42,56,53,195
10965,Friedrichsh.-Kreuzb.,19017,903,1449,448,1709,6279,2708,2836,2685,9451
10965,Neukölln,15,–,–,–,–,3,3,3,6,6
10965,Tempelh.-Schöneb.,3047,162,375,134,363,794,494,388,337,1594
10967,Friedrichsh.-Kreuzb.,18387,931,1398,480,1752,6533,2606,2454,2233,9202
10967,Neukölln,2369,116,172,30,184,1044,291,231,301,1170
10969,Friedrichsh.-Kreuzb.,28306,1538,2569,1015,3515,8800,3686,3495,3688,14038
10997,Friedrichsh.-Kreuzb.,24896,1058,1710,605,2566,8820,3900,3294,2943,11957
10999,Friedrichsh.-Kreuzb.,24815,1031,1741,651,2527,8527,3835,3380,3123,12009
12043,Neukölln,14907,742,1074,320,1394,6459,1877,1522,1519,7200
12045,Neukölln,15461,792,1006,287,1390,6799,2069,1555,1563,7719
12047,Neukölln,15125,620,951,330,1316,6291,2294,1838,1485,7587
12049,Neukölln,19849,951,1213,410,1824,8838,2533,2116,1964,9653
12051,Neukölln,26995,1313,2029,655,3199,11235,3072,2676,2816,13028
12053,Neukölln,18423,943,1407,502,1713,7184,2260,2058,2356,9162
12055,Neukölln,14792,776,977,305,1531,6535,1749,1514,1405,6920
12057,Neukölln,16284,1071,2037,627,2096,4507,1875,1886,2185,7724
12059,Neukölln,18570,1020,1511,525,1694,7233,2383,2028,2176,9191
12099,Neukölln,760,120,36,3,50,475,37,24,15,368
12099,Tempelh.-Schöneb.,16442,1025,1188,400,1878,5661,1785,1942,2563,8159
12101,Tempelh.-Schöneb.,17216,796,1447,470,2132,4604,2002,2479,3286,8301
12103,Tempelh.-Schöneb.,21968,1308,1683,496,2080,7089,2469,2803,4040,11320
12105,Tempelh.-Schöneb.,25085,1298,1876,571,2238,7135,2751,3518,5698,13032
12107,Neukölln,254,12,30,3,25,88,27,22,47,127
12107,Tempelh.-Schöneb.,21377,1148,1635,515,1938,4892,2263,2968,6018,11124
12109,Tempelh.-Schöneb.,16574,955,1192,331,1527,4560,1745,2373,3891,8583
12157,Steglitz-Zehlend.,7837,387,598,178,691,2327,947,1127,1582,4242
12157,Tempelh.-Schöneb.,12173,683,974,314,1350,3559,1457,1769,2067,6267
12159,Tempelh.-Schöneb.,16621,941,1227,401,1607,4594,1839,2379,3633,8740
12161,Steglitz-Zehlend.,1638,97,105,35,142,489,185,265,320,867
12161,Tempelh.-Schöneb.,16324,746,1224,424,1703,4195,1996,2628,3408,8736
12163,Steglitz-Zehlend.,19621,923,1449,458,1813,5313,2424,2819,4422,10479
12163,Tempelh.-Schöneb.,366,15,18,6,42,96,49,89,51,186
12165,Steglitz-Zehlend.,5263,255,382,155,624,1437,620,744,1046,2657
12167,Steglitz-Zehlend.,20560,1035,1492,455,2027,5571,2373,2921,4686,10974
12169,Steglitz-Zehlend.,18026,853,1163,395,1863,5083,2019,2638,4012,9292
12203,Steglitz-Zehlend.,21724,900,1650,591,2143,5095,2592,3413,5340,11412
12205,Steglitz-Zehlend.,15905,664,1456,562,1526,2866,2062,2531,4238,8443
12207,Steglitz-Zehlend.,24451,1194,2013,726,2445,5555,2797,3504,6217,12841
12209,Steglitz-Zehlend.,15715,704,1398,462,1395,2873,1844,2442,4597,8436
12247,Steglitz-Zehlend.,21571,1020,1645,438,2050,5304,2476,3108,5530,11261
12249,Steglitz-Zehlend.,24956,1304,1990,669,2457,5985,2870,3645,6036,13058
12249,Tempelh.-Schöneb.,676,30,74,21,76,160,68,106,141,343
12277,Steglitz-Zehlend.,44,16,–,–,3,10,9,6,–,32
12277,Tempelh.-Schöneb.,14662,804,1421,483,1463,3241,1697,2031,3522,7277
12279,Steglitz-Zehlend.,55,7,9,–,–,3,9,18,9,21
12279,Tempelh.-Schöneb.,17544,1011,1610,492,1570,3905,1972,2302,4682,9294
12305,Neukölln,132,3,21,–,3,25,19,33,28,73
12305,Tempelh.-Schöneb.,21498,1051,1908,626,1780,4159,2539,3379,6056,11171
12307,Tempelh.-Schöneb.,13319,804,1288,343,1078,2782,1612,2091,3321,6824
12309,Tempelh.-Schöneb.,17781,1001,1868,604,1732,3705,2024,2598,4249,9124
12347,Neukölln,21098,1208,1832,590,2204,6171,2480,2870,3743,10490
12347,Tempelh.-Schöneb.,6,–,–,–,–,6,–,–,–,–
12349,Neukölln,22998,1246,1875,559,2025,5193,2571,3567,5962,11814
12351,Neukölln,20875,1176,1660,548,1975,4682,2188,2983,5663,10808
12353,Neukölln,35624,2280,3359,954,3837,8571,3926,4581,8116,18327
12355,Neukölln,28505,1709,2801,846,2448,5646,3321,4514,7220,14785
12357,Neukölln,15068,743,1314,373,1485,3061,1841,2365,3886,7523
12359,Neukölln,21384,1180,1871,558,2100,5283,2371,3061,4960,10927
12435,Treptow-Köpenick,19782,1124,1742,474,1614,7000,2929,2446,2453,10013
12437,Treptow-Köpenick,24777,1245,1554,429,2391,8417,2557,3147,5037,12561
12439,Treptow-Köpenick,14304,908,1048,322,1667,5198,1432,1506,2223,6878
12459,Treptow-Köpenick,25671,1446,2136,575,3781,9741,2661,2492,2839,12236
12487,Treptow-Köpenick,21891,1260,1726,541,2087,5962,2477,3174,4664,11202
12489,Treptow-Köpenick,22417,1371,1682,465,2983,7622,2360,2511,3423,10931
12524,Treptow-Köpenick,32026,2263,3625,1083,2772,7686,3942,5054,5601,16375
12526,Treptow-Köpenick,14916,930,1381,417,1468,3619,1737,2301,3063,7420
12527,Treptow-Köpenick,12860,761,1034,278,816,3306,1470,1903,3292,6553
12555,Marzahn-Hellersd.,6,–,–,–,–,–,–,–,6,6
12555,Treptow-Köpenick,33199,1801,2494,739,2930,9974,3756,4315,7190,16974
12557,Treptow-Köpenick,25848,1397,2125,667,2148,6871,2936,3641,6063,13144
12559,Treptow-Köpenick,19257,899,1606,545,1355,3865,2056,2923,6008,10045
12587,Treptow-Köpenick,19147,899,1591,501,1342,3945,2381,3131,5357,10276
12589,Treptow-Köpenick,11138,631,958,319,787,2313,1370,1878,2882,5558
12619,Marzahn-Hellersd.,28957,1725,2797,747,2431,7801,2803,4275,6378,14835
12621,Marzahn-Hellersd.,17485,758,1565,483,1098,3153,2193,3457,4778,8906
12623,Marzahn-Hellersd.,31317,1445,3087,900,1720,5868,4036,6230,8031,15870
12623,Treptow-Köpenick,3,–,–,–,–,–,3,–,–,3
12627,Marzahn-Hellersd.,45568,3344,5077,1599,4915,13609,4586,6350,6088,22697
12629,Marzahn-Hellersd.,20215,1604,2290,673,2171,6402,2000,2480,2595,10052
12679,Marzahn-Hellersd.,29554,1556,2509,825,2931,7514,3030,3284,7905,14807
12681,Lichtenberg,–,–,–,–,–,–,–,–,–,–
12681,Marzahn-Hellersd.,20741,1168,1606,511,2424,5733,2036,2219,5044,10105
12683,Marzahn-Hellersd.,31369,1696,2751,825,2545,7080,3659,4927,7886,15874
12685,Marzahn-Hellersd.,22010,1288,1894,621,2077,5331,2311,2505,5983,11254
12687,Marzahn-Hellersd.,21511,1352,2044,642,2244,6041,2183,2019,4986,10897
12689,Marzahn-Hellersd.,25358,1551,2603,883,2580,6901,2816,3508,4516,12511
13051,Lichtenberg,23151,1289,2260,715,1986,5667,2424,3397,5413,11567
13053,Lichtenberg,23797,1573,2331,720,2173,6091,2574,3090,5245,11870
13055,Lichtenberg,35148,2189,3245,1000,3282,10600,3910,3947,6975,17942
13057,Lichtenberg,19952,1441,2188,657,2039,5552,2068,2839,3168,9977
13059,Lichtenberg,16614,1062,1795,543,1350,4380,1740,2500,3244,8475
13086,Pankow,31230,1794,2764,863,2884,10612,4367,3758,4188,15673
13088,Pankow,27426,1439,2416,810,2432,7769,3537,3889,5134,14205
13089,Pankow,9538,640,931,256,945,2609,1080,1379,1698,4644
13125,Pankow,37751,2361,3922,1177,3332,9227,4595,5179,7958,19089
13127,Pankow,21486,1159,2257,704,1603,4821,2965,3793,4184,10912
13129,Pankow,6990,282,720,232,472,1187,941,1345,1811,3554
13156,Pankow,32040,1642,3212,1055,3070,7533,4533,4857,6138,16865
13156,Reinickendorf,3,–,–,–,–,3,–,–,–,3
13158,Pankow,19838,1039,1836,583,1727,4440,2633,3343,4237,10175
