name,longitude,latitude
U-Bahnhof Viktoria-Luise-Platz,13.342702777,52.496161111
U-Bahnhof Kochstraße,13.390611111,52.505897222
U-Bahnhof Rehberge,13.3412,52.5567
U-Bahnhof Alt-Mariendorf,13.3877,52.4391
U-Bahnhof Hansaplatz,13.342222222,52.517777777
U-Bahnhof Moritzplatz,13.410833333,52.503611111
U-Bahnhof Bülowstraße,13.363419444,52.497552777
U-Bahnhof Onkel Toms Hütte,13.253333333,52.450277777
U-Bahnhof Friedrichsfelde,13.512777777,52.506111111
Bahnhof Berlin Westhafen,13.344,52.536
U-Bahnhof Magdalenenstraße,13.486388888,52.5125
Bahnhof Berlin Karl-Bonhoeffer-Nervenklinik,13.329,52.578
Bahnhof Berlin Karl-Bonhoeffer-Nervenklinik,13.3326,52.5782
Bahnhof Brandenburger Tor,13.380833333,52.516388888
U-Bahnhof Karl-Marx-Straße,13.439166666,52.476111111
U-Bahnhof Borsigwerke,13.2907,52.5819
U-Bahnhof Hönow,13.6339,52.5383
U-Bahnhof Weberwiese,13.444991666,52.516794444
U-Bahnhof Elsterwerdaer Platz,13.56056,52.505
U-Bahnhof Biesdorf-Süd,13.5465,52.4997
Bahnhof Wuhletal,13.5752,52.5126
Bahnhof Berlin Frankfurter Allee,13.474722222,52.514166666
Bahnhof Berlin Frankfurter Allee,13.474722,52.515
U-Bahnhof Samariterstraße,13.464444444,52.514722222
U-Bahnhof Schillingstraße,13.421666666,52.520277777
U-Bahnhof Kaulsdorf-Nord,13.589,52.521
U-Bahnhof Platz der Luftbrücke,13.385833333,52.485555555
U-Bahnhof Schwartzkopffstraße,13.377222222,52.535277777
U-Bahnhof Seestraße,13.35194,52.55056
U-Bahnhof Naturkundemuseum,13.3825,52.531111111
U-Bahnhof Schloßstraße,13.32444,52.46083
U-Bahnhof Rathaus Reinickendorf,13.3257,52.5882
U-Bahnhof Westphalweg,13.386,52.446
Bahnhof Berlin Rathaus Steglitz,13.3216,52.4562
U-Bahnhof Kurt-Schumacher-Platz,13.326572222,52.563555555
U-Bahnhof Lindauer Allee,13.3392,52.5753
U-Bahnhof Nauener Platz,13.3675,52.551666666
U-Bahnhof Franz-Neumann-Platz (Am Schäfersee),13.363888888,52.564722222
U-Bahnhof Birkenstraße,13.341388888,52.532222222
U-Bahnhof Kienberg (Gärten der Welt),13.59056,52.52861
U-Bahnhof Residenzstraße,13.360555555,52.571111111
U-Bahnhof Paradestraße,13.386111111,52.478055555
U-Bahnhof Cottbusser Platz,13.5964,52.5339
U-Bahnhof Louis-Lewin-Straße,13.61833,52.53889
U-Bahnhof Paracelsus-Bad,13.349166666,52.574166666
U-Bahnhof Holzhauser Straße,13.296111111,52.575833333
U-Bahnhof Amrumer Straße,13.350277777,52.5425
U-Bahnhof Otisstraße,13.302777777,52.571111111
U-Bahnhof Scharnweberstraße,13.312777777,52.566944444
U-Bahnhof Friedrich-Wilhelm-Platz,13.32861,52.47194
U-Bahnhof Alt-Tempelhof,13.385897222,52.465952777
U-Bahnhof Kaiserin-Augusta-Straße,13.384577777,52.460152777
U-Bahnhof Afrikanische Straße,13.334633333,52.560027777
U-Bahnhof Reinickendorfer Straße,13.370377777,52.539911111
U-Bahnhof Uhlandstraße,13.325555555,52.5025
U-Bahnhof Frankfurter Tor,13.454166666,52.515833333
U-Bahnhof Spittelmarkt,13.403611111,52.511111111
S-Bahnhof Neukölln,13.441666666,52.469166666
U-Bahnhof Vinetastraße,13.413333333,52.559166666
U-Bahnhof Rohrdamm,13.2625,52.537222222
U-Bahnhof Haselhorst,13.232777777,52.538888888
U-Bahnhof Rathaus Schöneberg,13.341930555,52.483116666
U-Bahnhof Adenauerplatz,13.307222222,52.499722222
U-Bahnhof Paulsternstraße,13.247777777,52.538055555
U-Bahnhof Tierpark,13.5233,52.4964
U-Bahnhof Wilmersdorfer Straße,13.306666666,52.506666666
U-Bahnhof Strausberger Platz,13.430833333,52.518055555
U-Bahnhof Konstanzer Straße,13.309722222,52.494166666
U-Bahnhof Halemweg,13.286388888,52.536666666
U-Bahnhof Nollendorfplatz,13.353888888,52.499166666
U-Bahnhof Kleistpark,13.360277777,52.490555555
U-Bahnhof Eisenacher Straße,13.350277777,52.489444444
U-Bahnhof Podbielskiallee,13.296388888,52.464444444
U-Bahnhof Freie Universität (Thielplatz),13.282222222,52.451111111
U-Bahnhof Breitenbachplatz,13.308055555,52.466388888
U-Bahnhof Pankstraße,13.38167,52.55222
U-Bahnhof Eberswalder Straße,13.412222222,52.541666666
U-Bahnhof Eberswalder Straße,13.412222,52.541667
U-Bahnhof Mierendorffplatz,13.305,52.526388888
U-Bahnhof Blissestraße,13.321944444,52.486666666
U-Bahnhof Turmstraße,13.341352777,52.52585
