point1,line,point2
U-Bahnhof Nollendorfplatz,U4,U-Bahnhof Viktoria-Luise-Platz
U-Bahnhof Bayerischer Platz,U4,U-Bahnhof Viktoria-Luise-Platz
U-Bahnhof Hallesches Tor,U6,U-Bahnhof Kochstraße
U-Bahnhof Kochstraße,U6,U-Bahnhof Stadtmitte
U-Bahnhof Rehberge,U6,U-Bahnhof Seestraße
U-Bahnhof Afrikanische Straße,U6,U-Bahnhof Rehberge
U-Bahnhof Alt-Mariendorf,U6,U-Bahnhof Westphalweg
U-Bahnhof Hansaplatz,U9,U-Bahnhof Turmstraße
Bahnhof Berlin Zoologischer Garten,U9,U-Bahnhof Hansaplatz
U-Bahnhof Heinrich-Heine-Straße,U8,U-Bahnhof Moritzplatz
U-Bahnhof Kottbusser Tor,U8,U-Bahnhof Moritzplatz
U-Bahnhof Bülowstraße,U2,U-Bahnhof Nollendorfplatz
U-Bahnhof Bülowstraße,U2,U-Bahnhof Gleisdreieck
U-Bahnhof Krumme Lanke,U3,U-Bahnhof Onkel Toms Hütte
U-Bahnhof Onkel Toms Hütte,U3,U-Bahnhof Oskar-Helene-Heim
U-Bahnhof Friedrichsfelde,U5,U-Bahnhof Tierpark
Bahnhof Berlin-Lichtenberg,U5,U-Bahnhof Friedrichsfelde
Q3831986,U5,U-Bahnhof Friedrichsfelde
Bahnhof Berlin Beusselstraße,U9,Bahnhof Berlin Westhafen
Bahnhof Berlin Westhafen,U9,U-Bahnhof Birkenstraße
Bahnhof Berlin Westhafen,U9,U-Bahnhof Amrumer Straße
Bahnhof Berlin Westhafen,U9,Bahnhof Berlin-Wedding
Bahnhof Berlin Frankfurter Allee,U5,U-Bahnhof Magdalenenstraße
Bahnhof Berlin-Lichtenberg,U5,U-Bahnhof Magdalenenstraße
Q3831986,U5,U-Bahnhof Magdalenenstraße
Bahnhof Berlin Karl-Bonhoeffer-Nervenklinik,U8,U-Bahnhof Rathaus Reinickendorf
Bahnhof Berlin Karl-Bonhoeffer-Nervenklinik,U8,U-Bahnhof Lindauer Allee
Bahnhof Berlin Potsdamer Platz,U55,Bahnhof Brandenburger Tor
Bahnhof Brandenburger Tor,U55,U-Bahnhof Bundestag
Bahnhof Berlin-Friedrichstraße,U55,Bahnhof Brandenburger Tor
