route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc
15068_3,32,848,nan,bus,nan,nan,nan
14755_3,32,834,nan,bus,nan,nan,nan
13543_3,32,831,nan,bus,nan,nan,nan
5269_3,32,857,nan,bus,nan,nan,nan
5266_3,32,851,nan,bus,nan,nan,nan
5265_3,32,850,nan,bus,nan,nan,nan
5264_3,32,847,nan,bus,nan,nan,nan
5263_3,32,846,nan,bus,nan,nan,nan
5262_3,32,845,nan,bus,nan,nan,nan
5260_3,32,843,nan,bus,nan,nan,nan
5259_3,32,842,nan,bus,nan,nan,nan
5258_3,32,841,nan,bus,nan,nan,nan
5257_3,32,839,nan,bus,nan,nan,nan
5256_3,32,838,nan,bus,nan,nan,nan
5255_3,32,837,nan,bus,nan,nan,nan
5254_3,32,836,nan,bus,nan,nan,nan
5253_3,32,835,nan,bus,nan,nan,nan
5252_3,32,833,nan,bus,nan,nan,nan
5251_3,32,832,nan,bus,nan,nan,nan
5250_3,32,830,nan,bus,nan,nan,nan
5244_3,32,813,nan,bus,nan,nan,nan
5243_3,32,812,nan,bus,nan,nan,nan
5236_3,32,804,nan,bus,nan,nan,nan
5234_3,32,802,nan,bus,nan,nan,nan
5233_3,32,800,nan,bus,nan,nan,nan
5232_3,32,801,nan,bus,nan,nan,nan
20931_3,846,640,nan,bus,nan,nan,nan
18940_3,846,646,nan,bus,nan,nan,nan
18938_3,846,644,nan,bus,nan,nan,nan
18936_3,846,642,nan,bus,nan,nan,nan
18914_3,846,610,nan,bus,nan,nan,nan
18904_3,846,586,nan,bus,nan,nan,nan
18887_3,846,555,nan,bus,nan,nan,nan
17694_3,92,338,nan,bus,nan,nan,nan
16709_3,92,670,nan,bus,nan,nan,nan
10685_3,92,688,nan,bus,nan,nan,nan
10296_3,92,657,nan,bus,nan,nan,nan
1945_3,92,604,nan,bus,nan,nan,nan
1938_3,92,671,nan,bus,nan,nan,nan
1924_3,92,654,nan,bus,nan,nan,nan
1922_3,92,652,nan,bus,nan,nan,nan
1921_3,92,651,nan,bus,nan,nan,nan
17856_3,816,976,nan,bus,nan,nan,nan
17855_3,816,975,nan,bus,nan,nan,nan
17854_3,816,974,nan,bus,nan,nan,nan
17853_3,816,973,nan,bus,nan,nan,nan
17852_3,816,972,nan,bus,nan,nan,nan
17851_3,816,971,nan,bus,nan,nan,nan
17850_3,816,960,nan,bus,nan,nan,nan
17849_3,816,958,nan,bus,nan,nan,nan
17848_3,816,957,nan,bus,nan,nan,nan
17847_3,816,955,nan,bus,nan,nan,nan
17846_3,816,954,nan,bus,nan,nan,nan
17845_3,816,953,nan,bus,nan,nan,nan
17844_3,816,952,nan,bus,nan,nan,nan
17843_3,816,951,nan,bus,nan,nan,nan
17842_3,816,950,nan,bus,nan,nan,nan
17841_3,816,949,nan,bus,nan,nan,nan
17840_3,816,948,nan,bus,nan,nan,nan
17839_3,816,947,nan,bus,nan,nan,nan
17838_3,816,946,nan,bus,nan,nan,nan
17836_3,816,944,nan,bus,nan,nan,nan
17828_3,816,936,nan,bus,nan,nan,nan
17826_3,816,934,nan,bus,nan,nan,nan
17825_3,816,933,nan,bus,nan,nan,nan
17824_3,816,932,nan,bus,nan,nan,nan
17823_3,816,931,nan,bus,nan,nan,nan
17822_3,816,925,nan,bus,nan,nan,nan
17821_3,816,924,nan,bus,nan,nan,nan
17820_3,816,923,nan,bus,nan,nan,nan
17819_3,816,920,nan,bus,nan,nan,nan
17818_3,816,919,nan,bus,nan,nan,nan
17817_3,816,917,nan,bus,nan,nan,nan
17816_3,816,915,nan,bus,nan,nan,nan
17815_3,816,913,nan,bus,nan,nan,nan
17814_3,816,912,nan,bus,nan,nan,nan
17813_3,816,905,nan,bus,nan,nan,nan
17812_3,816,904,nan,bus,nan,nan,nan
17811_3,816,903,nan,bus,nan,nan,nan
17810_3,816,902,nan,bus,nan,nan,nan
