district_id,neighborhood,median_net_rent,number_of_cases,mean_net_rent,year
1,Mitte,19.91,"4,169",19.91,2024
2,Friedrichshain-Kreuzberg,19.42,"2,509",19.26,2024
3,Pankow,17.0,"3,636",17.65,2024
4,Charlottenburg-Wilmersdorf,19.39,"3,036",19.4,2024
5,Spandau,12.0,"2,403",13.32,2024
6,Steglitz-Zehlendorf,14.59,"1,936",15.45,2024
7,Tempelhof-Schöneberg,14.67,"2,368",15.92,2024
8,Neukölln,14.5,"2,016",15.24,2024
9,Treptow-Köpenick,14.45,"3,258",14.9,2024
10,Marzahn-Hellersdorf,11.38,"1,708",10.77,2024
11,Lichtenberg,15.15,"2,725",15.16,2024
12,Reinickendorf,12.15,"1,938",13.54,2024
1,Mitte,18.26,"2,933",18.34,2023
2,Friedrichshain-Kreuzberg,18.33,"1,637",18.14,2023
3,Pankow,14.93,"2,497",15.87,2023
4,Charlottenburg-Wilmersdorf,17.2,"2,316",17.61,2023
5,Spandau,10.13,"1,865",11.43,2023
6,Steglitz-Zehlendorf,13.33,"1,515",14.24,2023
7,Tempelhof-Schöneberg,12.94,"1,613",14.31,2023
8,Neukölln,13.0,"1,403",13.97,2023
9,Treptow-Köpenick,13.56,"2,426",14.03,2023
10,Marzahn-Hellersdorf,10.61,"1,249",10.77,2023
11,Lichtenberg,12.0,"1,783",13.12,2023
12,Reinickendorf,10.61,"1,496",11.53,2023
1,Mitte,15.46,"3,170",15.95,2022
2,Friedrichshain-Kreuzberg,14.85,"1,649",15.09,2022
3,Pankow,12.5,"2,865",13.46,2022
4,Charlottenburg-Wilmersdorf,15.0,"2,277",15.46,2022
5,Spandau,8.67,"2,589",9.78,2022
6,Steglitz-Zehlendorf,12.31,"1,586",13.04,2022
7,Tempelhof-Schöneberg,11.31,"1,784",12.4,2022
8,Neukölln,10.55,"1,505",12.01,2022
9,Treptow-Köpenick,11.6,"2,529",12.29,2022
10,Marzahn-Hellersdorf,9.29,"1,719",9.57,2022
11,Lichtenberg,10.45,"2,357",11.3,2022
12,Reinickendorf,9.66,"1,635",10.53,2022
13,Berlin,11.54,"25,777",12.73,2022
1,Mitte,14.0,"4,670",14.72,2021
2,Friedrichshain-Kreuzberg,13.52,"2,404",13.86,2021
3,Pankow,11.73,"4,031",12.58,2021
4,Charlottenburg-Wilmersdorf,13.29,"3,245",13.99,2021
5,Spandau,8.22,"2,726",8.96,2021
6,Steglitz-Zehlendorf,11.03,"2,159",11.8,2021
7,Tempelhof-Schöneberg,10.22,"2,460",11.35,2021
8,Neukölln,9.85,"2,172",10.89,2021
9,Treptow-Köpenick,11.0,"3,275",11.46,2021
10,Marzahn-Hellersdorf,8.26,"2,405",8.86,2021
11,Lichtenberg,8.5,"3,064",9.67,2021
12,Reinickendorf,9.66,"2,257",9.82,2021
1,Mitte,13.7,"4,669",13.85,2020
2,Friedrichshain-Kreuzberg,13.11,"2,628",13.38,2020
3,Pankow,10.5,"3,967",11.29,2020
4,Charlottenburg-Wilmersdorf,12.38,"3,052",12.85,2020
5,Spandau,8.53,"2,566",8.89,2020
6,Steglitz-Zehlendorf,10.31,"2,072",10.96,2020
7,Tempelhof-Schöneberg,9.97,"2,341",10.88,2020
8,Neukölln,9.38,"2,211",10.42,2020
9,Treptow-Köpenick,10.19,"3,061",10.55,2020
10,Marzahn-Hellersdorf,8.02,"2,227",8.58,2020
11,Lichtenberg,9.08,"2,984",9.51,2020
12,Reinickendorf,8.84,"1,958",9.29,2020
1,Mitte,13.45,"6,368",13.91,2019
2,Friedrichshain-Kreuzberg,13.01,"4,345",13.36,2019
3,Pankow,10.96,"6,561",11.56,2019
4,Charlottenburg-Wilmersdorf,12.63,"4,834",13.11,2019
5,Spandau,8.86,"3,896",9.0,2019
6,Steglitz-Zehlendorf,10.7,"3,408",11.11,2019
7,Tempelhof-Schöneberg,10.52,"3,700",11.13,2019
8,Neukölln,10.1,"3,625",10.9,2019
9,Treptow-Köpenick,9.93,"4,808",10.18,2019
10,Marzahn-Hellersdorf,7.9,"3,570",8.29,2019
11,Lichtenberg,9.27,"4,072",9.52,2019
12,Reinickendorf,9.42,"3,046",9.75,2019
1,Mitte,12.51,"6,716",12.94,2018
2,Friedrichshain-Kreuzberg,12.94,"4,428",12.8,2018
3,Pankow,10.97,"6,503",11.25,2018
4,Charlottenburg-Wilmersdorf,12.0,"5,096",12.3,2018
5,Spandau,8.59,"3,693",8.74,2018
6,Steglitz-Zehlendorf,10.44,"3,765",10.74,2018
7,Tempelhof-Schöneberg,10.3,"3,863",10.73,2018
8,Neukölln,10.0,"3,740",10.55,2018
9,Treptow-Köpenick,9.62,"4,959",9.88,2018
10,Marzahn-Hellersdorf,7.77,"3,022",8.04,2018
11,Lichtenberg,9.53,"3,032",9.67,2018
12,Reinickendorf,9.17,"3,148",9.49,2018
1,Mitte,11.9,"6,298",12.19,2017
2,Friedrichshain-Kreuzberg,11.99,"3,862",11.91,2017
3,Pankow,10.12,"6,501",10.53,2017
4,Charlottenburg-Wilmersdorf,11.2,"5,208",11.54,2017
5,Spandau,7.98,"3,734",8.07,2017
6,Steglitz-Zehlendorf,9.83,"4,213",10.06,2017
7,Tempelhof-Schöneberg,9.5,"3,365",9.8,2017
8,Neukölln,9.69,"3,343",10.03,2017
9,Treptow-Köpenick,9.0,"4,725",9.21,2017
10,Marzahn-Hellersdorf,7.36,"2,881",7.58,2017
11,Lichtenberg,9.2,"2,848",9.34,2017
12,Reinickendorf,8.65,"2,913",8.84,2017
1,Mitte,10.4,"6,357",10.94,2016
2,Friedrichshain-Kreuzberg,11.15,"4,163",11.16,2016
3,Pankow,9.65,"6,451",9.98,2016
4,Charlottenburg-Wilmersdorf,10.3,"5,325",10.65,2016
5,Spandau,7.35,"3,715",7.5,2016
6,Steglitz-Zehlendorf,9.27,"4,419",9.51,2016
7,Tempelhof-Schöneberg,8.86,"3,866",9.13,2016
8,Neukölln,8.82,"3,620",9.27,2016
9,Treptow-Köpenick,8.18,"4,685",8.51,2016
10,Marzahn-Hellersdorf,6.73,"3,494",7.03,2016
11,Lichtenberg,8.5,"2,959",8.67,2016
12,Reinickendorf,8.0,"3,167",8.05,2016
1,Mitte,9.86,"6,340",10.94,2015
2,Friedrichshain-Kreuzberg,10.4,"4,080",10.54,2015
3,Pankow,9.04,"6,459",9.45,2015
4,Charlottenburg-Wilmersdorf,9.81,"5,719",10.1,2015
5,Spandau,7.0,"3,315",7.16,2015
6,Steglitz-Zehlendorf,8.74,"4,163",8.94,2015
7,Tempelhof-Schöneberg,8.5,"3,805",8.77,2015
8,Neukölln,8.13,"3,194",8.52,2015
9,Treptow-Köpenick,7.7,"4,429",8.0,2015
10,Marzahn-Hellersdorf,6.1,"3,409",6.52,2015
11,Lichtenberg,7.96,"3,077",8.12,2015
12,Reinickendorf,7.5,"2,865",7.63,2015
1,Mitte,9.21,"8,646",9.8,2014
2,Friedrichshain-Kreuzberg,9.94,"5,381",9.94,2014
3,Pankow,8.87,"8,689",9.04,2014
4,Charlottenburg-Wilmersdorf,9.5,"7,732",9.88,2014
5,Spandau,6.73,"4,015",6.83,2014
6,Steglitz-Zehlendorf,8.5,"5,436",8.74,2014
7,Tempelhof-Schöneberg,8.06,"5,101",8.42,2014
8,Neukölln,7.91,"4,209",8.12,2014
9,Treptow-Köpenick,7.25,"5,005",7.55,2014
10,Marzahn-Hellersdorf,5.94,"3,873",6.3,2014
11,Lichtenberg,7.76,"3,037",7.85,2014
12,Reinickendorf,7.02,"3,833",7.3,2014
1,Mitte,8.75,"6,972",9.52,2013
2,Friedrichshain-Kreuzberg,9.36,"3,860",9.43,2013
3,Pankow,8.42,"6,886",8.68,2013
4,Charlottenburg-Wilmersdorf,9.24,"6,376",9.64,2013
5,Spandau,6.28,"3,407",6.39,2013
6,Steglitz-Zehlendorf,8.19,"4,614",8.42,2013
7,Tempelhof-Schöneberg,7.75,"4,097",8.0,2013
8,Neukölln,7.41,"3,201",7.61,2013
9,Treptow-Köpenick,6.94,"3,730",7.18,2013
10,Marzahn-Hellersdorf,5.55,"3,114",5.89,2013
11,Lichtenberg,7.01,"2,065",7.22,2013
12,Reinickendorf,6.6,"3,253",6.89,2013
