district_id,street_name,median_net_rent,number_of_cases,mean_net_rent,year
1100101,Stülerstraße,22.81,20,22.33,2024
1100102,Großer Tiergarten,21.99,45,21.62,2024
1100103,Lützowstraße,21.56,57,21,2024
1100104,Körnerstraße,22.96,39,22.68,2024
1100205,Wilhelmstraße,24.24,84,23.83,2024
1100206,Unter den Linden,25.17,52,26.86,2024
1100207,Leipziger Straße,21,104,21.14,2024
1100308,Charitéviertel,20,99,20.42,2024
1100309,Oranienburger Straße,29.43,180,27.53,2024
1100310,Alexanderplatzviertel,18.85,103,18.31,2024
1100311,Karl-Marx-Allee,18.07,31,17.52,2024
1100312,Heine-Viertel West,24.12,125,24.01,2024
1100313,Heine-Viertel Ost,21.88,58,21.61,2024
1100414,Nordbahnhof,20.25,76,20.69,2024
1100415,Invalidenstraße,24.62,96,23.38,2024
1100416,Arkonaplatz,23.18,107,22.38,2024
1200517,Huttenkiez,17.77,36,17.36,2024
1200518,Beusselkiez,19.44,54,18.17,2024
1200519,Emdener Straße,15.79,51,17.18,2024
1200520,Bremer Straße,17.08,64,20.12,2024
1200521,Zwinglistraße,13.75,15,15.31,2024
1200522,Elberfelder Straße,17.65,45,18.16,2024
1200623,Stephankiez,17.19,74,19.72,2024
1200624,Heidestraße,23.5,265,23.28,2024
1200625,Lübecker Straße,12.38,25,14.85,2024
1200626,Thomasiusstraße,15,24,16.7,2024
1200627,Zillesiedlung,6.75,12,7.82,2024
1200628,Lüneburger Straße,21.74,26,20.33,2024
1200629,Hansaviertel,17.5,33,18.2,2024
1300730,Drontheimer Straße,15.43,33,15.05,2024
1300731,Koloniestraße,15.29,85,16.52,2024
1300732,Soldiner Straße,15.99,36,16.06,2024
1300733,Gesundbrunnen,12,47,13.04,2024
1300834,Brunnenstraße,8.6,49,13.46,2024
1300835,Humboldthain Süd,9.38,48,14.7,2024
1300836,Humboldthain Nordwest,21.69,98,21.28,2024
1400937,Afrikanische Straße,15,52,15.21,2024
1400938,Kameruner Straße,14.17,40,16.75,2024
1400939,Glasgower Straße,8.76,36,12.54,2024
1400940,Schillerpark,8.7,25,9.23,2024
1400941,Londoner Straße,17.67,20,17.1,2024
1400942,Westliche Müllerstraße,14.15,63,15.41,2024
1401043,Antonstraße,18,14,17.65,2024
1401044,Uferstraße,14.41,55,14.83,2024
1401045,Schwedenstraße,15.9,33,16.05,2024
1401046,Nordufer,16.9,32,17.69,2024
1401047,Sparrplatz,21.08,69,22.03,2024
1401048,Leopoldplatz,15,53,15.64,2024
1401049,Schulstraße,7.6,38,10.58,2024
2100101,Askanischer Platz,20.12,60,18.03,2024
2100102,Mehringplatz,9.34,73,13.64,2024
2100103,Am Berlin Museum,13.63,21,14.47,2024
2100104,Moritzplatz,15.25,9,14.33,2024
2100105,Prinzenstraße,15,46,15.6,2024
2100106,Wassertorplatz,7.09,6,8.1,2024
2200207,Gleisdreieck,20.13,34,22.16,2024
2200208,Rathaus Yorckstraße,18.46,17,17.51,2024
2200209,Viktoriapark,22,54,21.94,2024
2200210,Urbanstraße,19.99,56,20.62,2024
2200211,Chamissokiez,17.83,41,18.13,2024
2200212,Graefekiez Süd,19.01,15,19.79,2024
2200213,Graefekiez Nord,17.79,16,18.45,2024
2300314,Oranienplatz,15.8,22,16.14,2024
2300315,Lausitzer Platz,11.67,28,16.61,2024
2300316,Köpenicker Straße,10.42,5,15.83,2024
2300417,Reichenberger Straße West,15.93,46,17.59,2024
2300418,Reichenberger Straße Ost,20.06,34,19.33,2024
2300419,Wrangelkiez,18.75,31,18.67,2024
2400520,Barnimkiez,18.33,43,15.93,2024
2400521,Friedenstraße,20.83,99,20.22,2024
2400522,Richard-Sorge-Viertel,14,52,15.37,2024
2400623,Andreasviertel,22.68,150,20.47,2024
2400624,Weberwiese,18.29,47,18.92,2024
2400625,Wriezener Bahnhof,25.91,44,26.68,2024
2500726,Hausburgviertel,18.63,59,19.52,2024
2500727,Forckenbeckplatz,16.67,27,16.75,2024
2500728,Samariterviertel,18.82,82,20.66,2024
2500729,Pettenkofer Straße,21.13,28,20.95,2024
2500830,Niederbarnimstraße,18.26,22,18.65,2024
2500831,Wismarplatz,18,45,19.33,2024
2500832,Traveplatz,20,78,20.08,2024
2500833,Boxhagener Platz,18,54,19.31,2024
2500834,Revaler Straße,20,55,20.1,2024
2500835,Stralauer Kiez,21.68,89,21.2,2024
2500836,Stralauer Halbinsel,17,50,16.17,2024
3100101,Bucher Forst,15.5,45,14.14,2024
3100102,Klinikum Buch,12.59,41,14.15,2024
3100103,Karower Chaussee,7.68,44,7.78,2024
3200204,Blankenfelde,14.14,8,16.03,2024
3200205,Uhlandstraße,14.93,35,14.87,2024
3200206,Pastor-Niemöller-Platz,17,42,16.25,2024
3200207,Herthaplatz,14,64,15.17,2024
3200308,Nisbléstraße,13.51,32,13.75,2024
3200309,Eddastraße,13.38,11,15.48,2024
3200310,Krugpfuhl,13.11,52,12.97,2024
3300411,Karow Nord,10.52,90,11.68,2024
3300412,Karow Bahnhof,11.88,10,12.98,2024
3300413,Karow Ost,keine Daten,keine Daten,keine Daten,2024
3300514,Blankenburg,14.1,7,15.51,2024
3300515,Blankenburger Süden,keine Daten,keine Daten,keine Daten,2024
3300516,Heinersdorf,16.71,226,16.54,2024
3300517,Märchenland,keine Daten,keine Daten,keine Daten,2024
3400618,Rosenthal,14.89,51,14.56,2024
3400619,Wilhelmsruh,16,85,16.39,2024
3400620,Schönholz,13.69,8,14.2,2024
3400721,Florakiez,17.14,58,18.09,2024
3400722,Parkstraße,14.65,23,18.47,2024
3400723,Garbátyplatz,15.54,30,15.54,2024
