Bodenrichtwert-Nummer,district_name,standard_land_value,typical_land_use_type,typical_floor_space_ratio,reference_date
1840,Friedrichshain-Kreuzberg,400,W - Wohngebiet,2.5,2012-01-01 00:00:00
1252,Reinickendorf,550,M2 - Mischgebiet,2,2012-01-01 00:00:00
1071,Friedrichshain-Kreuzberg,650,M2 - Mischgebiet,3,2012-01-01 00:00:00
1195,Tempelhof-Schöneberg,1300,M2 - Mischgebiet,3,2012-01-01 00:00:00
2279,Spandau,180,G - Gewerbe,-,2012-01-01 00:00:00
2313,Pankow,30,G - Gewerbe,-,2012-01-01 00:00:00
1346,Tempelhof-Schöneberg,550,M2 - Mischgebiet,1,2012-01-01 00:00:00
1166,Tempelhof-Schöneberg,900,M2 - Mischgebiet,3,2012-01-01 00:00:00
2174,Marzahn-Hellersdorf,160,W - Wohngebiet,1,2012-01-01 00:00:00
2321,Mitte,1800,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
1331,Treptow-Köpenick,550,M2 - Mischgebiet,1.5,2012-01-01 00:00:00
1216,Charlottenburg-Wilmersdorf,3600,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
1996,Reinickendorf,170,W - Wohngebiet,0.6,2012-01-01 00:00:00
1755,Marzahn-Hellersdorf,110,W - Wohngebiet,0.6,2012-01-01 00:00:00
1214,Charlottenburg-Wilmersdorf,1200,M2 - Mischgebiet,2.5,2012-01-01 00:00:00
2327,Neukölln,700,M2 - Mischgebiet,2.5,2012-01-01 00:00:00
1279,Spandau,190,W - Wohngebiet,0.6,2012-01-01 00:00:00
1028,Mitte,160,W - Wohngebiet,0.6,2012-01-01 00:00:00
2067,Neukölln,150,W - Wohngebiet,0.8,2012-01-01 00:00:00
2047,Reinickendorf,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1863,Reinickendorf,150,G - Gewerbe,-,2012-01-01 00:00:00
2318,Lichtenberg,200,G - Gewerbe,2,2012-01-01 00:00:00
1224,Treptow-Köpenick,90,G - Gewerbe,-,2012-01-01 00:00:00
1382,Spandau,130,W - Wohngebiet,0.3,2012-01-01 00:00:00
1403,Reinickendorf,1100,M1 - Kerngebiet,2,2012-01-01 00:00:00
2224,Friedrichshain-Kreuzberg,200,G - Gewerbe,2,2012-01-01 00:00:00
1750,Pankow,70,G - Gewerbe,-,2012-01-01 00:00:00
1981,Reinickendorf,190,W - Wohngebiet,0.4,2012-01-01 00:00:00
1217,Treptow-Köpenick,170,W - Wohngebiet,0.8,2012-01-01 00:00:00
1645,Pankow,120,W - Wohngebiet,0.4,2012-01-01 00:00:00
2086,Lichtenberg,360,W - Wohngebiet,2,2012-01-01 00:00:00
1999,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
1649,Pankow,100,W - Wohngebiet,0.6,2012-01-01 00:00:00
2022,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
2037,Reinickendorf,150,W - Wohngebiet,0.4,2012-01-01 00:00:00
2045,Reinickendorf,130,W - Wohngebiet,0.2,2012-01-01 00:00:00
1982,Reinickendorf,190,W - Wohngebiet,0.4,2012-01-01 00:00:00
2112,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
1311,Spandau,160,W - Wohngebiet,0.3,2012-01-01 00:00:00
2303,Treptow-Köpenick,180,W - Wohngebiet,0.6,2012-01-01 00:00:00
2106,Steglitz-Zehlendorf,550,W - Wohngebiet,2,2012-01-01 00:00:00
1970,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
1864,Reinickendorf,130,G - Gewerbe,-,2012-01-01 00:00:00
1985,Reinickendorf,200,W - Wohngebiet,0.4,2012-01-01 00:00:00
1181,Marzahn-Hellersdorf,140,W - Wohngebiet,0.8,2012-01-01 00:00:00
2042,Reinickendorf,140,W - Wohngebiet,0.2,2012-01-01 00:00:00
1444,Reinickendorf,230,W - Wohngebiet,1,2012-01-01 00:00:00
1987,Reinickendorf,200,W - Wohngebiet,0.4,2012-01-01 00:00:00
1399,Treptow-Köpenick,160,W - Wohngebiet,1,2012-01-01 00:00:00
1832,Mitte,340,W - Wohngebiet,2.5,2012-01-01 00:00:00
1828,Neukölln,340,W - Wohngebiet,2.5,2012-01-01 00:00:00
1898,Tempelhof-Schöneberg,190,W - Wohngebiet,0.4,2012-01-01 00:00:00
1465,Reinickendorf,250,W - Wohngebiet,1,2012-01-01 00:00:00
2113,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
2111,Reinickendorf,210,W - Wohngebiet,0.3,2012-01-01 00:00:00
1705,Pankow,80,W - Wohngebiet,0.2,2012-01-01 00:00:00
1013,Pankow,30,G - Gewerbe,-,2012-01-01 00:00:00
1031,Pankow,40,G - Gewerbe,-,2012-01-01 00:00:00
2329,Pankow,1100,M1* - Einzelhandelszentrum,4,2012-01-01 00:00:00
2050,Reinickendorf,160,W - Wohngebiet,0.2,2012-01-01 00:00:00
1460,Spandau,130,W - Wohngebiet,0.4,2012-01-01 00:00:00
1669,Pankow,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
1699,Pankow,80,W - Wohngebiet,0.4,2012-01-01 00:00:00
1967,Reinickendorf,270,W - Wohngebiet,0.3,2012-01-01 00:00:00
2000,Friedrichshain-Kreuzberg,200,G - Gewerbe,2,2012-01-01 00:00:00
1664,Pankow,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
2221,Treptow-Köpenick,80,W - Wohngebiet,0.3,2012-01-01 00:00:00
2108,Pankow,100,W - Wohngebiet,0.4,2012-01-01 00:00:00
2210,Mitte,7300,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
2322,Mitte,750,M2 - Mischgebiet,3,2012-01-01 00:00:00
2152,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1693,Pankow,40,G - Gewerbe,-,2012-01-01 00:00:00
1159,Reinickendorf,50,G - Gewerbe,-,2012-01-01 00:00:00
1969,Reinickendorf,250,G - Gewerbe,1.5,2012-01-01 00:00:00
2020,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
2179,Mitte,2000,W - Wohngebiet,2.5,2012-01-01 00:00:00
1763,Treptow-Köpenick,80,G - Gewerbe,-,2012-01-01 00:00:00
1309,Pankow,120,W - Wohngebiet,1,2012-01-01 00:00:00
1838,Steglitz-Zehlendorf,150,G - Gewerbe,-,2012-01-01 00:00:00
1977,Reinickendorf,180,W - Wohngebiet,0.6,2012-01-01 00:00:00
2017,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
2055,Reinickendorf,150,G - Gewerbe,-,2012-01-01 00:00:00
2324,Mitte,500,M2 - Mischgebiet,2.5,2012-01-01 00:00:00
2031,Reinickendorf,150,W - Wohngebiet,0.2,2012-01-01 00:00:00
2283,Treptow-Köpenick,150,G - Gewerbe,2.4,2012-01-01 00:00:00
1504,Reinickendorf,360,W - Wohngebiet,1,2012-01-01 00:00:00
1430,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
2285,Treptow-Köpenick,60,G - Gewerbe,-,2012-01-01 00:00:00
1080,Spandau,30,G - Gewerbe,-,2012-01-01 00:00:00
2006,Reinickendorf,170,W - Wohngebiet,0.4,2012-01-01 00:00:00
2333,Spandau,230,W - Wohngebiet,2,2012-01-01 00:00:00
1990,Reinickendorf,180,W - Wohngebiet,0.4,2012-01-01 00:00:00
1110,Mitte,150,W - Wohngebiet,1,2012-01-01 00:00:00
2010,Reinickendorf,170,W - Wohngebiet,0.2,2012-01-01 00:00:00
1710,Pankow,80,W - Wohngebiet,0.2,2012-01-01 00:00:00
1432,Reinickendorf,230,W - Wohngebiet,1,2012-01-01 00:00:00
2107,Mitte,280,W - Wohngebiet,2,2012-01-01 00:00:00
1852,Friedrichshain-Kreuzberg,460,W - Wohngebiet,2.5,2012-01-01 00:00:00
2335,Spandau,230,W - Wohngebiet,2,2012-01-01 00:00:00
1696,Pankow,40,G - Gewerbe,-,2012-01-01 00:00:00
1210,Reinickendorf,200,W - Wohngebiet,1,2012-01-01 00:00:00
1835,Reinickendorf,100,G - Gewerbe,-,2012-01-01 00:00:00
1326,Reinickendorf,70,G - Gewerbe,-,2012-01-01 00:00:00
1448,Reinickendorf,230,W - Wohngebiet,1,2012-01-01 00:00:00
1320,Mitte,7300,M1 - Kerngebiet,4.5,2012-01-01 00:00:00
