neighbourhood,year,inhabitants,total_area_ha,share_forest_water_agriculture,forest_area_ha,water_area_ha,agriculture_area_ha,population_density_per_ha,number_of_residences,living_space_per_resident_m2
Mitte,2012,329969,3947,3.60%,–,142,–,83.6,185209,39.2
Friedrichshain-Kreuzberg,2012,259483,2034,6.70%,4,132,1,127.6,145328,39.3
Pankow,2012,364794,10307,32.60%,1350,159,8,35.4,205778,41.2
Charlottenburg-Wilmersdorf,2012,298567,6472,29.50%,1622,281,794,46.1,184637,48.9
Spandau,2012,218935,9187,37.00%,1706,897,26,23.8,117907,40.2
Steglitz-Zehlendorf,2012,281604,10256,35.20%,2468,1119,58,27.5,154331,46.9
Tempelhof-Schöneberg,2012,320917,5310,2.80%,48,43,91,60.4,181482,42.4
Neukölln,2012,308342,4493,3.70%,5,71,176,68.6,162554,37.7
Treptow-Köpenick,2012,242000,16841,55.40%,6985,2163,84,14.4,131895,40.1
Marzahn-Hellersdorf,2012,248786,6178,6.00%,173,117,573,40.3,127149,37.1
Lichtenberg,2012,258586,5212,14.00%,51,104,293,49.6,143895,37
Reinickendorf,2012,243239,8933,33.00%,1937,725,293,27.2,129498,41.7
Mitte,2013,337593,3947,3.60%,–,142,–,85.5,189557,37.7
Friedrichshain-Kreuzberg,2013,263526,2034,6.70%,4,132,1,129.6,146514,38
Pankow,2013,371438,10307,32.50%,1346,159,8,36,208388,40.5
Charlottenburg-Wilmersdorf,2013,302313,6472,29.50%,1622,281,766,46.7,182048,47
Spandau,2013,222300,9187,36.90%,1721,904,26,24.2,117695,39
Steglitz-Zehlendorf,2013,284313,10256,35.20%,2465,1119,57,27.7,154503,46.1
Tempelhof-Schöneberg,2013,324208,5310,2.80%,48,43,70,61.1,180164,41.5
Neukölln,2013,311943,4493,3.20%,5,71,175,69.4,161935,36.1
Treptow-Köpenick,2013,244016,16842,55.40%,6988,2162,84,14.5,132892,39.7
Marzahn-Hellersdorf,2013,251007,6178,5.10%,112,121,557,40.6,132753,37.6
Lichtenberg,2013,262760,5212,14.10%,73,104,293,50.4,147168,36.5
Reinickendorf,2013,246412,8931,33.10%,1939,723,293,27.6,129544,40.5
Mitte,2014,347336,3947,3.60%,–,142,–,88,190829,37
Friedrichshain-Kreuzberg,2014,267371,2041,6.70%,4,132,1,131,147470,37.9
Pankow,2014,381359,10307,32.60%,1354,166,1836,37,209988,40.2
Charlottenburg-Wilmersdorf,2014,304184,6472,29.50%,1622,281,8,47,182569,46.7
Spandau,2014,229675,9187,36.90%,1721,904,762,25,117964,38.5
Steglitz-Zehlendorf,2014,287168,10256,35.20%,2465,1119,26,28,154956,46.1
Tempelhof-Schöneberg,2014,328786,5303,2.80%,48,43,57,62,180493,41.1
Neukölln,2014,314510,4493,3.10%,5,71,64,70,162338,35.8
Treptow-Köpenick,2014,252630,16842,55.30%,6998,2161,163,15,134039,39.6
