Technischer Schlüssel,Schlüssel,Objektnummer,Bezirk,Ortsteil,Art der Grünanlage,Name des Spielplatzes,Namenszusatz des Spielplatzes,Baujahr,letztes Sanierungsjahr,Größe in m² (Kataster),Widmung,Nummer des Planungsraumes,Name des Planungsraumes,Nettospielfläche in m²
00008100_002f2c6b,00008100:002f2c6b,19441,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Nuthestr. 26,-,-,-,-,-,-,-,-
00008100_0033cfac,00008100:0033cfac,35098,Reinickendorf,Tegel,Spielplatz,Borsigdamm 4 (Spielplatz),-,-,-,5031.90,-,12200413,Tegel Süd,-
00008100_0032a99a,00008100:0032a99a,21AS10,Lichtenberg,Lichtenberg,Spielplatz,Gudrunstr. 14 Spielplatz,-,-,-,713.00,gewidmet,11300725,Nibelungenviertel,-
00008100_00199411,00008100:00199411,00156,Marzahn-Hellersdorf,Marzahn,Spielplatz,Hohenwalder/Schorfheider Straße -Dreieck,seit 1990 pädagog. betreuter Spielplatz,1988,-,3934.00,gewidmet,10100104,Golliner Straße,-
00008100_00281623,00008100:00281623,150072,Treptow-Köpenick,Schmöckwitz,Spielplatz,Biebersdorfer Weg 12/ Lübbenauer Weg 23 Sch KSP,-,-,-,900.00,gewidmet,09301227,Karolinenhof,-
00008100_0034b5aa,00008100:0034b5aa,19465,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Ella-Barowsky-Straße 62,Spielplatz,2024,-,2411.00,-,07200412,Schöneberger Linse,-
00008100_002e26eb,00008100:002e26eb,19430,Tempelhof-Schöneberg,Friedenau,Spielplatz,Lauterplatz - Spielplatz,-,-,-,814.00,gewidmet,07030301,Friedenau,-
00008100_00315b66,00008100:00315b66,19452,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Volkspark Lichtenrade - Spielplatz ,-,-,-,636.00,-,07601545,Nahariyastraße,-
00008100_002d1fac,00008100:002d1fac,07068,Spandau,Spandau,Spielplatz,Lutherplatz -Spielplatz-Kirche,-,-,-,345.00,-,05100314,Kurstraße,-
00008100_0011de45,00008100:0011de45,69942,Spandau,Spandau,Spielplatz,Altstadt-Spielpunkt 1 Carl-Schurz-Brücke,Mühlengraben,-,-,1.00,-,05100316,Carl-Schurz-Straße,-
00008100_002afe3f,00008100:002afe3f,69944,Spandau,Kladow,Spielplatz,Imchenallee-Spielpunkt,Bereich Zugang Steg BVG-Fähre ,-,-,3.00,-,05400944,Kladower Damm,-
00008100_00348cab,00008100:00348cab,40463,Spandau,Siemensstadt,Spielplatz,Heinich-Hertz-Str und Elsa-Neumann-Str,südl Saatwinkler Damm,-,-,2314.00,künftige Widmung,05300839,Rohrdamm,-
00008100_00233693,00008100:00233693,70442,Spandau,Spandau,Spielplatz,Altstadt-Spielpunkt 4 vor Karstadt ,Charlottenstr. ggü Marktstr,-,-,1.00,-,05100316,Carl-Schurz-Straße,-
00008100_002fccce,00008100:002fccce,60028,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Böcklerpark, Spiel Fit",Calisthenics Anlage,2017,-,298.00,gewidmet,02100106,Wassertorplatz,-
00008100_0033bef2,00008100:0033bef2,63362,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Gleisdreieck, Spiel 3",Kurfürstenstraße,-,-,1347.00,gewidmet,02200207,Gleisdreieck,-
00008100_0033bf01,00008100:0033bf01,63363,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Gleisdreieck, Spiel 4",Pohlstraße,-,-,315.00,gewidmet,02200207,Gleisdreieck,-
00008100_00287308,00008100:00287308,320250,Mitte,Wedding,Spielplatz,Schönwalder Str. 19,Ballspielplatz; Reickendorfer Str. 6/Kunkelstr.,-,-,398.00,gewidmet,01300836,Humboldthain Nordwest,-
00008100_002d018d,00008100:002d018d,316030,Mitte,Wedding,Spielplatz,Mettmannplatz an der Tegeler Str.,-,-,-,373.00,gewidmet,01300836,Humboldthain Nordwest,-
00008100_002d0caa,00008100:002d0caa,040182,Treptow-Köpenick,Johannisthal,Spielplatz,Engelhardstraße/ Nieberstraße Jo KSP,-,-,-,1075.00,gewidmet,09100408,Johannisthal Ost,-
00008100_00300efb,00008100:00300efb,00565,Spandau,Hakenfelde,Spielplatz,Aalemann3-Pembabogen,ehem. Vattenfall-Kraftwerk,-,-,1415.00,gewidmet,05100101,Hakenfelde Nord,-
00008100_0022a709,00008100:0022a709,030102,Treptow-Köpenick,Baumschulenweg,Spielplatz,Späthstraße/ Chris-Gueffroy-Allee Ba KSP,Schaukeltreff,-,-,88.30,gewidmet,09100306,Späthsfelde,-
00008100_0012d8ee,00008100:0012d8ee,00638,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Volkspark Mariendorf - Rixdorfer Str. 15,-,1923,-,1370.00,gewidmet,07501031,Eisenacher Straße,-
00008100_002a7e26,00008100:002a7e26,00798,Pankow,Buch,Spielplatz,Wiltbergstr. 29A,Abenteuerspielplatz und Naturerfahrungsraum,-,-,9330.00,-,03100101,Bucher Forst,-
00008100_0016d181,00008100:0016d181,70807,Pankow,Prenzlauer Berg,Spielplatz,Schwedter Str. 90,Mauerpark - Jugendfarm Moritzhof,-,-,901.00,-,03601142,Falkplatz,-
00008100_0016cf23,00008100:0016cf23,00893,Pankow,Niederschönhausen,Spielplatz,Am Bürgerpark 15 - 18,Kinderbauernhof Pinke-Panke,-,-,7442.00,-,03400620,Schönholz,-
00008100_00146cae,00008100:00146cae,60005,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,Möckernstr. 131/ Hallesche Str.,"NER, GLB, Wildpark, Am Birkenhügel",1982,-,5609.00,gewidmet,02100101,Askanischer Platz,-
00008100_0014b9b9,00008100:0014b9b9,320050,Mitte,Wedding,Spielplatz,"Volkspark Humboldthain, 30489",an der Rodelbahn; 30489 (Ballspielplatz),-,-,588.00,gewidmet,01300835,Humboldthain Süd,-
00008100_0035a96b,00008100:0035a96b,241.293,Neukölln,Rudow,Spielplatz,Rudower Fließ- Kispi Geflügelviertel,-,2025,-,-,in Widmung,08401244,Waßmannsdorfer Chaussee,1194.55
00008100_001c947b,00008100:001c947b,18AS01,Lichtenberg,Lichtenberg,Spielplatz,KGA Bielefeld  / Spielpl.,-,1997,-,456.00,gewidmet,11300721,Herzbergstraße,390.00
00008100_001c931e,00008100:001c931e,24AS11,Lichtenberg,Rummelsburg,Spielplatz,Wönnichstr. 74 / Münsterlandstr./Sp.,-,2002,-,1065.00,gewidmet,11400929,Weitlingkiez,789.00
00008100_002e4e92,00008100:002e4e92,28AF01,Lichtenberg,Friedrichsfelde,Spielplatz,Dolgenseestr. 60 / Promenade / Aktivspielfläche,-,2022,-,311.00,-,11401135,Dolgenseestraße,311.00
00008100_002f0ed9,00008100:002f0ed9,08AF01,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Wustrower Park - Fitnessbereich,-,2019,-,254.00,gewidmet,11100307,Zingster Straße Ost,254.00
00008100_002fd240,00008100:002fd240,29AF02,Lichtenberg,Rummelsburg,Spielplatz,Rummelsburger Bucht / Hauptstr. 4 / Aktivspielfläche,-,2000,-,108.00,gewidmet,11501238,Rummelsburg,108.00
00008100_0031b0fa,00008100:0031b0fa,28AF05,Lichtenberg,Friedrichsfelde,Spielplatz,Sewanstr. 251 / Aktiv & Fitness,-,-,-,186.00,gewidmet,11401137,Erieseering,186.00
00008100_002e2f76,00008100:002e2f76,15AF01,Lichtenberg,Alt-Hohenschönhausen,Spielplatz,Altenhofer Dreieck / Fittnessbereich,-,2007,-,416.00,gewidmet,11200514,Landsberger Allee,416.00
00008100_002e01da,00008100:002e01da,05AF01,Lichtenberg,Neu-Hohenschönhausen,Spielplatz,Vincent-van-Gogh-Str. 43-47 / Fitness-Bereich,-,2019,-,444.00,gewidmet,11100204,Falkenberg West,444.00
00008100_002ecd9c,00008100:002ecd9c,01AF01,Lichtenberg,Malchow,Spielplatz,Malchower See Park / Fitnessbereich,-,2017,-,186.00,gewidmet,11100101,Dörfer Malchow-Wartenberg,186.00
00008100_002f152e,00008100:002f152e,19AF01,Lichtenberg,Fennpfuhl,Spielplatz,Fennpfuhlpark / Fitnessbereich,-,2018,-,541.00,gewidmet,11300617,Fennpfuhlpark,541.00
00008100_002f1533,00008100:002f1533,28AF02,Lichtenberg,Friedrichsfelde,Spielplatz,Salzmannstr. / östl. / Fitnessbereich,-,-,-,1990.00,gewidmet,11401135,Dolgenseestraße,1990.00
00008100_002f1756,00008100:002f1756,31AF01,Lichtenberg,Karlshorst,Spielplatz,Rheinsteinpark / Aktiv- und Fitnessbereich,-,2018,-,298.00,gewidmet,11501340,Karlshorst Nord,298.00
