technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude
00008100_002f2c6b,00008100:002f2c6b,19441,'07,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Nuthestr. 26,Unknown,,,,Unknown,,Unknown,,"Nuthestr. 26,-, Berlin, Germany",52.3939142,13.3942918
00008100_0033cfac,00008100:0033cfac,35098,'12,Reinickendorf,Tegel,Spielplatz,Borsigdamm 4 (Spielplatz),Unknown,,,5031.9,Unknown,12200413.0,Tegel Süd,,"Borsigdamm 4 (Spielplatz),Tegel Süd, Berlin, Germany",,
00008100_0032a99a,00008100:0032a99a,21AS10,'11,Lichtenberg,Lichtenberg,Spielplatz,Gudrunstr. 14 Spielplatz,Unknown,,,713.0,gewidmet,11300725.0,Nibelungenviertel,,"Gudrunstr. 14 Spielplatz,Nibelungenviertel, Berlin, Germany",,
00008100_00199411,00008100:00199411,00156,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Hohenwalder/Schorfheider Straße -Dreieck,seit 1990 pädagog. betreuter Spielplatz,1988.0,,3934.0,gewidmet,10100104.0,Golliner Straße,,"Hohenwalder/Schorfheider Straße -Dreieck,Golliner Straße, Berlin, Germany",,
00008100_00281623,00008100:00281623,150072,'09,Treptow-Köpenick,Schmöckwitz,Spielplatz,Biebersdorfer Weg 12/ Lübbenauer Weg 23 Sch KSP,Unknown,,,900.0,gewidmet,9301227.0,Karolinenhof,,"Biebersdorfer Weg 12/ Lübbenauer Weg 23 Sch KSP,Karolinenhof, Berlin, Germany",,
00008100_0034b5aa,00008100:0034b5aa,19465,'07,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Ella-Barowsky-Straße 62,Spielplatz,2024.0,,2411.0,Unknown,7200412.0,Schöneberger Linse,,"Ella-Barowsky-Straße 62,Schöneberger Linse, Berlin, Germany",52.4786953,13.3574866
00008100_002e26eb,00008100:002e26eb,19430,'07,Tempelhof-Schöneberg,Friedenau,Spielplatz,Lauterplatz - Spielplatz,Unknown,,,814.0,gewidmet,7030301.0,Friedenau,,"Lauterplatz - Spielplatz,Friedenau, Berlin, Germany",,
00008100_00315b66,00008100:00315b66,19452,'07,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Volkspark Lichtenrade - Spielplatz,Unknown,,,636.0,Unknown,7601545.0,Nahariyastraße,,"Volkspark Lichtenrade - Spielplatz ,Nahariyastraße, Berlin, Germany",,
00008100_002d1fac,00008100:002d1fac,07068,'05,Spandau,Spandau,Spielplatz,Lutherplatz -Spielplatz-Kirche,Unknown,,,345.0,Unknown,5100314.0,Kurstraße,,"Lutherplatz -Spielplatz-Kirche,Kurstraße, Berlin, Germany",,
00008100_0011de45,00008100:0011de45,69942,'05,Spandau,Spandau,Spielplatz,Altstadt-Spielpunkt 1 Carl-Schurz-Brücke,Mühlengraben,,,1.0,Unknown,5100316.0,Carl-Schurz-Straße,,"Altstadt-Spielpunkt 1 Carl-Schurz-Brücke,Carl-Schurz-Straße, Berlin, Germany",,
00008100_002afe3f,00008100:002afe3f,69944,'05,Spandau,Kladow,Spielplatz,Imchenallee-Spielpunkt,Bereich Zugang Steg BVG-Fähre,,,3.0,Unknown,5400944.0,Kladower Damm,,"Imchenallee-Spielpunkt,Kladower Damm, Berlin, Germany",,
00008100_00348cab,00008100:00348cab,40463,'05,Spandau,Siemensstadt,Spielplatz,Heinich-Hertz-Str und Elsa-Neumann-Str,südl Saatwinkler Damm,,,2314.0,künftige Widmung,5300839.0,Rohrdamm,,"Heinich-Hertz-Str und Elsa-Neumann-Str,Rohrdamm, Berlin, Germany",,
00008100_00233693,00008100:00233693,70442,'05,Spandau,Spandau,Spielplatz,Altstadt-Spielpunkt 4 vor Karstadt,Charlottenstr. ggü Marktstr,,,1.0,Unknown,5100316.0,Carl-Schurz-Straße,,"Altstadt-Spielpunkt 4 vor Karstadt ,Carl-Schurz-Straße, Berlin, Germany",,
00008100_002fccce,00008100:002fccce,60028,'02,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Böcklerpark, Spiel Fit",Calisthenics Anlage,2017.0,,298.0,gewidmet,2100106.0,Wassertorplatz,,"Böcklerpark, Spiel Fit,Wassertorplatz, Berlin, Germany",,
00008100_0033bef2,00008100:0033bef2,63362,'02,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Gleisdreieck, Spiel 3",Kurfürstenstraße,,,1347.0,gewidmet,2200207.0,Gleisdreieck,,"Gleisdreieck, Spiel 3,Gleisdreieck, Berlin, Germany",,
00008100_0033bf01,00008100:0033bf01,63363,'02,Friedrichshain-Kreuzberg,Kreuzberg,Spielplatz,"Gleisdreieck, Spiel 4",Pohlstraße,,,315.0,gewidmet,2200207.0,Gleisdreieck,,"Gleisdreieck, Spiel 4,Gleisdreieck, Berlin, Germany",,
00008100_00287308,00008100:00287308,320250,'01,Mitte,Wedding,Spielplatz,Schönwalder Str. 19,Ballspielplatz; Reickendorfer Str. 6/Kunkelstr.,,,398.0,gewidmet,1300836.0,Humboldthain Nordwest,,"Schönwalder Str. 19,Humboldthain Nordwest, Berlin, Germany",52.5418182,13.3700619
00008100_002d018d,00008100:002d018d,316030,'01,Mitte,Wedding,Spielplatz,Mettmannplatz an der Tegeler Str.,Unknown,,,373.0,gewidmet,1300836.0,Humboldthain Nordwest,,"Mettmannplatz an der Tegeler Str.,Humboldthain Nordwest, Berlin, Germany",,
00008100_002d0caa,00008100:002d0caa,040182,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Engelhardstraße/ Nieberstraße Jo KSP,Unknown,,,1075.0,gewidmet,9100408.0,Johannisthal Ost,,"Engelhardstraße/ Nieberstraße Jo KSP,Johannisthal Ost, Berlin, Germany",,
00008100_00300efb,00008100:00300efb,00565,'05,Spandau,Hakenfelde,Spielplatz,Aalemann3-Pembabogen,ehem. Vattenfall-Kraftwerk,,,1415.0,gewidmet,5100101.0,Hakenfelde Nord,,"Aalemann3-Pembabogen,Hakenfelde Nord, Berlin, Germany",,
