Technischer Schlüssel;Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name des Planungsraumes
00008100_001042bb;00008100:001042bb;00037;Reinickendorf;Frohnau;Grünanlage;"Im Fischgrund, ""Rosenanger""";Rosenanger;-;-;16991,50;gewidmet;12400721;Frohnau Ost
00008100_00104621;00008100:00104621;01179;Reinickendorf;Lübars;Grünanlage;Klötzbecken bis Zabel-Krüger-Damm;einschl. Klötzbecken;-;-;52224,60;gewidmet;12500929;Lübars
00008100_001044bd;00008100:001044bd;01074;Reinickendorf;Hermsdorf;Grünanlage;Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald;-;-;-;3012,00;gewidmet;12400722;Hermsdorf West
00008100_00104620;00008100:00104620;01180;Reinickendorf;Lübars;Grünanlage;Wittenauer Str., südl. AEG-Siedlung;-;-;-;3374,20;gewidmet;12500929;Lübars
00008100_00104438;00008100:00104438;00476;Reinickendorf;Reinickendorf;Grünanlage;Kuhnpromenade u. Lindauer Allee 59/61;-;-;-;3122,00;gewidmet;12100206;Humboldtstraße
00008100_00104357;00008100:00104357;35060;Reinickendorf;Wittenau;Grünanlage;Avenue Charles de Gaulle 32-33;hinter Nimrodstr. u. am Packereigraben;-;-;8738,30;gewidmet;12500927;Wittenau Nord
00008100_00315c33;00008100:00315c33;103014;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Platz der US-Berlin-Brigaden WG;-;-;-;2194,00;gewidmet;06300632;Schweizer Viertel
00008100_000e3bb3;00008100:000e3bb3;102180;Steglitz-Zehlendorf;Steglitz;Grünanlage;Schünemannweg N;"Schünemannweg 6A u.16A; Tuttlinger Weg";-;-;3889,00;gewidmet;06100205;Südende
00008100_00104488;00008100:00104488;00599;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Lindengraben;-;-;-;12490,90;gewidmet;12400617;Alt-Heiligensee
00008100_00104409;00008100:00104409;00714;Reinickendorf;Tegel;Grünanlage;BAB, Überbauung Tunnel Tegel;Ernststr. - Waidmannsluster Damm;-;-;29894,70;gewidmet;12500824;Ziekowstraße/Freie Scholle
00008100_00104115;00008100:00104115;01016;Reinickendorf;Wittenau;Grünanlage;Volkspark Wittenau;HGP Pilotfläche;-;-;55345,10;gewidmet;12500927;Wittenau Nord
00008100_00104610;00008100:00104610;01214;Reinickendorf;Tegel;Grünanlage;Bollestr., Oeserstr.-Borsigaue;-;-;-;3248,10;gewidmet;12500824;Ziekowstraße/Freie Scholle
00008100_00104487;00008100:00104487;00600;Reinickendorf;Heiligensee;Grünanlage;Grabens. Hlgs., Weidengraben;-;-;-;3738,30;gewidmet;12400617;Alt-Heiligensee
00008100_001044a7;00008100:001044a7;00629;Reinickendorf;Reinickendorf;Grünanlage;Peckwischgraben, Wanderweg;-;-;-;24833,70;gewidmet;12100205;Teichstraße
00008100_001043f6;00008100:001043f6;01392;Reinickendorf;Tegel;Grünanlage;Karolinenstr. 18;Medical-Park;-;-;12066,90;gewidmet;12200515;Alt-Tegel
00008100_0010449a;00008100:0010449a;00388;Reinickendorf;Reinickendorf;Grünanlage;Verlängerte Teichstraße;-;-;-;10278,90;gewidmet;12100204;Schäfersee
00008100_00104435;00008100:00104435;00732;Reinickendorf;Tegel;Grünanlage;Tegeler Hafen, Uferpromenade;-;-;-;8637,50;gewidmet;12200515;Alt-Tegel
