technical_id,key,object_number,neighborhood,locality,type_of_green_space,green_space_name,name_extension,year_built,last_renovation_year,size_sqm,dedication,planning_area_number,planning_area_name,address1,latitude,longitude
00008100_001042bb,00008100:001042bb,00037,Reinickendorf,Frohnau,Grünanlage,"Im Fischgrund, ""Rosenanger""",Rosenanger,,,16991.5,gewidmet,12400721.0,Frohnau Ost,"Im Fischgrund, ""Rosenanger"", Berlin, Germany",,
00008100_00104621,00008100:00104621,01179,Reinickendorf,Lübars,Grünanlage,Klötzbecken bis Zabel-Krüger-Damm,einschl. Klötzbecken,,,52224.6,gewidmet,12500929.0,Lübars,"Klötzbecken bis Zabel-Krüger-Damm, Berlin, Germany",,
00008100_001044bd,00008100:001044bd,01074,Reinickendorf,Hermsdorf,Grünanlage,"Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald",,,,3012.0,gewidmet,12400722.0,Hermsdorf West,"Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald, Berlin, Germany",,
00008100_00104620,00008100:00104620,01180,Reinickendorf,Lübars,Grünanlage,"Wittenauer Str., südl. AEG-Siedlung",,,,3374.2,gewidmet,12500929.0,Lübars,"Wittenauer Str., südl. AEG-Siedlung, Berlin, Germany",,
00008100_00104438,00008100:00104438,00476,Reinickendorf,Reinickendorf,Grünanlage,Kuhnpromenade u. Lindauer Allee 59/61,,,,3122.0,gewidmet,12100206.0,Humboldtstraße,"Kuhnpromenade u. Lindauer Allee 59/61, Berlin, Germany",,
00008100_00104357,00008100:00104357,35060,Reinickendorf,Wittenau,Grünanlage,Avenue Charles de Gaulle 32-33,hinter Nimrodstr. u. am Packereigraben,,,8738.3,gewidmet,12500927.0,Wittenau Nord,"Avenue Charles de Gaulle 32-33, Berlin, Germany",,
00008100_00315c33,00008100:00315c33,103014,Steglitz-Zehlendorf,Lichterfelde,Grünanlage,Platz der US-Berlin-Brigaden WG,,,,2194.0,gewidmet,6300632.0,Schweizer Viertel,"Platz der US-Berlin-Brigaden WG, Berlin, Germany",,
00008100_000e3bb3,00008100:000e3bb3,102180,Steglitz-Zehlendorf,Steglitz,Grünanlage,Schünemannweg N,Schünemannweg 6A u.16A; Tuttlinger Weg,,,3889.0,gewidmet,6100205.0,Südende,"Schünemannweg N, Berlin, Germany",52.4444918,13.3525837
00008100_00104488,00008100:00104488,00599,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Lindengraben",,,,12490.9,gewidmet,12400617.0,Alt-Heiligensee,"Grabens. Hlgs., Lindengraben, Berlin, Germany",,
00008100_00104409,00008100:00104409,00714,Reinickendorf,Tegel,Grünanlage,"BAB, Überbauung Tunnel Tegel",Ernststr. - Waidmannsluster Damm,,,29894.7,gewidmet,12500824.0,Ziekowstraße/Freie Scholle,"BAB, Überbauung Tunnel Tegel, Berlin, Germany",,
00008100_00104115,00008100:00104115,01016,Reinickendorf,Wittenau,Grünanlage,Volkspark Wittenau,HGP Pilotfläche,,,55345.1,gewidmet,12500927.0,Wittenau Nord,"Volkspark Wittenau, Berlin, Germany",52.5953741,13.3297213
00008100_00104610,00008100:00104610,01214,Reinickendorf,Tegel,Grünanlage,"Bollestr., Oeserstr.-Borsigaue",,,,3248.1,gewidmet,12500824.0,Ziekowstraße/Freie Scholle,"Bollestr., Oeserstr.-Borsigaue, Berlin, Germany",,
00008100_00104487,00008100:00104487,00600,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Weidengraben",,,,3738.3,gewidmet,12400617.0,Alt-Heiligensee,"Grabens. Hlgs., Weidengraben, Berlin, Germany",,
00008100_001044a7,00008100:001044a7,00629,Reinickendorf,Reinickendorf,Grünanlage,"Peckwischgraben, Wanderweg",,,,24833.7,gewidmet,12100205.0,Teichstraße,"Peckwischgraben, Wanderweg, Berlin, Germany",,
00008100_001043f6,00008100:001043f6,01392,Reinickendorf,Tegel,Grünanlage,Karolinenstr. 18,Medical-Park,,,12066.9,gewidmet,12200515.0,Alt-Tegel,"Karolinenstr. 18, Berlin, Germany",52.5920645,13.2818334
00008100_0010449a,00008100:0010449a,00388,Reinickendorf,Reinickendorf,Grünanlage,Verlängerte Teichstraße,,,,10278.9,gewidmet,12100204.0,Schäfersee,"Verlängerte Teichstraße, Berlin, Germany",,
00008100_00104435,00008100:00104435,00732,Reinickendorf,Tegel,Grünanlage,"Tegeler Hafen, Uferpromenade",,,,8637.5,gewidmet,12200515.0,Alt-Tegel,"Tegeler Hafen, Uferpromenade, Berlin, Germany",,
00008100_001042cc,00008100:001042cc,00024,Reinickendorf,Frohnau,Grünanlage,Poloplatz,,,,35106.9,gewidmet,12400721.0,Frohnau Ost,"Poloplatz, Berlin, Germany",52.6449856,13.2898362
00008100_001044c8,00008100:001044c8,35825,Reinickendorf,Lübars,Grünanlage,Wittenauer Str. 214 (Klötzgraben),Ecke Am Klötzgraben 16587,,,6583.4,gewidmet,12500929.0,Lübars,"Wittenauer Str. 214 (Klötzgraben), Berlin, Germany",,
00008100_000e3a1b,00008100:000e3a1b,101654,Steglitz-Zehlendorf,Zehlendorf,Grünanlage,"Laehr""scher Jagdweg WG (Rindenmulchweg)",Verbindungsweg zum Teltower Damm,,,2170.0,gewidmet,6300528.0,Teltower Damm,"Laehr""scher Jagdweg WG (Rindenmulchweg), Berlin, Germany",,
00008100_000e3ad7,00008100:000e3ad7,100929,Steglitz-Zehlendorf,Zehlendorf,Grünanlage,Onkel-Tom-Straße WG,Platz Ecke Riemeisterstraße,,,1154.0,gewidmet,6400840.0,Fischtal,"Onkel-Tom-Straße WG, Berlin, Germany",,
00008100_0010420b,00008100:0010420b,00916,Reinickendorf,Waidmannslust,Grünanlage,"Herrenholzbecken, von B 96 - Wittenauer Str. 123",Wanderwege u. Grünanlage,,,32239.2,gewidmet,12601031.0,Lübarser Straße,"Herrenholzbecken, von B 96 - Wittenauer Str. 123, Berlin, Germany",,
00008100_001041ff,00008100:001041ff,00838,Reinickendorf,Wittenau,Grünanlage,Triftpark,,,,42881.7,gewidmet,12500927.0,Wittenau Nord,"Triftpark, Berlin, Germany",52.5928768,13.3175407
00008100_000e39a7,00008100:000e39a7,102093,Steglitz-Zehlendorf,Steglitz,Grünanlage,Knausplatz WG,Thorwaldsenstraße / Knausstraße,,,1480.0,gewidmet,6100210.0,Bismarckstraße,"Knausplatz WG, Berlin, Germany",,
00008100_000e3932,00008100:000e3932,101946,Steglitz-Zehlendorf,Lankwitz,Grünanlage,Lankwitz-Stamm III WG,Dessauerstraße,,,543.0,gewidmet,6200315.0,Gallwitzallee,"Lankwitz-Stamm III WG, Berlin, Germany",,
00008100_001044a2,00008100:001044a2,00584,Reinickendorf,Heiligensee,Grünanlage,"Nieder-Neuendorfer See, Uferstr.",,,,5782.1,gewidmet,12400617.0,Alt-Heiligensee,"Nieder-Neuendorfer See, Uferstr., Berlin, Germany",,
00008100_001041ef,00008100:001041ef,00920,Reinickendorf,Märkisches Viertel,Grünanlage,Seggeluchbecken,Grünzug Seggeluchbecken-Senftenberger Ri,,,37499.3,gewidmet,12601134.0,Märkisches Zentrum,"Seggeluchbecken, Berlin, Germany",52.6024738,13.3472697
00008100_001041ed,00008100:001041ed,00897,Reinickendorf,Wittenau,Grünanlage,Am Packereigraben, Wittenauer Str./Welzower Steig,,,5460.1,gewidmet,12601031.0,Lübarser Straße,"Am Packereigraben, Berlin, Germany",52.5973314,13.3133767
00008100_001045e9,00008100:001045e9,01325,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Grimbartgraben",,,,15558.9,gewidmet,12400619.0,Heiligensee,"Grabens. Hlgs., Grimbartgraben, Berlin, Germany",,
00008100_001044ac,00008100:001044ac,01089,Reinickendorf,Hermsdorf,Grünanlage,"Fließtal, Titusweg-Veltheimstr.",nördl. d. Fließgew. einschl. Hermsd.See,,,731448.1,gewidmet,12400723.0,Hermsdorf Ost/Waldsee,"Fließtal, Titusweg-Veltheimstr., Berlin, Germany",,
00008100_001041f1,00008100:001041f1,00840,Reinickendorf,Tegel,Grünanlage,Waidmannsluster Damm 52-54 (Durchgang),Am Schwedenhaus,,,1537.7,gewidmet,12500824.0,Ziekowstraße/Freie Scholle,"Waidmannsluster Damm 52-54 (Durchgang), Berlin, Germany",,
00008100_001044a5,00008100:001044a5,00596,Reinickendorf,Heiligensee,Grünanlage,"Grabens. Hlgs., Erlengraben",,,,29769.5,gewidmet,12400617.0,Alt-Heiligensee,"Grabens. Hlgs., Erlengraben, Berlin, Germany",,
00008100_00104125,00008100:00104125,01000,Reinickendorf,Wittenau,Grünanlage,Hermsdorfer Str. 9-10,,,,27789.0,gewidmet,12500927.0,Wittenau Nord,"Hermsdorfer Str. 9-10, Berlin, Germany",52.5300744,13.6127566
00008100_001042c4,00008100:001042c4,00029,Reinickendorf,Frohnau,Grünanlage,"Edelhofdamm, R.A.B.",Edelteich,,,23906.1,gewidmet,12400721.0,Frohnau Ost,"Edelhofdamm, R.A.B., Berlin, Germany",,
00008100_000e396e,00008100:000e396e,101176,Steglitz-Zehlendorf,Schlachtensee,Grünanlage,Fußweg an der Wannseebahn WG,Altvaterstraße bis Spanische Allee,,,528.0,gewidmet,6400737.0,Nikolassee,"Fußweg an der Wannseebahn WG, Berlin, Germany",,
00008100_001042c6,00008100:001042c6,00044,Reinickendorf,Frohnau,Grünanlage,Ludolfingerplatz,,,,5403.1,gewidmet,12400720.0,Frohnau West,"Ludolfingerplatz, Berlin, Germany",52.6324501,13.2879981
