Address1,Latitude,Longitude
"Im Fischgrund, ""Rosenanger"", Berlin, Germany",,
"Klötzbecken bis Zabel-Krüger-Damm, Berlin, Germany",,
"Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald, Berlin, Germany",,
"Wittenauer Str., südl. AEG-Siedlung, Berlin, Germany",,
"Kuhnpromenade u. Lindauer Allee 59/61, Berlin, Germany",,
"Avenue Charles de Gaulle 32-33, Berlin, Germany",,
"Platz der US-Berlin-Brigaden WG, Berlin, Germany",,
"Schünemannweg N, Berlin, Germany",52.4444918,13.3525837
"Grabens. Hlgs., Lindengraben, Berlin, Germany",,
"BAB, Überbauung Tunnel Tegel, Berlin, Germany",,
"Volkspark Wittenau, Berlin, Germany",52.5953741,13.3297213
"Bollestr., Oeserstr.-Borsigaue, Berlin, Germany",,
"Grabens. Hlgs., Weidengraben, Berlin, Germany",,
"Peckwischgraben, Wanderweg, Berlin, Germany",,
"Karolinenstr. 18, Berlin, Germany",52.5920645,13.2818334
"Verlängerte Teichstraße, Berlin, Germany",,
"Tegeler Hafen, Uferpromenade, Berlin, Germany",,
"Poloplatz, Berlin, Germany",52.6449856,13.2898362
"Wittenauer Str. 214 (Klötzgraben), Berlin, Germany",,
"Laehr""scher Jagdweg WG (Rindenmulchweg), Berlin, Germany",,
"Onkel-Tom-Straße WG, Berlin, Germany",,
"Herrenholzbecken, von B 96 - Wittenauer Str. 123, Berlin, Germany",,
"Triftpark, Berlin, Germany",52.5928768,13.3175407
"Knausplatz WG, Berlin, Germany",,
"Lankwitz-Stamm III WG, Berlin, Germany",,
"Nieder-Neuendorfer See, Uferstr., Berlin, Germany",,
"Seggeluchbecken, Berlin, Germany",52.6024738,13.3472697
"Am Packereigraben, Berlin, Germany",52.5973314,13.3133767
"Grabens. Hlgs., Grimbartgraben, Berlin, Germany",,
"Fließtal, Titusweg-Veltheimstr., Berlin, Germany",,
"Waidmannsluster Damm 52-54 (Durchgang), Berlin, Germany",,
"Grabens. Hlgs., Erlengraben, Berlin, Germany",,
"Hermsdorfer Str. 9-10, Berlin, Germany",52.5300744,13.6127566
"Edelhofdamm, R.A.B., Berlin, Germany",,
"Fußweg an der Wannseebahn WG, Berlin, Germany",,
"Ludolfingerplatz, Berlin, Germany",52.6324501,13.2879981
"Uferweg Neheimer Straße, Berlin, Germany",,
"Begonienplatz WG, Berlin, Germany",,
"Stephanstraße 20-22 WG, Berlin, Germany",,
"Landweg WG, Berlin, Germany",,
"Schönfließer Str./Oranienburger Chaussee, R.A.B., Berlin, Germany",,
"Nordgraben/Industriebahn, Grünanlage, Berlin, Germany",,
"Molsheimer Platz WG, Berlin, Germany",,
"Franz-Mehring-Platz 1, Berlin, Germany",52.5128,13.4402215
"Alt-Hermsdorf, Dorfaue, Berlin, Germany",,
"Bumpfuhl, ND, Berlin, Germany",,
"Grabens. Hlgs., Wiesengraben, Berlin, Germany",,
"Am Dachsbau/Schulzendorfer Str., - Vogelschutzgebiet, Berlin, Germany",,
"Vor den Toren I, Mecklenburgweg/Im Winkel, Berlin, Germany",,
"LSG nördl. des Heiligensees, Berlin, Germany",,
"Am Wiesenende 7 - 37 A (Klötzgraben), Grabenbiotop, Berlin, Germany",,
"Berliner Str. 71, Anlage Borsigdenkmal, Berlin, Germany",,
"Carmerplatz WG, Berlin, Germany",,
"Kleistgrab WG - Teil 2/2, Berlin, Germany",,
"Thurgauer Str./Aroser Allee (außen), Berlin, Germany",,
"Flughafensee, Berlin, Germany",52.5677733,13.2854433
"Grünanlage-II Falkenseer Damm  Ackerstr, Berlin, Germany",,
"Brusebergstr., Grünzug  zur Gotthardstr., Berlin, Germany",,
"Verlängerte Ernststraße, Berlin, Germany",,
"Nordgraben, Gorkistr.-Ziekowstr., Berlin, Germany",,
"Neukladower Allee-Grünstreifen, Berlin, Germany",,
"Ruppiner Chaussee, Grünanlage, Berlin, Germany",,
"Zeltinger Platz, Berlin, Germany",52.6336161,13.2911154
"Eiskeller-Silbergraswiese , Berlin, Germany",,
"Fasanenpromenade, Berlin, Germany",,
"Buntspechtstr./Nußhäherstr., Berlin, Germany",,
"Jugendplatz, Berlin, Germany",52.5381258,13.2699479
"Aalemannufer bis Rustweg-Grünflächenverbindung, Berlin, Germany",,
"Imchenallee Ecke Sakrower Kirchweg, Berlin, Germany",,
"Friedrichstraße, Berlin, Germany",52.5107966,13.3898851
"Wanderweg an der Malche, Berlin, Germany",,
"Oranienburger Str. bis Fräsersteig (Grünzug), Berlin, Germany",,
"Ludwig-Lesser-Park, Berlin, Germany",52.6399801,13.2892865
"Schäferseepark, Berlin, Germany",52.5662863,13.3581601
"Peter-Witte-Park, Berlin, Germany",52.5884058,13.3263456
"Armbrustweg 2-9, Berlin, Germany",52.5735764,13.3651917
"Almazeile/Beatestraße, Berlin, Germany",,
"Steinbergpark, Berlin, Germany",52.5988435,13.3099845
"Greenwichpromenade üblich, Berlin, Germany",,
"Spießweg zur Dorfaue, Durchg. Altenheim, Berlin, Germany",,
"Albtalpark (NSG), Berlin, Germany",,
"Am Kiesteich-Grünstreifen, Berlin, Germany",,
"Kolonie Am Wanderweg/JVA - Finnentroper Weg 38 A, Berlin, Germany",,
"Waldstr., Grünzug, Berlin, Germany",,
"Steinhövelplatz, Berlin, Germany",,
"Siemens Technopark, Berlin, Germany",52.534254,13.2685562
"Auguste-Viktoria-Allee 17 - Grünanlage, Berlin, Germany",,
"Breitkopfbecken, Berlin, Germany",52.5728402,13.3627202
"Mäckeritzwiesen, Vor den Toren IV, Berlin, Germany",,
"Waldseepark, Berlin, Germany",,
"Uferwanderweg Oberhavel, Berlin, Germany",,
"Mümmelmannweg - Im Rehgrund, Wald, Berlin, Germany",,
"Zabel-Krüger-Damm 69/71, Berlin, Germany",52.6082689,13.3253121
"Gorkistr./Nordgraben, Wanderweg an KG Steinberg, Berlin, Germany",,
"Oberjägerweg, Berlin, Germany",52.576495,13.1632595
"Freizeitpark Lübars, Berlin, Germany",52.6107159,13.3693149
"Deutsche Str., Grünzug bis Stargardtstr., Berlin, Germany",,
"Friedhof Heiligensee, Entwidmungsfläche, Berlin, Germany",,
"Zerndorfer Höhe, Berlin, Germany",,
"Hahneberg-ehem Grenzweg-Karolinenhöhe, Berlin, Germany",,
"Straße 269-Fläche H 30 a, Berlin, Germany",,
