station_id,station,line,latitude,longitude,district,district_id
3,S+U Westhafen (Berlin),"['S41', 'S42', 'S46']",52.536218,13.344329,Mitte,11001001
4,S+U Westhafen (Berlin),"['S41', 'S42', 'S46']",52.536318,13.344298,Mitte,11001001
5,S Bellevue (Berlin),"['S3', 'S5', 'S7', 'S9']",52.519946,13.34809,Mitte,11001001
6,S Bellevue (Berlin),"['S3', 'S5', 'S7', 'S9']",52.520012,13.348101,Mitte,11001001
7,S Tiergarten (Berlin),"['S3', 'S5', 'S7', 'S9']",52.514419,13.336536,Mitte,11001001
8,S Tiergarten (Berlin),"['S3', 'S5', 'S7', 'S9']",52.51444,13.33642,Mitte,11001001
9,S+U Berlin Hauptbahnhof,"['S3', 'S5', 'S7', 'S9']",52.525147,13.369354,Mitte,11001001
10,S+U Berlin Hauptbahnhof,"['S3', 'S5', 'S7', 'S9']",52.525261,13.369313,Mitte,11001001
11,S+U Gesundbrunnen Bhf (Berlin),"['S1', 'S2', 'S25', 'S26']",52.549316,13.389883,Mitte,11001001
12,S+U Gesundbrunnen Bhf (Berlin),"['S1', 'S2', 'S25', 'S26', 'S41', 'S42', 'S46', 'S8', 'S85']",52.549212,13.389895,Mitte,11001001
13,S+U Gesundbrunnen Bhf (Berlin),"['S25', 'S26', 'S41', 'S46', 'S8', 'S85']",52.549131,13.389907,Mitte,11001001
14,S+U Gesundbrunnen Bhf (Berlin),"['S1', 'S2', 'S25', 'S26']",52.549033,13.389919,Mitte,11001001
15,S+U Jungfernheide Bhf (Berlin),"['S41', 'S46']",52.530363,13.299325,Charlottenburg-Wilmersdorf,11004004
16,S+U Jungfernheide Bhf (Berlin),"['S42', 'S46']",52.530446,13.299292,Charlottenburg-Wilmersdorf,11004004
17,S Beusselstr. (Berlin),"['S41', 'S42', 'S46']",52.534359,13.329406,Mitte,11001001
18,S Beusselstr. (Berlin),"['S41', 'S42', 'S46']",52.534452,13.329361,Mitte,11001001
21,S+U Zoologischer Garten Bhf (Berlin),"['S3', 'S5', 'S7', 'S9']",52.507031,13.331849,Charlottenburg-Wilmersdorf,11004004
22,S+U Zoologischer Garten Bhf (Berlin),"['S3', 'S5', 'S7', 'S9']",52.507068,13.331736,Charlottenburg-Wilmersdorf,11004004
23,S Charlottenburg Bhf (Berlin),"['S3', 'S41', 'S42', 'S45', 'S5', 'S7', 'S9']",52.504929,13.304487,Charlottenburg-Wilmersdorf,11004004
24,S Charlottenburg Bhf (Berlin),"['S3', 'S5', 'S7', 'S9']",52.504988,13.304449,Charlottenburg-Wilmersdorf,11004004
25,S Charlottenburg Bhf (Berlin),"['S3', 'S41', 'S45', 'S5', 'S7', 'S9']",52.50507,13.30439,Charlottenburg-Wilmersdorf,11004004
26,S Charlottenburg Bhf (Berlin),"['S3', 'S5', 'S7', 'S9']",52.505135,13.304349,Charlottenburg-Wilmersdorf,11004004
27,S Westkreuz (Berlin),"['S3', 'S5', 'S7', 'S9']",52.501095,13.284364,Charlottenburg-Wilmersdorf,11004004
28,S Westkreuz (Berlin),"['S3', 'S5', 'S7', 'S9']",52.501013,13.284448,Charlottenburg-Wilmersdorf,11004004
29,S Westkreuz (Berlin),"['S3', 'S5', 'S7', 'S9']",52.500888,13.28459,Charlottenburg-Wilmersdorf,11004004
30,S Westkreuz (Berlin),"['S3', 'S5', 'S7', 'S9']",52.500813,13.284665,Charlottenburg-Wilmersdorf,11004004
31,S Messe Nord/ZOB (Berlin),"['S41', 'S46']",52.507703,13.283556,Charlottenburg-Wilmersdorf,11004004
32,S Messe Nord/ZOB (Berlin),"['S42', 'S46']",52.507739,13.283409,Charlottenburg-Wilmersdorf,11004004
33,S Savignyplatz (Berlin),"['S3', 'S5', 'S7', 'S9']",52.505117,13.319066,Charlottenburg-Wilmersdorf,11004004
34,S Olympiastadion (Berlin),"['S3', 'S5', 'S9']",52.511293,13.242806,Charlottenburg-Wilmersdorf,11004004
35,S Olympiastadion (Berlin),"['S3', 'S5', 'S9']",52.511216,13.242843,Charlottenburg-Wilmersdorf,11004004
36,S Messe Süd (Berlin),"['S3', 'S5', 'S9']",52.498568,13.270392,Charlottenburg-Wilmersdorf,11004004
37,S Pichelsberg (Berlin),"['S3', 'S5', 'S9']",52.510181,13.227421,Charlottenburg-Wilmersdorf,11004004
38,S Pichelsberg (Berlin),"['S3', 'S5', 'S9']",52.510241,13.227488,Charlottenburg-Wilmersdorf,11004004
39,S Heerstr. (Berlin),"['S3', 'S5', 'S9']",52.507814,13.259813,Charlottenburg-Wilmersdorf,11004004
40,S Westend (Berlin),"['S41', 'S42', 'S46']",52.517888,13.284378,Charlottenburg-Wilmersdorf,11004004
41,S Westend (Berlin),"['S42', 'S46']",52.517906,13.284555,Charlottenburg-Wilmersdorf,11004004
42,S Spandau Bhf (Berlin),"['S3', 'S9']",52.534774,13.197557,Spandau,11005005
43,S Spandau Bhf (Berlin),"['S3', 'S9']",52.53472,13.197532,Spandau,11005005
44,S Halensee (Berlin),"['S41', 'S42', 'S45', 'S46']",52.496038,13.290596,Charlottenburg-Wilmersdorf,11004004
45,S Hohenzollerndamm (Berlin),"['S41', 'S42', 'S45', 'S46']",52.488671,13.300271,Charlottenburg-Wilmersdorf,11004004
