school_id,school_name,school_type_de,ownership_en,school_category_de,neighborhood,quarter,postal_code,street,street_number,telephone_number,fax_number,email,website,school_year,school_category_en,students_total,students_f,students_m,teachers_total,teachers_f,teachers_m,startchancen_flag
01A04,Berlin-Kolleg,Kolleg,Public,Andere Schule,Mitte,Moabit,10551,Turmstraße,75,+49 30 901838210,+49 30 901838222,sekretariat@berlin-kolleg.de,https://www.berlin-kolleg.de,2024/25,Other School,,,,,,,FALSE
01B01,"OSZ Banken, Immobilien und Versicherungen",Oberstufenzentrum,Public,Berufsschule,Mitte,Moabit,10557,Alt-Moabit,10,+49 30 398840,+49 30 39884119,info@osz-biv.de,https://www.osz-biv.de,2024/25,Vocational School,1603,642,961,76,41,35,FALSE
01B02,Staatliche Technikerschule Berlin,Fachschule,Public,Berufsschule,Mitte,Moabit,10555,Bochumer Straße,8B,+49 30 901891400,+49 30 901891405,info@technikerschule-berlin.de,https://www.technikerschule-berlin.de,2024/25,Vocational School,480,56,424,57,25,32,FALSE
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",Oberstufenzentrum,Public,Berufsschule,Mitte,Gesundbrunnen,13359,Osloer Straße,23,+49 30 493070,+49 30 49307100,Sekretariat@oszkim.de,https://www.oszkim.de/wp,2024/25,Vocational School,1226,310,916,82,40,42,TRUE
01B04,OSZ Gesundheit I,Oberstufenzentrum,Public,Berufsschule,Mitte,Wedding,13349,Schwyzer Straße,6,+49 30 4530800,+49 30 45308077,sekretariat@osz-gesundheit.de,https://www.osz-gesundheit.de,2024/25,Vocational School,2902,2564,338,94,65,29,FALSE
01G01,Grundschule am Arkonaplatz,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Ruppiner Straße,47,+49 30 48625680,+49 30 486256820,sekretariat@arkonaplatz.schule.berlin.de,https://grundschuleamarkonaplatz.de,2024/25,Primary School,426,191,235,34,28,6,FALSE
01G02,Papageno-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Bergstraße,58,+49 30 30881711,+49 30 30881710,sekretariat@papageno-grundschule.de,http://www.papageno-grundschule.de,2024/25,Primary School,616,307,309,51,33,18,FALSE
01G04,Kastanienbaum-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10119,Gipsstraße,23A,+49 30 275816330,+49 30 275816350,sekretariat@kb.schule.berlin.de,https://www.kastanienbaum-grundschule.de,2024/25,Primary School,415,200,215,26,22,4,FALSE
01G05,Grundschule Neues Tor,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Hannoversche Straße,20,+49 30 24088330,+49 30 24088340,schulleitung@01G05.schule.berlin.de,https://www.neues-tor.de,2024/25,Primary School,389,206,183,35,25,10,FALSE
01G07,GutsMuths-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10179,Singerstraße,8,+49 30 2408386,+49 30 24083888,sekretariat@gutsmuths.schule.berlin.de,https://www.gutsmuths-grundschule.de,2024/25,Primary School,410,201,209,34,27,7,FALSE
