bsn,school_name,school_type_de,ownership_en,school_category_de,district,neighborhood,postal_code,street,street_number,website,school_year,school_category_en,total_students,students_f,students_m,teachers_total,teachers_f,teachers_m,startchancen_flag,lon,lat,schoolinductionzone_id,district_id
01A04,Berlin-Kolleg,Kolleg,Public,Andere Schule,Mitte,Moabit,10551,Turmstraße,75,https://www.berlin-kolleg.de,2024/25,Other School,,,,,,,False,13.334,52.527,109,01
01B01,"OSZ Banken, Immobilien und Versicherungen",Oberstufenzentrum,Public,Berufsschule,Mitte,Moabit,10557,Alt-Moabit,10,https://www.osz-biv.de,2024/25,Vocational School,1603,642,961,76,41,35,False,13.358,52.524,46,01
01B02,Staatliche Technikerschule Berlin,Fachschule,Public,Berufsschule,Mitte,Moabit,10555,Bochumer Straße,8B,https://www.technikerschule-berlin.de,2024/25,Vocational School,480,56,424,57,25,32,False,13.338,52.523,87,01
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",Oberstufenzentrum,Public,Berufsschule,Mitte,Gesundbrunnen,13359,Osloer Straße,23,https://www.oszkim.de/wp,2024/25,Vocational School,1226,310,916,82,40,42,True,13.38,52.557,118,01
01B04,OSZ Gesundheit I,Oberstufenzentrum,Public,Berufsschule,Mitte,Wedding,13349,Schwyzer Straße,6,https://www.osz-gesundheit.de,2024/25,Vocational School,2902,2564,338,94,65,29,False,13.353,52.558,110,01
01G01,Grundschule am Arkonaplatz,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Ruppiner Straße,47,https://grundschuleamarkonaplatz.de,2024/25,Primary School,426,191,235,34,28,6,False,13.4,52.537,42,01
01G02,Papageno-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Bergstraße,58,http://www.papageno-grundschule.de,2024/25,Primary School,616,307,309,51,33,18,False,13.391,52.533,31,01
01G04,Kastanienbaum-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10119,Gipsstraße,23A,https://www.kastanienbaum-grundschule.de,2024/25,Primary School,415,200,215,26,22,4,False,13.402,52.527,17,01
01G05,Grundschule Neues Tor,Grundschule,Public,Grundschule,Mitte,Mitte,10115,Hannoversche Straße,20,https://www.neues-tor.de,2024/25,Primary School,389,206,183,35,25,10,False,13.381,52.527,28,01
01G07,GutsMuths-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10179,Singerstraße,8,https://www.gutsmuths-grundschule.de,2024/25,Primary School,410,201,209,34,27,7,False,13.424,52.516,4,01
01G08,Grundschule am Brandenburger Tor,Grundschule,Public,Grundschule,Mitte,Mitte,10117,Wilhelmstraße,52,https://grundschule.technik-4-you.de,2024/25,Primary School,514,257,257,39,31,8,False,13.383,52.513,8,01
01G10,City-Grundschule,Grundschule,Public,Grundschule,Mitte,Mitte,10179,Sebastianstraße,57,https://city-grundschule.de,2024/25,Primary School,605,305,300,41,32,9,False,13.409,52.508,4,01
01G11,Kurt-Tucholsky-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10559,Rathenower Straße,18,https://kurt-tucholsky-grundschule.de,2024/25,Primary School,684,337,347,59,44,15,False,13.353,52.53,72,01
01G15,Anne-Frank-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10557,Paulstraße,20B,https://www.anne-frank-grundschule.de,2024/25,Primary School,370,169,201,29,21,8,False,13.356,52.518,46,01
01G16,Moabiter Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10557,Paulstraße,28,https://www.moabiter-grundschule.de,2024/25,Primary School,456,212,244,44,34,10,False,13.357,52.522,46,01
01G18,Carl-Bolle-Grundschule,Grundschule,Public,Grundschule,Mitte,Moabit,10551,Waldenserstraße,21,https://www.carlbolleschule.de,2024/25,Primary School,336,173,163,29,22,7,True,13.332,52.529,109,01
01G19,Hansa-Grundschule,Grundschule,Public,Grundschule,Mitte,Hansaviertel,10555,Lessingstraße,5,http://www.hansa-grundschule-online.de,2024/25,Primary School,420,204,216,31,27,4,False,13.34,52.521,87,01
01G24,Gottfried-Röhl-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13349,Ungarnstraße,75,https://www.gottfried-roehl-schule.de,2024/25,Primary School,471,226,245,43,35,8,False,13.357,52.556,110,01
01G25,Rudolf-Wissell-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13357,Ellerbeker Straße,7,http://www.rudolf-wissell-grundschule.de,2024/25,Primary School,419,168,251,42,30,12,True,13.396,52.552,86,01
01G27,Gesundbrunnen-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13357,Prinzenallee,8,https://gesundbrunnen-grundschule.de,2024/25,Primary School,514,258,256,49,36,13,True,13.383,52.553,86,01
01G28,Brüder-Grimm-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13353,Tegeler Straße,18,https://bggs-berlin.de,2024/25,Primary School,580,294,286,52,40,12,False,13.358,52.541,93,01
01G29,Wilhelm-Hauff-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Gotenburger Straße,8,https://wilhelm-hauff-grundschule.de,2024/25,Primary School,420,208,212,47,37,10,True,13.384,52.558,118,01
01G31,Wedding-Grundschule,Grundschule,Public,Grundschule,Mitte,Wedding,13347,Antonstraße,10,https://www.wedding-schule.de,2024/25,Primary School,513,250,263,53,44,9,True,13.364,52.547,110,01
01G32,Carl-Kraemer-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Zechliner Straße,4,http://www.carl-kraemer-gs.de,2024/25,Primary School,460,226,234,38,26,12,True,13.383,52.561,118,01
01G35,Humboldthain-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Grenzstraße,7,https://www.humboldthain-grundschule.de,2024/25,Primary School,403,208,195,39,31,8,True,13.38,52.543,57,01
01G36,Andersen-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13359,Kattegatstraße,26,https://www.andersen-grundschule.de,2024/25,Primary School,367,171,196,32,22,10,True,13.389,52.565,118,01
01G37,Heinrich-Seidel-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Ramlerstraße,9,https://hsgs.berlin,2024/25,Primary School,506,247,259,46,38,8,True,13.393,52.547,86,01
01G38,Gustav-Falke-Grundschule,Grundschule,Public,Grundschule,Mitte,Gesundbrunnen,13355,Strelitzer Straße,42,http://www.gustav-falke-schule.de,2024/25,Primary School,491,227,264,40,33,7,True,13.392,52.538,42,01
