induction_id,neighborhood_number,neighborhood_name
101,1,Mitte
102,1,Mitte
103,1,Mitte
104,1,Mitte
106,1,Mitte
107,1,Mitte
108,1,Mitte
109,1,Mitte
110,1,Mitte
111,1,Mitte
112,1,Mitte
113,1,Mitte
114,1,Mitte
115,1,Mitte
116,1,Mitte
117,1,Mitte
119,1,Mitte
120,1,Mitte
202,2,Friedrichshain-Kreuzberg
203,2,Friedrichshain-Kreuzberg
204,2,Friedrichshain-Kreuzberg
207,2,Friedrichshain-Kreuzberg
208,2,Friedrichshain-Kreuzberg
209,2,Friedrichshain-Kreuzberg
210,2,Friedrichshain-Kreuzberg
211,2,Friedrichshain-Kreuzberg
212,2,Friedrichshain-Kreuzberg
213,2,Friedrichshain-Kreuzberg
214,2,Friedrichshain-Kreuzberg
218,2,Friedrichshain-Kreuzberg
220,2,Friedrichshain-Kreuzberg
221,2,Friedrichshain-Kreuzberg
222,2,Friedrichshain-Kreuzberg
223,2,Friedrichshain-Kreuzberg
224,2,Friedrichshain-Kreuzberg
226,2,Friedrichshain-Kreuzberg
227,2,Friedrichshain-Kreuzberg
229,2,Friedrichshain-Kreuzberg
231,2,Friedrichshain-Kreuzberg
234,2,Friedrichshain-Kreuzberg
235,2,Friedrichshain-Kreuzberg
236,2,Friedrichshain-Kreuzberg
291,2,Friedrichshain-Kreuzberg
292,2,Friedrichshain-Kreuzberg
294,2,Friedrichshain-Kreuzberg
296,2,Friedrichshain-Kreuzberg
299,2,Friedrichshain-Kreuzberg
301,3,Pankow
302,3,Pankow
303,3,Pankow
304,3,Pankow
305,3,Pankow
306,3,Pankow
307,3,Pankow
308,3,Pankow
309,3,Pankow
310,3,Pankow
311,3,Pankow
312,3,Pankow
313,3,Pankow
314,3,Pankow
315,3,Pankow
316,3,Pankow
317,3,Pankow
318,3,Pankow
320,3,Pankow
321,3,Pankow
322,3,Pankow
323,3,Pankow
324,3,Pankow
325,3,Pankow
326,3,Pankow
327,3,Pankow
328,3,Pankow
329,3,Pankow
332,3,Pankow
333,3,Pankow
334,3,Pankow
335,3,Pankow
336,3,Pankow
337,3,Pankow
338,3,Pankow
339,3,Pankow
340,3,Pankow
341,3,Pankow
342,3,Pankow
343,3,Pankow
344,3,Pankow
345,3,Pankow
346,3,Pankow
347,3,Pankow
348,3,Pankow
350,3,Pankow
351,3,Pankow
396,3,Pankow
401,4,Charlottenburg-Wilmersdorf
402,4,Charlottenburg-Wilmersdorf
404,4,Charlottenburg-Wilmersdorf
