Tabelle: 23111-0002
Staff in hospitals: Germany, reference date;;;;
Basic data on hospitals;;;;;;;;
Germany;;;;;;;;
;Staff;;Full-time physicians;;Non-medical staff;;Non-medical staff in nursing care;
;number;number;number;number;number;number;number;number
1991-12-31;1119791;e;109072;e;913376;e;389511;e
1992-12-31;1133050;e;111115;e;926181;e;399915;e
1993-12-31;1134690;e;111608;e;928858;e;405848;e
1994-12-31;1146779;e;114208;e;936904;e;417272;e
1995-12-31;1161863;e;116346;e;948013;e;429183;e
1996-12-31;1150857;e;117922;e;935071;e;427271;e
1997-12-31;1133409;e;118522;e;918078;e;420306;e
1998-12-31;1124881;e;119831;e;911216;e;419284;e
1999-12-31;1114178;e;120608;e;903155;e;415865;e
2000-12-31;1108646;e;122062;e;897401;e;414478;e
2001-12-31;1109420;e;123819;e;899420;e;416319;e
2002-12-31;1120773;e;126047;e;907871;e;417282;e
2003-12-31;1104610;e;128853;e;890122;e;408183;e
2004-12-31;1079831;e;129817;e;868048;e;396691;e
2005-12-31;1070655;e;131115;e;859709;e;393186;e
2006-12-31;1071995;e;133649;e;858088;e;392711;e
2007-12-31;1074883;e;136267;e;858151;e;392896;e
2008-12-31;1085664;e;139294;e;865027;e;396221;e
2009-12-31;1104209;e;143967;e;877878;e;401625;e
2010-12-31;1120829;e;148696;e;888314;e;406269;e
2011-12-31;1136204;e;154248;e;896288;e;411920;e
2012-12-31;1154411;e;159764;e;907522;e;414884;e
2013-12-31;1172077;e;164720;e;919650;e;419140;e
2014-12-31;1186650;e;169528;e;928355;e;422779;e
2015-12-31;1200849;e;174391;e;937099;e;426838;e
2016-12-31;1223859;e;180372;e;952659;e;433434;e
2017-12-31;1246121;e;186021;e;967439;e;437648;e
2018-12-31;1259838;e;191122;e;976219;e;437799;e
2019-12-31;1305430;e;196470;e;997406;e;457947;e
2020-12-31;1347524;e;200565;e;1028228;e;486085;e
2021-12-31;1369562;e;203286;e;1041806;e;497529;e
2022-12-31;1388347;e;207388;e;1056830;e;509104;e
2023-12-31;1424394;e;211994;e;1083370;e;528323;e
__________
"Staff:
Sum of full-time physicians and dentists, non-medical staff,
staff in training centres, and pupils."
© Statistisches Bundesamt (Destatis), 2025
created: 2025-06-20 / 13:32:13
