store_id,store_name,street,housenumber,postcode,city,opening_hours,brand,type,payment_credit_card,payment_debit_cards,payment_cash,payment_contactless,wheelchair,internet_access,phone,email,website,latitude,longitude,source,district,neighborhood,neighborhood_id,district_id
58489979,netto marken-discount,alte jakobstraße,83,10179,berlin,mo-sa 07:00-24:00; su off,netto marken-discount,unknown,unknown,unknown,unknown,unknown,no,no,not_provided,not_provided,https://www.netto-online.de/filialen/berlin-mitte/alte-jakobstr-83/7714/,52.5098189,13.4073729,osm,mitte,mitte,0101,11001001
79418658,ledo,quäkerstraße,2,13403,berlin,mo-sa 09:00-20:00,independent,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.ledo-supermarkt.de/,52.5724174,13.3085471,osm,reinickendorf,reinickendorf,1201,11012012
79422426,kiezmarkt,Auguste-Viktoria-Allee,unknown,13403,Berlin,"mo-fr 08:00-20:00, sa 08:00-19:00",nahkauf,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5716761,13.3124756,osm,reinickendorf,reinickendorf,1201,11012012
79428988,nah & gut,scharnweberstraße,100,13405,berlin,mo-sa 07:00-22:00,edeka,unknown,unknown,unknown,unknown,unknown,yes,unknown,+49 30 41199655,not_provided,not_provided,52.5664033,13.3169308,osm,reinickendorf,reinickendorf,1201,11012012
79438509,nahkauf,meller bogen,2,13403,berlin,mo-sa 07:00-20:00,nahkauf,unknown,unknown,unknown,yes,yes,limited,unknown,030-346491610,not_provided,https://www.nahkauf.de/maerkte/berlin-42613025-oeztuerk-gbr-meller-bogen-2,52.5704861,13.321144,osm,reinickendorf,reinickendorf,1201,11012012
101003688,nah und gut,güntzelstraße,40,10717,berlin,mo-fr 08:00-20:00; sa 08:00-16:00,edeka,delicatessen,unknown,unknown,yes,unknown,yes,unknown,not_provided,not_provided,http://www.delikatessendiscounter.de/,52.4913971,13.3228827,osm,charlottenburg-wilmersdorf,wilmersdorf,0402,11004004
151015050,norma,Helene-Weigel-Platz,unknown,12681,Berlin,mo-sa 07:00-20:00,norma,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5265407,13.5403083,osm,marzahn-hellersdorf,marzahn,1001,11010010
175685784,netto marken-discount,Wilhelmsruher Damm,unknown,13435,Berlin,mo-sa 07:00-20:00,netto marken-discount,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.netto-online.de/filialen/berlin-reinickendorf/wilhelmsruher-damm-242/7630/,52.5958262,13.3335139,osm,reinickendorf,wittenau,1209,11012012
245261389,aldi,müllerstraße,128,13349,berlin,mo-sa 07:00-22:00,aldi nord,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,not_provided,52.5524232,13.3480665,osm,mitte,wedding,0105,11001001
249675570,netto marken-discount,Marzahner Promenade,unknown,12679,Berlin,mo-sa 07:00-22:00,netto marken-discount,unknown,unknown,unknown,unknown,unknown,yes,unknown,not_provided,not_provided,https://www.netto-online.de/filialen/berlin/marzahner-promenade-30/5633/,52.5439135,13.5486135,osm,marzahn-hellersdorf,marzahn,1001,11010010
