name,street,housenumber,postcode,city,opening_hours,brand,type,payment_credit_card,payment_debit_cards,payment_cash,payment_contactless,wheelchair,internet_access,layer,phone,email,website,latitude,longitude,source
Netto Marken-Discount,Alte Jakobstraße,83,10179,Berlin,Mo-Sa 07:00-24:00; Su off,Netto Marken-Discount,,,,,,no,no,,,,https://www.netto-online.de/filialen/Berlin-Mitte/Alte-Jakobstr-83/7714/,52.5098189,13.4073729,
Ledo,Quäkerstraße,2,13403,Berlin,Mo-Sa 09:00-20:00,,,,,,,yes,,,,,https://www.ledo-supermarkt.de/,52.5724174,13.3085471,
kiezmarkt,,,,,"Mo-Fr 08:00-20:00, Sa 08:00-19:00",Nahkauf,,,,,,yes,,,,,,52.5716761,13.3124756,
nah & gut,Scharnweberstraße,100,13405,Berlin,Mo-Sa 07:00-22:00,EDEKA,,,,,,yes,,,+49 30 41199655,,,52.5664033,13.3169308,
Nahkauf,Meller Bogen,2,13403,Berlin,Mo-Sa 07:00-20:00,Nahkauf,,,,yes,yes,limited,,2,030-346491610,,https://www.nahkauf.de/maerkte/berlin-42613025-oeztuerk-gbr-meller-bogen-2,52.5704861,13.321144,
nah und gut,Güntzelstraße,40,10717,Berlin,Mo-Fr 08:00-20:00; Sa 08:00-16:00,Edeka,delicatessen,,,yes,,yes,,,,,http://www.delikatessendiscounter.de/,52.4913971,13.3228827,
NORMA,,,,,Mo-Sa 07:00-20:00,NORMA,,,,,,yes,,,,,,52.5265407,13.5403083,
Netto Marken-Discount,,,13435,,Mo-Sa 07:00-20:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Reinickendorf/Wilhelmsruher-Damm-242/7630/,52.5958262,13.3335139,
Aldi,Müllerstraße,128,13349,Berlin,Mo-Sa 07:00-22:00,Aldi Nord,,,,,,yes,,,,,,52.5524232,13.3480665,
Netto Marken-Discount,,,,,Mo-Sa 07:00-22:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin/Marzahner-Promenade-30/5633/,52.5439135,13.5486135,
Edeka Leher,Fürstenwalder Allee,314,12589,Berlin,Mo-Sa 08:00-20:00,EDEKA,,,,,,yes,,,+49 30 64169454,,,52.4315738,13.7149761,
PENNY,Pankower Allee,47-49,,,Mo-Sa 07:00-21:00,Penny,,,,,,yes,,,,,,52.565038,13.3706441,
Netto,,,,,Mo-Sa 07:00-20:00,Netto,,,,,,yes,,,,,,52.5515059,13.4550894,
EDEKA Thaut,,,,,Mo-Sa 06:55-22:00,Edeka,,,,,,yes,,,,,https://www.edeka.de/eh/minden-hannover/edeka-thaut-jessnerstr.-47-55/index.jsp,52.510061,13.4709585,
Öz-Gida,Hauptstraße,16,10827,Berlin,Mo-Sa 08:00-20:00,,,,,,,yes,,,,,,52.4873144,13.3570728,
EDEKA,,,,,Mo-Sa 07:00-21:00,EDEKA,,,,,,yes,no,,,,,52.4701156,13.4621306,
Lidl,Neuendorfer Straße,30,13585,Berlin,"Mo-Sa 07:00-21:00; Su,PH off",Lidl,,,,,,yes,,,,,,52.5476038,13.2100323,
Lidl,Falkenseer Damm,19,13585,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,,,,,,52.5428752,13.1965568,
Aldi,Theodor-Heuss-Platz,7,14052,Berlin,Mo-Sa 07:00-22:00,Aldi Nord,,,,,,yes,,,,,,52.5085368,13.2716801,
REWE,Turmstraße,60,10551,Berlin,Mo-Sa 06:30-23:00,Rewe,,yes,,yes,yes,yes,wlan,,,,https://www.rewe.de/marktseite/berlin-tiergarten/565308/rewe-city-turmstr-60/,52.5276119,13.3291604,
