,index,stop_id,district_id,name,address,latitude,longitude,neighborhood,district
0,0,900086106,11012012,Auguste-Viktoria-A./Humboldtstr. (Berlin),"Ollenhauerstraße 24, 13403 Berlin, Germany",52.568845,13.329852,Borsigwalde,Reinickendorf
1,1,900170515,11010010,Adersleber Weg (Berlin),"Adersleber Weg, 12685 Berlin, Germany",52.537896,13.560318,Marzahn,Marzahn-Hellersdorf
2,2,900151501,11011011,Ahrenshooper Str. (Berlin),"Ahrenshooper Str., 13051 Berlin, Germany",52.566212,13.501888,Alt-Hohenschönhausen,Lichtenberg
3,3,900140005,11003003,Albertinenstr. (Berlin),"Berlin, Albertinenstr., 13088 Berlin, Germany",52.549788,13.457778,Stadtrandsiedlung Malchow,Pankow
4,4,900161517,11011011,Alfred-Kowalke-Str. (Berlin),"Alfred-Kowalke-Straße, 10319 Berlin, Germany",52.505714,13.519704,Friedrichsfelde,Lichtenberg
5,5,900170019,11010010,Allee der Kosmonauten/Poelchaustr. (Berlin),"Allee der Kosmonauten/Poelchaustr., 12683 Berlin, Germany",52.533931,13.552785,Biesdorf,Marzahn-Hellersdorf
6,6,900161004,11011011,Alt-Friedrichsfelde/Rhinstr. (Berlin),"Berlin, Alt-Friedrichsfelde/Rhinstr., 10315 Berlin, Germany",52.510344,13.518967,Lichtenberg,Lichtenberg
7,7,900150020,11011011,Alt-Hohenschönhausen (Berlin),"Alt-Hohenschönhausen, 13055 Berlin, Germany",52.548871,13.504764,Alt-Hohenschönhausen,Lichtenberg
8,8,900170516,11010010,Alt-Marzahn (Berlin),"Alt-Marzahn, 12685 Berlin, Germany",52.541968,13.563707,Marzahn,Marzahn-Hellersdorf
9,10,900175512,11010010,Alte Hellersdorfer/Zossener Str. (Berlin),"Alte Hellersdorfer/Zossener Str., 12629 Berlin, Germany",52.544835,13.592175,Hellersdorf,Marzahn-Hellersdorf
10,11,900110019,11003003,Am Friedrichshain (Berlin),"Friedenstraße 29b, 10249 Berlin, Germany",52.528016,13.425138,Prenzlauer Berg,Pankow
11,12,900150500,11011011,Anna-Ebermann-Str. (Berlin),"Anna-Ebermann-Str., 13053 Berlin, Germany",52.554975,13.512117,Alt-Hohenschönhausen,Lichtenberg
12,13,900152509,11011011,Arnimstr. (Berlin),"Arnimstr., 13053 Berlin, Germany",52.558616,13.514814,Alt-Hohenschönhausen,Lichtenberg
13,14,900141506,11003003,Am Steinberg (Berlin),"Am Steinberg, 13089 Berlin, Germany",52.558382,13.4333,Heinersdorf,Pankow
