station,line,latitude,longitude,postcode,stadtteil,neighborhood
Adenauerplatz,U7,52.499722222,13.307222222,10707.0,Charlottenburg,Charlottenburg-Wilmersdorf
Afrikanische Straße,U6,52.560027777,13.334633333,13349.0,Wedding,Mitte
Alexanderplatz,U5,52.521388888,13.411944444,10178.0,Mitte,Mitte
Alexanderplatz,U2,52.521388888,13.411944444,10178.0,Mitte,Mitte
Alexanderplatz,U8,52.521388888,13.411944444,10178.0,Mitte,Mitte
Alexanderplatz,Berliner Stadtbahn,52.521388888,13.411944444,10178.0,Mitte,Mitte
Alt-Mariendorf,U6,52.4391,13.3877,12107.0,Mariendorf,Tempelhof-Schöneberg
Alt-Tegel,U6,52.58944,13.28389,13507.0,Tegel,Reinickendorf
Alt-Tempelhof,U6,52.465952777,13.385897222,12099.0,Tempelhof,Tempelhof-Schöneberg
Altstadt Spandau,U7,52.538888888,13.206388888,13597.0,Spandau,Spandau
Amrumer Straße,U9,52.5425,13.350277777,13353.0,Wedding,Mitte
Amrumer Straße,U6,52.5425,13.350277777,13353.0,Wedding,Mitte
Augsburger Straße,U3,52.500555555,13.336388888,10789.0,Charlottenburg,Charlottenburg-Wilmersdorf
Augsburger Straße,U9,52.500555555,13.336388888,10789.0,Charlottenburg,Charlottenburg-Wilmersdorf
Augsburger Straße,U1,52.500555555,13.336388888,10789.0,Charlottenburg,Charlottenburg-Wilmersdorf
Augsburger Straße,U2,52.500555555,13.336388888,10789.0,Charlottenburg,Charlottenburg-Wilmersdorf
Bayerischer Platz,U4,52.488333333,13.340277777,10779.0,Schöneberg,Tempelhof-Schöneberg
Bayerischer Platz,U7,52.488333333,13.340277777,10779.0,Schöneberg,Tempelhof-Schöneberg
Bayerischer Platz,U9,52.488333333,13.340277777,10779.0,Schöneberg,Tempelhof-Schöneberg
Berliner Straße,U7,52.487222222,13.330833333,10715.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Berliner Straße,U9,52.487222222,13.330833333,10715.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Bernauer Straße,U8,52.5375,13.396666666,10115.0,Mitte,Mitte
Beusselstraße,U9,52.534444,13.329444,,Moabit,Mitte
Biesdorf-Süd,U5,52.4997,13.5465,12683.0,Biesdorf,Marzahn-Hellersdorf
Birkenstraße,U9,52.532222222,13.341388888,10551.0,Moabit,Mitte
Bismarckstraße,U2,52.511388888,13.305,10627.0,Charlottenburg,Charlottenburg-Wilmersdorf
Bismarckstraße,U7,52.511388888,13.305,10627.0,Charlottenburg,Charlottenburg-Wilmersdorf
Blaschkoallee,U7,52.451944444,13.449444444,12359.0,Britz,Neukölln
Blissestraße,U7,52.486666666,13.321944444,10715.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Boddinstraße,U8,52.48,13.425277777,12049.0,Neukölln,Neukölln
Boddinstraße,U7,52.48,13.425277777,12049.0,Neukölln,Neukölln
Borsigwerke,U6,52.5819,13.2907,13507.0,Tegel,Reinickendorf
Brandenburger Tor,U55,52.516388888,13.380833333,10117.0,Mitte,Mitte
Breitenbachplatz,U3,52.466388888,13.308055555,14195.0,Dahlem,Steglitz-Zehlendorf
Britz-Süd,U7,52.437777777,13.448055555,12359.0,Britz,Neukölln
Bundesplatz,U7,52.478080555,13.328519444,10715.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Bundesplatz,U9,52.478080555,13.328519444,10715.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Bundesplatz,U4,52.478080555,13.328519444,10715.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Bundesplatz,U3,52.478080555,13.328519444,10715.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Bundesplatz,Berliner Ringbahn,52.478080555,13.328519444,10715.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Bundestag,U55,52.520013888,13.373005555,10557.0,Tiergarten,Mitte
Bülowstraße,U2,52.497552777,13.363419444,10783.0,Schöneberg,Tempelhof-Schöneberg
Bülowstraße,U1,52.497552777,13.363419444,10783.0,Schöneberg,Tempelhof-Schöneberg
Bülowstraße,U3,52.497552777,13.363419444,10783.0,Schöneberg,Tempelhof-Schöneberg
Bülowstraße,U4,52.497552777,13.363419444,10783.0,Schöneberg,Tempelhof-Schöneberg
Charlottenburg,U7,52.50505,13.30452,,Charlottenburg,Charlottenburg-Wilmersdorf
Cottbusser Platz,U5,52.5339,13.5964,12619.0,Hellersdorf,Marzahn-Hellersdorf
Dahlem-Dorf,U3,52.456944444,13.289444444,14195.0,Dahlem,Steglitz-Zehlendorf
Deutsche Oper,U2,52.511944444,13.310555555,10625.0,Charlottenburg,Charlottenburg-Wilmersdorf
Eberswalder Straße,U2,52.541666666,13.412222222,10437.0,Prenzlauer Berg,Pankow
Eisenacher Straße,U7,52.489444444,13.350277777,10823.0,Schöneberg,Tempelhof-Schöneberg
Elsterwerdaer Platz,,52.505,13.56056,12683.0,Biesdorf,Marzahn-Hellersdorf
Fehrbelliner Platz (U3),U3,52.4897,13.3153,,Wilmersdorf,Charlottenburg-Wilmersdorf
Fehrbelliner Platz (U3),Berliner Ringbahn,52.4897,13.3153,,Wilmersdorf,Charlottenburg-Wilmersdorf
Fehrbelliner Platz (U7),U7,52.4897,13.3153,,Wilmersdorf,Charlottenburg-Wilmersdorf
Frankfurter Allee,U5,52.514166666,13.474722222,10247.0,Friedrichshain,Friedrichshain-Kreuzberg
Frankfurter Tor,U5,52.515833333,13.454166666,10243.0,Friedrichshain,Friedrichshain-Kreuzberg
Franz-Neumann-Platz (Am Schäfersee),U8,52.564722222,13.363888888,13409.0,Reinickendorf,Reinickendorf
Franz-Neumann-Platz (Am Schäfersee),U9,52.564722222,13.363888888,13409.0,Reinickendorf,Reinickendorf
Französische Straße,U6,52.514722222,13.389166666,10117.0,Mitte,Mitte
Französische Straße,U2,52.514722222,13.389166666,10117.0,Mitte,Mitte
Freie Universität (Thielplatz),U3,52.451111111,13.282222222,14195.0,Dahlem,Steglitz-Zehlendorf
Friedrich-Wilhelm-Platz,U9,52.47194,13.32861,12161.0,Friedenau,Tempelhof-Schöneberg
Friedrichsfelde,U5,52.506111111,13.512777777,10315.0,Friedrichsfelde,Lichtenberg
Friedrichstraße,U55,52.52,13.387,,Mitte,Mitte
Friedrichstraße,U6,52.52,13.387,,Mitte,Mitte
Gesundbrunnen,U6,52.548611111,13.389444444,13357.0,Gesundbrunnen,Mitte
Gesundbrunnen,U8,52.548611111,13.389444444,13357.0,Gesundbrunnen,Mitte
Gesundbrunnen,U2,52.548611111,13.389444444,13357.0,Gesundbrunnen,Mitte
Gleisdreieck,U1,52.498333333,13.375277777,10963.0,Kreuzberg,Friedrichshain-Kreuzberg
Gleisdreieck,U2,52.498333333,13.375277777,10963.0,Kreuzberg,Friedrichshain-Kreuzberg
Gleisdreieck,U7,52.498333333,13.375277777,10963.0,Kreuzberg,Friedrichshain-Kreuzberg
Gneisenaustraße,U7,52.491388888,13.395555555,10961.0,Kreuzberg,Friedrichshain-Kreuzberg
Gneisenaustraße,U6,52.491388888,13.395555555,10961.0,Kreuzberg,Friedrichshain-Kreuzberg
Grenzallee,,52.463333333,13.443888888,12359.0,Britz,Neukölln
Görlitzer Bahnhof,U1,52.4992,13.428,10997.0,Kreuzberg,Friedrichshain-Kreuzberg
Görlitzer Bahnhof,U8,52.4992,13.428,10997.0,Kreuzberg,Friedrichshain-Kreuzberg
Güntzelstraße,U3,52.49194,13.33083,10717.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Güntzelstraße,U9,52.49194,13.33083,10717.0,Wilmersdorf,Charlottenburg-Wilmersdorf
Hackescher Markt,Berliner Stadtbahn,52.52333,13.40278,,Mitte,Mitte
Halemweg,U7,52.536666666,13.286388888,13627.0,Charlottenburg-Nord,Charlottenburg-Wilmersdorf
