name,category,cuisine,address,lat,lon,website,phone,opening_hours,takeaway,wheelchair
Aida,restaurant,italian;pizza,"Knesebeckstraße , 10623 Berlin",52.5068638,13.3228585,https://www.aida-restaurant.de/,+49 30 318 06 750,Mo-Sa 11:30-21:00; Su 15:00-21:00,,no
Madame Ngo,restaurant,asian,"Kantstraße 30, 10623 Berlin",52.5062119,13.3180811,,+49 157 53604089,"Mo-Sa 12:00-16:30, 18:00-22:00; Su 12:00-16:30, 18:00-21:30",,limited
Nam Thuân,restaurant,vietnamese,"Pestalozzistraße 106, 10625 Berlin",52.5073199,13.3207804,,,,,no
La Rose,restaurant,italian,"Neue Kantstraße 19, 14057 Berlin",52.5063184,13.2846256,,,,,
Eiscafe Eisberg,cafe,,"Brunnenstraße 55, 13355 Berlin",52.5388551,13.3960965,http://www.eis-berg.de/,,,,yes
Tibet Haus,restaurant,tibetan,"Zossener Straße 19, 10961 Berlin",52.4907103,13.3939814,,,12:00-24:00,,no
Coffee Star,cafe,,"Müllerstraße 146, 13353 Berlin",52.5476798,13.3563426,https://coffeestar.net/,+49 30 45482893,Mo-Fr 08:00-19:00; Sa 10:00-16:00,,no
Paella,restaurant,mexican,"Wundtstraße 72, 14057 Berlin",52.5068889,13.2839198,,,Mo-Su 11:00-23:00+,,limited
Cancún,restaurant,mexican,"Kaiserdamm 24, 14057 Berlin",52.5103223,13.2829535,https://www.cancun-restaurant.de/,+493030111105,Mo-Su 11:00-03:00,,limited
Schatulle,restaurant,regional,13351 Berlin,52.5542713,13.3311277,,+49 30 4513071,"Tu-Fr 12:00-22:00, Sa,Su 10:00-22:00, PH 10:00-22:00",,limited
Haus der 100 Biere,restaurant,german,"Kurfürstendamm 100, 10709 Berlin",52.4983826,13.2969979,https://100biere.de/,+49 30 25092901,Mo-Su 11:00-00:00,,yes
Ach!NikO!Ach!,restaurant,greek,"Kurfürstendamm 97-98, 10709 Berlin",52.4985867,13.2982491,,,Mo-Su 12:00-24:00,,no
Ristorante Salve,restaurant,pizza,"Damaschkestraße 31, 10711 Berlin",52.5009791,13.2976442,,,Tu-Su 16:00-22:00; Mo off,,limited
Starbucks,cafe,coffee_shop,,52.5194029,13.3887381,,,Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su 09:00-19:30,yes,yes
Starbucks,cafe,coffee_shop,"Pariser Platz 4A, 10117 Berlin",52.5167295,13.3797732,https://www.starbucks.de/store-locator/store/2099/pariser-platz-pariser-platz-4-a-berlin-be-10117-de,+49 30 20617990,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00",yes,yes
Brammibal's Donuts,cafe,donut,"Alte Potsdamer Straße 7, 10785 Berlin",52.507931,13.3737316,,,"Mo-Fr 09:00-21:00; Sa 10:00-21:00; Su,PH 10:00-20:00",,yes
Espresso House,cafe,coffee_shop,"Potsdamer Platz 5, 10785 Berlin",52.5105871,13.3764297,,,Mo-Fr 07:30-20:00; Sa-Su 08:30-20:00,yes,yes
Dalmacija,restaurant,balkan,"Quäkerstraße 2, 13403 Berlin",52.572519,13.3082697,https://restaurant-dalmacija.wixsite.com/restaurant-dalmacija,+49304134103,Tu-Su 12:00-22:00,,yes
Schlemmerküche,restaurant,german,"Wittestraße 49, 13509 Berlin",52.5771153,13.3073153,https://www.schlemmerkueche.de/,+493043605808,Mo-Fr 11:30-13:30,,limited
Taverna Athos,restaurant,greek,"Bundesplatz 2, 10715 Berlin",52.4800304,13.3277157,https://www.taverna-athos-berlin.de,+49 30 81487870,Mo-Su 12:00-23:00,,
