name,category,cuisine,address,latitude,longitude,website,phone,opening_hours,takeaway,wheelchair_accessible,neighborhood,opening_hours_dict,district,postal_code,venue_id,district_id
Aida,restaurant,italian;pizza,"Knesebeckstraße , 10623 Berlin",52.5068638,13.3228585,https://www.aida-restaurant.de/,+493031806750,Mo-Sa 11:30-21:00; Su 15:00-21:00,,no,Charlottenburg,"{""Mo"": [[""11:30"", ""21:00""]], ""Tu"": [[""11:30"", ""21:00""]], ""We"": [[""11:30"", ""21:00""]], ""Th"": [[""11:30"", ""21:00""]], ""Fr"": [[""11:30"", ""21:00""]], ""Sa"": [[""11:30"", ""21:00""]], ""Su"": [[""15:00"", ""21:00""]]}",Charlottenburg-Wilmersdorf,10623,V0001,11004004
Madame Ngo,restaurant,asian,"Kantstraße 30, 10623 Berlin",52.5062119,13.3180811,,+4915753604089,"Mo-Sa 12:00-16:30, 18:00-22:00; Su 12:00-16:30, 18:00-21:30",,limited,Charlottenburg,"{""Mo"": [[""12:00"", ""16:30""], [""18:00"", ""22:00""]], ""Tu"": [[""12:00"", ""16:30""], [""18:00"", ""22:00""]], ""We"": [[""12:00"", ""16:30""], [""18:00"", ""22:00""]], ""Th"": [[""12:00"", ""16:30""], [""18:00"", ""22:00""]], ""Fr"": [[""12:00"", ""16:30""], [""18:00"", ""22:00""]], ""Sa"": [[""12:00"", ""16:30""], [""18:00"", ""22:00""]], ""Su"": [[""12:00"", ""16:30""], [""18:00"", ""21:30""]]}",Charlottenburg-Wilmersdorf,10623,V0002,11004004
Nam Thuân,restaurant,vietnamese,"Pestalozzistraße 106, 10625 Berlin",52.5073199,13.3207804,,,,,no,Charlottenburg,,Charlottenburg-Wilmersdorf,10625,V0003,11004004
La Rose,restaurant,italian,"Neue Kantstraße 19, 14057 Berlin",52.5063184,13.2846256,,,,,,Charlottenburg,,Charlottenburg-Wilmersdorf,14057,V0004,11004004
Eiscafe Eisberg,cafe,,"Brunnenstraße 55, 13355 Berlin",52.5388551,13.3960965,http://www.eis-berg.de/,,,,yes,Gesundbrunnen,,Mitte,13355,V0005,11001001
Tibet Haus,restaurant,tibetan,"Zossener Straße 19, 10961 Berlin",52.4907103,13.3939814,,,12:00-24:00,,no,Kreuzberg,"{""Mo"": [[""12:00"", ""00:00""]], ""Tu"": [[""12:00"", ""00:00""]], ""We"": [[""12:00"", ""00:00""]], ""Th"": [[""12:00"", ""00:00""]], ""Fr"": [[""12:00"", ""00:00""]], ""Sa"": [[""12:00"", ""00:00""]], ""Su"": [[""12:00"", ""00:00""]]}",Friedrichshain-Kreuzberg,10961,V0006,11002002
Coffee Star,cafe,,"Müllerstraße 146, 13353 Berlin",52.5476798,13.3563426,https://coffeestar.net/,+493045482893,Mo-Fr 08:00-19:00; Sa 10:00-16:00,,no,Wedding,"{""Mo"": [[""08:00"", ""19:00""]], ""Tu"": [[""08:00"", ""19:00""]], ""We"": [[""08:00"", ""19:00""]], ""Th"": [[""08:00"", ""19:00""]], ""Fr"": [[""08:00"", ""19:00""]], ""Sa"": [[""10:00"", ""16:00""]]}",Mitte,13353,V0007,11001001
Paella,restaurant,mexican,"Wundtstraße 72, 14057 Berlin",52.5068889,13.2839198,,,Mo-Su 11:00-23:00+,,limited,Charlottenburg,"{""Mo"": [[""11:00-23:00"", ""late""]], ""Tu"": [[""11:00-23:00"", ""late""]], ""We"": [[""11:00-23:00"", ""late""]], ""Th"": [[""11:00-23:00"", ""late""]], ""Fr"": [[""11:00-23:00"", ""late""]], ""Sa"": [[""11:00-23:00"", ""late""]], ""Su"": [[""11:00-23:00"", ""late""]]}",Charlottenburg-Wilmersdorf,14057,V0008,11004004
Cancún,restaurant,mexican,"Kaiserdamm 24, 14057 Berlin",52.5103223,13.2829535,https://www.cancun-restaurant.de/,+493030111105,Mo-Su 11:00-03:00,,limited,Westend,"{""Mo"": [[""11:00"", ""03:00""]], ""Tu"": [[""11:00"", ""03:00""]], ""We"": [[""11:00"", ""03:00""]], ""Th"": [[""11:00"", ""03:00""]], ""Fr"": [[""11:00"", ""03:00""]], ""Sa"": [[""11:00"", ""03:00""]], ""Su"": [[""11:00"", ""03:00""]]}",Charlottenburg-Wilmersdorf,14057,V0009,11004004
Schatulle,restaurant,regional,13351 Berlin,52.5542713,13.3311277,,+49304513071,"Tu-Fr 12:00-22:00, Sa,Su 10:00-22:00, PH 10:00-22:00",,limited,Wedding,"{""Tu"": [[""12:00"", ""22:00""], [""Sa"", """"], [""Su 10:00"", ""22:00""], [""PH 10:00"", ""22:00""]], ""We"": [[""12:00"", ""22:00""], [""Sa"", """"], [""Su 10:00"", ""22:00""], [""PH 10:00"", ""22:00""]], ""Th"": [[""12:00"", ""22:00""], [""Sa"", """"], [""Su 10:00"", ""22:00""], [""PH 10:00"", ""22:00""]], ""Fr"": [[""12:00"", ""22:00""], [""Sa"", """"], [""Su 10:00"", ""22:00""], [""PH 10:00"", ""22:00""]]}",Mitte,13351,V0010,11001001
