name,latitude,longitude,venue_type,cuisine_type,address,contact_info,opening_hours,rating,source
Beast Berlin,52.52429,13.4118534,restaurant,steak_house,Karl-Liebknecht-Straße,,,,OpenStreetMap
Aapka - Restaurant Alexanderplatz,52.5235991,13.4109696,restaurant,indian,Karl-Liebknecht-Straße,,,,OpenStreetMap
Der Alte Fritz,52.5214304,13.4092065,restaurant,german,Panoramastraße,+49 30 96200600,,,OpenStreetMap
Carambar,52.5203514,13.4122196,restaurant,,Rathausstraße,,,,OpenStreetMap
Matzbach,52.5202106,13.4118079,restaurant,,,,,,OpenStreetMap
Segafredo,52.5195321,13.4103508,cafe,coffee_shop,,,,,OpenStreetMap
Azem,52.5180123,13.4071626,restaurant,turkish,,,,,OpenStreetMap
Mutter Hoppe,52.5175872,13.4058989,restaurant,german,Rathausstraße,,,,OpenStreetMap
Julchen Hoppe,52.5172681,13.4050245,restaurant,regional,Rathausstraße,,,,OpenStreetMap
Shezan,52.512146,13.4081288,restaurant,indian,Neue Roßstraße,,,,OpenStreetMap
Eden,52.5219316,13.4047999,restaurant,asian,Rosenstraße,,,,OpenStreetMap
The Coffee Shop,52.5152592,13.3983179,cafe,coffee_shop,Werderscher Markt,,,,OpenStreetMap
Café im Alten Museum,52.5191167,13.3985266,cafe,,,,,,OpenStreetMap
Tudo,52.5213767,13.4096608,cafe,bubble_tea,,03027592932,,,OpenStreetMap
Billardsalon Köh,52.5252025,13.4018544,bar,,Sophienstraße,,,,OpenStreetMap
Atame,52.5235718,13.4068594,restaurant,spanish,Dircksenstraße,+49 30 98390591,,,OpenStreetMap
Zur Letzten Instanz,52.5174527,13.4137758,restaurant,regional,Waisenstraße,,,,OpenStreetMap
Spoonful,52.527189,13.3969021,cafe,ice_cream,Auguststraße,+4915124237879,,,OpenStreetMap
Piazza Rossa,52.5190043,13.409291,restaurant,italian,Rathausstraße,,,,OpenStreetMap
Blixen,52.5190506,13.4102575,cafe,,,,,,OpenStreetMap
Palm Beach,52.5205872,13.404595,bar,,,,,,OpenStreetMap
BLOCK HOUSE,52.5205315,13.4051631,restaurant,steak_house,Karl-Liebknecht-Straße,,,,OpenStreetMap
Kartoffelhaus,52.5211493,13.4062159,restaurant,german,Karl-Liebknecht-Straße,,,,OpenStreetMap
Schlögl's Altberliner Gaststätte,52.5213454,13.4059828,restaurant,german;regional,Karl-Liebknecht-Straße,+49 30 2411221,,,OpenStreetMap
Marinehaus,52.5140771,13.4158409,restaurant,,Märkisches Ufer,+49302793246,,,OpenStreetMap
Kuchi,52.527223,13.3992573,restaurant,sushi,Gipsstraße,+49 30 28386622,,,OpenStreetMap
Ciccia,52.5202562,13.4016458,restaurant,italian,Anna-Louisa-Karsch-Straße,,,,OpenStreetMap
James Simon Bar,52.5222074,13.398306,restaurant,,,,,,OpenStreetMap
Bio Company,52.523162,13.4041367,cafe,,Dircksenstraße,,,,OpenStreetMap
Monsieur Vuong,52.5266247,13.4078977,restaurant,vietnamese,Alte Schönhauser Straße,,,,OpenStreetMap
Brauhaus Georgbräu,52.5165146,13.4053974,restaurant,regional,Spreeufer,,,,OpenStreetMap
Das Lemke,52.5232744,13.4046561,restaurant,german;burger,Dircksenstraße,+49-30-24728727,,,OpenStreetMap
Sixties,52.5237519,13.3994449,restaurant,american,Oranienburger Straße,+49 30 28599041,,,OpenStreetMap
Sisal,52.527846,13.4034219,restaurant,italian,,,,,OpenStreetMap
Röststätte,52.5241937,13.4022118,cafe,coffee_shop,Rosenthaler Straße,,,,OpenStreetMap
Hackescher Hof,52.5239323,13.4024078,restaurant,german,Rosenthaler Straße,,,,OpenStreetMap
Oxymoron,52.5241587,13.4018084,restaurant,,Rosenthaler Straße,+49 30 28391886,,,OpenStreetMap
Goodtime,52.51271,13.397045,restaurant,asian,Hausvogteiplatz,+49 30 20074870,,,OpenStreetMap
Strandbad-Mitte,52.5273327,13.3966319,restaurant,fish;pasta,Kleine Hamburger Straße,+49 30 24628963,,,OpenStreetMap
ALEX,52.5211058,13.4083713,restaurant,breakfast;burger;international;steak_house,Panoramastraße,,,,OpenStreetMap
12 Apostoli,52.5205024,13.3939538,restaurant,italian,,+49 30 23362404,,,OpenStreetMap
Ni's Restaurant,52.5228088,13.4003145,restaurant,asian,Kleine Präsidentenstraße,+49 30 69001518,,,OpenStreetMap
Fuki Sushi,52.5275895,13.4034466,restaurant,sushi,Rosenthaler Straße,,,,OpenStreetMap
Sisaket,52.5235156,13.404871,restaurant,thai,Dircksenstraße,,,,OpenStreetMap
Altes Europa,52.526693,13.401068,restaurant,,Gipsstraße,+49 30 28093840,,,OpenStreetMap
Shi-Mai,52.5197018,13.4031586,restaurant,vietnamese,Karl-Liebknecht-Straße,,,,OpenStreetMap
Andy's Diner & Bar,52.5199406,13.4029466,restaurant,american,Karl-Liebknecht-Straße,,,,OpenStreetMap
Ännchen von Tharau,52.5153653,13.4165702,restaurant,german,Rolandufer,,,,OpenStreetMap
Café Neundrei,52.5230254,13.399815,cafe,,Monbijouplatz,,,,OpenStreetMap
Unknown,52.5250687,13.4025511,cafe,,Sophienstraße,,,,OpenStreetMap
The No Name,52.5249384,13.3936795,restaurant,,,,,,OpenStreetMap
Espresso House,52.5208397,13.4101065,cafe,coffee_shop,Panoramastraße,,,,OpenStreetMap
TIM’s Bakery & Deli,52.5163595,13.3929727,cafe,,Bebelplatz,,,,OpenStreetMap
Cum Laude,52.5186076,13.3944256,restaurant,german,Unter den Linden,,,,OpenStreetMap
BBQ Kitchen,52.522822,13.4032024,restaurant,barbecue,Am Zwirngraben,+49 30 27909816,,,OpenStreetMap
Buddha,52.5244375,13.3922437,restaurant,indian,,,,,OpenStreetMap
Eschschloraque Rümschrümp,52.5244696,13.4017208,bar,,Rosenthaler Straße,,,,OpenStreetMap
OLLA Grill & Orient Lounge,52.5222705,13.3992261,restaurant,oriental;pizza,,,,,OpenStreetMap
LePopulaire,52.5169402,13.3962176,cafe,,Unter den Linden,,,,OpenStreetMap
Viadukt Bistro,52.522594,13.4003855,cafe,,,,,,OpenStreetMap
Starbucks,52.5231934,13.4020866,cafe,coffee_shop,Neue Promenade,,,,OpenStreetMap
a posto,52.5226711,13.3999181,restaurant,italian,Monbijouplatz,+49 30 27595559,,,OpenStreetMap
Weihenstephaner,52.5229726,13.4017099,restaurant,german,Neue Promenade,,,,OpenStreetMap
DaVinci,52.5201096,13.3912976,restaurant,italian,Georgenstraße,,,,OpenStreetMap
Pure Origins,52.5200936,13.3911123,cafe,coffee_shop,Georgenstraße,,,,OpenStreetMap
Hackbarths,52.5278237,13.4007418,bar,,Auguststraße,,,,OpenStreetMap
Supra,52.5228343,13.4028901,restaurant,georgian,Am Zwirngraben,+49 30 24638606,,,OpenStreetMap
Spreeblick,52.516169,13.4058173,restaurant,german,Propststraße,+49 30 24 25 247,,,OpenStreetMap
Zille-Destille,52.5163539,13.4060676,restaurant,german,Propststraße,,,,OpenStreetMap
Zum Paddenwirt,52.516679,13.4080964,restaurant,german,Nikolaikirchplatz,+49 30 28444689,,,OpenStreetMap
Kaffeestube,52.5163897,13.4076097,restaurant,german,Poststraße,,,,OpenStreetMap
Zur Gerichtslaube,52.5170641,13.406241,restaurant,regional,,,,,OpenStreetMap
Bei Lydia,52.5124788,13.4117007,restaurant,georgian,Inselstraße,,,,OpenStreetMap
Mammam,52.5125703,13.411537,restaurant,asian,Inselstraße,,,,OpenStreetMap
Kantine,52.5182828,13.4192379,restaurant,,Magazinstraße,,,,OpenStreetMap
Spitteleck,52.5111321,13.4026843,restaurant,burger;german;grill,Seydelstraße,+49 30 80492910,,,OpenStreetMap
Transit,52.5286295,13.4022809,restaurant,asian,Rosenthaler Straße,,,,OpenStreetMap
Muret La Barba,52.5274951,13.4034676,restaurant,italian,Rosenthaler Straße,,,,OpenStreetMap
YamYam,52.527551,13.408267,restaurant,korean,Alte Schönhauser Straße,,,,OpenStreetMap
Cana,52.5123059,13.4087464,restaurant,oriental,Neue Roßstraße,,,,OpenStreetMap
Ephraim's,52.5156403,13.4069525,restaurant,,Spreeufer,,,,OpenStreetMap
weingrün,52.5126599,13.4029766,restaurant,german,Gertraudenstraße,,,,OpenStreetMap
Chén Ché,52.5273747,13.4023822,restaurant,vietnamese,Rosenthaler Straße,,,,OpenStreetMap
Betty F***,52.5275404,13.4052143,bar,,Mulackstraße,,,,OpenStreetMap
Vivolo Ole,52.5226782,13.4021224,restaurant,,Am Zwirngraben,+4930 246 319 33,,,OpenStreetMap
Volksbar,52.5266813,13.4107359,bar,,Rosa-Luxemburg-Straße,,,,OpenStreetMap
Rivabar,52.5233005,13.4047128,bar,,Dircksenstraße,,,,OpenStreetMap
Cancún,52.5190761,13.4094442,restaurant,mexican,Rathausstraße,,,,OpenStreetMap
Enzian Bayrisches Wirtshaus,52.5201139,13.3954523,restaurant,german,Am Kupfergraben,+49 30 220 02553,,,OpenStreetMap
Café Cinema,52.5241901,13.4026549,cafe,,Rosenthaler Straße,,,,OpenStreetMap
Bandy Brooks,52.519203,13.402645,cafe,ice_cream,Karl-Liebknecht-Straße,+49 30 27908551,,,OpenStreetMap
Food Lounge Berlin,52.5202185,13.4027007,cafe,burger;german;pizza;sausage,St. Wolfgang-Straße,+491633328671,,,OpenStreetMap
Café & Restaurant am Petriplatz,52.5129204,13.4032613,restaurant,german,,,,,OpenStreetMap
Kochbox,52.5183372,13.4153449,restaurant,,Dircksenstraße,,,,OpenStreetMap
Viet Street,52.5181204,13.415415,restaurant,vietnamese,Dircksenstraße,,,,OpenStreetMap
BoBo Q,52.5219699,13.4115003,cafe,bubble_tea,,,,,OpenStreetMap
Lee,52.5241181,13.3992934,restaurant,vietnamese,Große Hamburger Straße,,,,OpenStreetMap
Shiso Burger,52.5272403,13.398714,restaurant,burger,Auguststraße,+49 30 88944687,,,OpenStreetMap
Bijou Bar,52.5229828,13.3999603,bar,,Monbijouplatz,,,,OpenStreetMap
Coffee Lab,52.5125866,13.411279,cafe,coffee_shop,,,,,OpenStreetMap
Kaffeeserie,52.5199838,13.3922192,cafe,,,,,,OpenStreetMap
Pizza-Scheune,52.5280496,13.4099813,restaurant,italian;pizza,Rosa-Luxemburg-Straße,,,,OpenStreetMap
Noumi,52.5143727,13.3976164,restaurant,vietnamese,Jägerstraße,,,,OpenStreetMap
Kiva Han,52.5263723,13.4085057,restaurant,turkish breakfast,Max-Beer-Straße,,,,OpenStreetMap
Green Tea Café Mamecha,52.5272205,13.4062986,cafe,japanese;bento,Mulackstraße,,,,OpenStreetMap
Avocado Club,52.5235463,13.4051151,restaurant,breakfast,Dircksenstraße,,,,OpenStreetMap
handmade Berlin,52.522842,13.398625,cafe,,,,,,OpenStreetMap
Cent'Anni,52.522285,13.3998676,cafe,,,,,,OpenStreetMap
CôWei,52.5222784,13.3996752,restaurant,vietnamese;sushi,,,,,OpenStreetMap
Palladium Berlin,52.5222496,13.398825,bar,,,+49 30 25765511,,,OpenStreetMap
Espresso House,52.5196945,13.4036191,cafe,coffee_shop,,,,,OpenStreetMap
Boltes Steakhaus,52.5172376,13.4073497,restaurant,german,Propststraße,,,,OpenStreetMap
Zum Nußbaum,52.5171542,13.4071,restaurant,german,Am Nußbaum,,,,OpenStreetMap
