clinic_id,clinic_name,street,house_number,postcode,city,district_id,neighbourhood_id,phone_number,website,email,opening_hours,operator,wheelchair_acces,full_address,latitude,longitude,amenity
268917040,Tierarztpraxis am Urban,Baerwaldstraße,69,10961,Berlin,,,,,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,no,"Baerwaldstraße 69, 10961 Berlin",52.4956842,13.4052329,veterinary
299795048,Dr. med. vet. Elke Hartwig,Straße 48,67,13125,Berlin,,,+49 30 9437820,http://www.tierarztpraxis-hartwig.de/,,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",,limited,"Straße 48 67, 13125 Berlin",52.6062863,13.4795548,veterinary
347294456,Tierarztpraxis Dr. Bernhard Sörensen,Königsberger Straße,36,12207,Berlin,,,+49 30 7738321,https://www.tierarztpraxis-soerensen.de/,,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",,yes,"Königsberger Straße 36, 12207 Berlin",52.4297216,13.3201326,veterinary
394867279,Tierarztpraxis Jeanette Koepsel,,,nan,,,,,,,,,,"nan nan, nan nan",52.5351995,13.2705734,veterinary
411550894,Kleintierarztpraxis Berlin Kaulsdorf,Planitzstraße,19,12621,Berlin,,,+49 30 53018585,https://www.tierarzt-kaulsdorf.de/,info@tierarzt-kaulsdorf.de,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Dr. Berit Miels;Dr. Mathias Kochert,,"Planitzstraße 19, 12621 Berlin",52.5095114,13.5896353,veterinary
581887970,Eva Klein,,,nan,,,,,,,,,,"nan nan, nan nan",52.4288173,13.1935291,veterinary
603392630,Klein- und Heimtierklinik,Oertzenweg,19b,14163,Berlin,,,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,,Freie Universität Berlin,yes,"Oertzenweg 19b, 14163 Berlin",52.4302981,13.2373596,veterinary
702363921,Tierarztpraxis im Frauenviertel - Firchow,,,nan,,,,,,,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,limited,"nan nan, nan nan",52.4042597,13.5071658,veterinary
703135335,Kleintierpraxis Kladow,Zingerleweg,29,14089,Berlin,,,+49 30 3653374,http://www.kleintierpraxis-kladow.de,info@kleintierpraxis-kladow.de,,,,"Zingerleweg 29, 14089 Berlin",52.4608878,13.121554,veterinary
978560965,Carsten Schiller,Schnellerstraße,97,12439,Berlin,,,,,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,no,"Schnellerstraße 97, 12439 Berlin",52.4531078,13.5245669,veterinary
1003123264,Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,,,nan,,,,,https://www.lewandowski-klug.de/,,,,no,"nan nan, nan nan",52.4232758,13.4367554,veterinary
1069431810,Gabriele C. Müller,Brunowstraße,39,13507,Berlin,,,+49304343116,https://www.tieraerztin-berlin.com/,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",,limited,"Brunowstraße 39, 13507 Berlin",52.5870846,13.2811455,veterinary
1139485719,Tierarztpraxis Feuerbachstraße,Feuerbachstraße,68,12163,Berlin,,,+49 30 855 40 50,,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Dr. med. vet. A. Sillinger;Dr. med. vet. A. Bahr,no,"Feuerbachstraße 68, 12163 Berlin",52.464411,13.3395319,veterinary
